SITE,OB TIME,RADIATION,WET BULB,AIR TEMP,WIND SPEED,WIND DIR,RAINFALL,10CM SOIL,30CM SOIL,RH
LINTON ON OUSE,01-Jul-17,,12,13,9,320,0,15.8,,88.3
LINTON ON OUSE,01/07/2017 01:00,,11.9,12.9,8,330,0,15.5,,88.2
LINTON ON OUSE,01/07/2017 02:00,,11.9,12.8,8,320,0,15.3,,89.3
LINTON ON OUSE,01/07/2017 03:00,,11.9,12.7,6,330,0,15.2,,90.5
LINTON ON OUSE,01/07/2017 04:00,,12,12.8,9,330,0,15,,90.5
LINTON ON OUSE,01/07/2017 05:00,,12.1,13,6,330,0,14.9,,89.4
LINTON ON OUSE,01/07/2017 06:00,,12.7,13.7,5,300,0,14.8,,88.5
LINTON ON OUSE,01/07/2017 07:00,,13.2,14.6,4,270,0,15,,84.5
LINTON ON OUSE,01/07/2017 08:00,,13.5,16,5,240,0,15.3,,73.9
LINTON ON OUSE,01/07/2017 09:00,,14.7,17.4,9,260,0,16.1,15.9,73.1
LINTON ON OUSE,01/07/2017 10:00,,15.1,18.1,10,260,0,16.7,,70.9
LINTON ON OUSE,01/07/2017 11:00,,14,17.2,10,270,0,17.3,,68.2
LINTON ON OUSE,01/07/2017 12:00,,14.9,18.8,9,260,0,17.7,,63.5
LINTON ON OUSE,01/07/2017 13:00,,14.6,19.4,11,250,0,18.1,,56.5
LINTON ON OUSE,01/07/2017 14:00,,14.1,19.7,12,260,0,18.7,,50.3
LINTON ON OUSE,01/07/2017 15:00,,14.2,20,13,260,0,19.1,,49.2
LINTON ON OUSE,01/07/2017 16:00,,13,17.8,12,250,0,19.4,,54.4
LINTON ON OUSE,01/07/2017 17:00,,13.2,17.2,11,280,0,19.1,,60.8
LINTON ON OUSE,01/07/2017 18:00,,13.3,15.6,7,270,0.4,18.6,,75.7
LINTON ON OUSE,01/07/2017 19:00,,13.3,15.5,17,260,0,18.1,,76.7
LINTON ON OUSE,01/07/2017 20:00,,13.5,15.4,11,260,0,17.7,,79.7
LINTON ON OUSE,01/07/2017 21:00,,13.6,15,8,260,0,17.3,,84.7
LINTON ON OUSE,01/07/2017 22:00,,13.9,15.3,6,250,0,17,,84.9
LINTON ON OUSE,01/07/2017 23:00,,13.2,14.6,7,250,0,16.8,,84.5
LINTON ON OUSE,02-Jul-17,,11.3,13.3,5,270,0,16.4,,77
LINTON ON OUSE,02/07/2017 01:00,,9.9,11.5,4,310,0,16,,80.3
LINTON ON OUSE,02/07/2017 02:00,,8.8,10.4,4,280,0,15.6,,79.5
LINTON ON OUSE,02/07/2017 03:00,,8.8,10.4,8,300,0,15.1,,79.5
LINTON ON OUSE,02/07/2017 04:00,,8.9,10.4,2,310,0,14.6,,80.7
LINTON ON OUSE,02/07/2017 05:00,,8.9,10.2,7,260,0,14.3,,83.1
LINTON ON OUSE,02/07/2017 06:00,,10.2,12.5,7,260,0,14.1,,73
LINTON ON OUSE,02/07/2017 07:00,,11.1,14.2,6,270,0,14.2,,66
LINTON ON OUSE,02/07/2017 08:00,,12,16.3,9,310,0,14.5,,56.8
LINTON ON OUSE,02/07/2017 09:00,,12.8,17.3,14,290,0,15.4,16.1,56.3
LINTON ON OUSE,02/07/2017 10:00,,12.9,17.2,13,290,0,16.1,,58
LINTON ON OUSE,02/07/2017 11:00,,13.6,18.2,15,290,0,16.8,,56.6
LINTON ON OUSE,02/07/2017 12:00,,13.5,18.9,14,280,0,17.6,,50.7
LINTON ON OUSE,02/07/2017 13:00,,13.9,18.9,15,290,0,18.3,,54.1
LINTON ON OUSE,02/07/2017 14:00,,14.1,19.6,14,270,0,19.1,,50.9
LINTON ON OUSE,02/07/2017 15:00,,13.7,19.5,13,290,0,19.8,,48.3
LINTON ON OUSE,02/07/2017 16:00,,13.7,19.4,12,290,0,20.4,,49
LINTON ON OUSE,02/07/2017 17:00,,13.9,18.8,9,290,0,20.8,,54.8
LINTON ON OUSE,02/07/2017 18:00,,13,17.2,8,260,0,20.7,,58.9
LINTON ON OUSE,02/07/2017 19:00,,,16.6,4,290,0,20.2,,60.1
LINTON ON OUSE,02/07/2017 20:00,,,15.7,8,290,0,19.7,,63.2
LINTON ON OUSE,02/07/2017 21:00,,,15.3,4,300,0,19.1,,64.5
LINTON ON OUSE,02/07/2017 22:00,,,14.8,4,270,0,18.5,,66.5
LINTON ON OUSE,02/07/2017 23:00,,,14.4,3,230,0,18.1,,67.8
LINTON ON OUSE,03-Jul-17,,,13.4,3,220,0,17.6,,73.4
LINTON ON OUSE,03/07/2017 01:00,,,13.3,4,190,0,17.2,,77
LINTON ON OUSE,03/07/2017 02:00,,,11.5,1,350,0,16.8,,73.6
LINTON ON OUSE,03/07/2017 03:00,,,12.3,2,340,0,16.3,,84.6
LINTON ON OUSE,03/07/2017 04:00,,,12.9,2,200,0,15.9,,80.7
LINTON ON OUSE,03/07/2017 05:00,,,13.4,5,230,0.2,15.7,,85.3
LINTON ON OUSE,03/07/2017 06:00,,,14.5,3,250,0,15.7,,85.4
LINTON ON OUSE,03/07/2017 07:00,,,14.6,7,270,0,15.8,,85.4
LINTON ON OUSE,03/07/2017 08:00,,,15,10,240,0,15.9,,88.3
LINTON ON OUSE,03/07/2017 09:00,,,16.6,8,240,0,16.1,16.7,80.7
LINTON ON OUSE,03/07/2017 10:00,,,18.2,15,260,0,16.5,,71.9
LINTON ON OUSE,03/07/2017 11:00,,,18.3,11,270,0,17,,66
LINTON ON OUSE,03/07/2017 12:00,,,20.1,14,270,0,17.6,,58.9
LINTON ON OUSE,03/07/2017 13:00,,,19.7,12,280,0,18.5,,55.7
LINTON ON OUSE,03/07/2017 14:00,,14.8,19.8,15,270,0,19.4,,55.3
LINTON ON OUSE,03/07/2017 15:00,,13.3,19,13,270,0,20.4,,48.4
LINTON ON OUSE,03/07/2017 16:00,,13.4,19.1,12,260,0,21,,48.6
LINTON ON OUSE,03/07/2017 17:00,,13.7,19.1,12,250,0,21.4,,51
LINTON ON OUSE,03/07/2017 18:00,,13.4,18.2,10,260,0,21.5,,54.9
LINTON ON OUSE,03/07/2017 19:00,,13.1,17.6,7,310,0,21.1,,56.7
LINTON ON OUSE,03/07/2017 20:00,,12,15.5,7,290,0,20.6,,63.5
LINTON ON OUSE,03/07/2017 21:00,,,14.6,6,270,0,19.9,,
LINTON ON OUSE,03/07/2017 22:00,,,13.8,3,310,0,19.3,,
LINTON ON OUSE,03/07/2017 23:00,,11.3,13.4,4,260,0,18.8,,75.9
LINTON ON OUSE,04-Jul-17,,11.2,13.3,2,290,0,18.4,,75.9
LINTON ON OUSE,04/07/2017 01:00,,11.2,13,3,220,0,18,,79
LINTON ON OUSE,04/07/2017 02:00,,10.9,12.3,2,300,0,17.7,,83.2
LINTON ON OUSE,04/07/2017 03:00,,10.8,12.3,1,270,0,17.3,,82
LINTON ON OUSE,04/07/2017 04:00,,11.5,12.5,1,360,0,17.1,,88
LINTON ON OUSE,04/07/2017 05:00,,11.8,12.5,2,340,0,16.9,,91.6
LINTON ON OUSE,04/07/2017 06:00,,11.2,13.1,1,160,0,16.7,,78
LINTON ON OUSE,04/07/2017 07:00,,11.8,13.4,1,190,0,16.7,,81.6
LINTON ON OUSE,04/07/2017 08:00,,12.2,14,2,60,0,16.7,,79.7
LINTON ON OUSE,04/07/2017 09:00,,11.9,14,2,40,0,16.8,16.9,76.5
LINTON ON OUSE,04/07/2017 10:00,,12.1,14.7,6,160,0,16.9,,71.7
LINTON ON OUSE,04/07/2017 11:00,,12.2,14.2,6,170,0,17.1,,77.7
LINTON ON OUSE,04/07/2017 12:00,,13.4,15.8,5,130,0,17.2,,74.8
LINTON ON OUSE,04/07/2017 13:00,,13.8,15.8,7,140,0,17.5,,78.8
LINTON ON OUSE,04/07/2017 14:00,,14.8,16.8,6,130,0,17.7,,79.5
LINTON ON OUSE,04/07/2017 15:00,,15.6,16.5,3,200,0.8,18,,90.5
LINTON ON OUSE,04/07/2017 16:00,,16,16.9,5,200,0,18.1,,90.7
LINTON ON OUSE,04/07/2017 17:00,,16.2,17,3,240,0.8,18.1,,91.7
LINTON ON OUSE,04/07/2017 18:00,,15.8,16.7,2,260,0.2,18.1,,90.6
LINTON ON OUSE,04/07/2017 19:00,,15.4,16.7,2,250,0.4,17.9,,86.4
LINTON ON OUSE,04/07/2017 20:00,,14.9,16.4,5,250,0,17.8,,84.3
LINTON ON OUSE,04/07/2017 21:00,,14.2,15.9,6,250,0,17.5,,82
LINTON ON OUSE,04/07/2017 22:00,,14.2,15.5,8,250,0,17.3,,86
LINTON ON OUSE,04/07/2017 23:00,,14.1,15.4,4,220,0,17,,85.9
LINTON ON OUSE,05-Jul-17,,14,15.1,4,270,0,16.8,,87.9
LINTON ON OUSE,05/07/2017 01:00,,14,15.2,5,240,0,16.7,,86.9
LINTON ON OUSE,05/07/2017 02:00,,13.7,14.1,5,330,0,16.5,,95.4
LINTON ON OUSE,05/07/2017 03:00,,13.1,13.5,7,320,0,16.4,,95.3
LINTON ON OUSE,05/07/2017 04:00,,12.8,13,8,330,0,16.3,,97.7
LINTON ON OUSE,05/07/2017 05:00,,12.7,12.8,7,330,0,16.1,,98.8
LINTON ON OUSE,05/07/2017 06:00,,13,13.3,5,330,0,16,,96.5
LINTON ON OUSE,05/07/2017 07:00,,13.3,13.9,6,330,0,16,,93.1
LINTON ON OUSE,05/07/2017 08:00,,13.4,14.5,4,10,0,16,,87.7
LINTON ON OUSE,05/07/2017 09:00,,13.5,14.8,4,360,0,16.2,16.6,85.6
LINTON ON OUSE,05/07/2017 10:00,,13.6,15,2,30,0,16.4,,84.6
LINTON ON OUSE,05/07/2017 11:00,,13.9,15.4,2,30,0,16.5,,83.8
LINTON ON OUSE,05/07/2017 12:00,,13.8,15.6,7,60,0,16.8,,80.7
LINTON ON OUSE,05/07/2017 13:00,,14.2,16.3,5,30,0,17,,78.2
LINTON ON OUSE,05/07/2017 14:00,,14.3,16.6,4,30,0,17.3,,76.3
LINTON ON OUSE,05/07/2017 15:00,,14.5,16.7,5,70,0,17.6,,77.4
LINTON ON OUSE,05/07/2017 16:00,,14.6,16.9,7,70,0,17.8,,76.6
LINTON ON OUSE,05/07/2017 17:00,,14.6,17,6,90,0,17.9,,75.7
LINTON ON OUSE,05/07/2017 18:00,,14.5,17.1,6,70,0,18.1,,73.8
LINTON ON OUSE,05/07/2017 19:00,,13.8,15.7,9,80,0,18.1,,79.8
LINTON ON OUSE,05/07/2017 20:00,,13.1,14.5,8,90,0,17.8,,84.4
LINTON ON OUSE,05/07/2017 21:00,,12.9,14,8,90,0,17.4,,87.4
LINTON ON OUSE,05/07/2017 22:00,,12.7,13.7,6,100,0,17.1,,88.5
LINTON ON OUSE,05/07/2017 23:00,,12.6,13.5,6,100,0,16.8,,89.5
LINTON ON OUSE,06-Jul-17,,12.6,13.4,4,100,0,16.6,,90.6
LINTON ON OUSE,06/07/2017 01:00,,12.7,13.4,3,110,0,16.4,,91.8
LINTON ON OUSE,06/07/2017 02:00,,12.7,13.4,2,90,0,16.2,,91.8
LINTON ON OUSE,06/07/2017 03:00,,12.8,13.4,2,80,0,16.1,,93
LINTON ON OUSE,06/07/2017 04:00,,12.8,13.4,2,80,0,16,,93
LINTON ON OUSE,06/07/2017 05:00,,13,13.5,3,110,0,15.9,,94.1
LINTON ON OUSE,06/07/2017 06:00,,13.6,14,7,130,0,15.8,,95.4
LINTON ON OUSE,06/07/2017 07:00,,14,14.7,8,150,0,15.9,,92.2
LINTON ON OUSE,06/07/2017 08:00,,14.6,15.8,9,190,0,16.1,,87.1
LINTON ON OUSE,06/07/2017 09:00,,15,16.5,6,180,0,16.4,16.6,84.3
LINTON ON OUSE,06/07/2017 10:00,,16.1,18.6,6,150,0,16.8,,75.9
LINTON ON OUSE,06/07/2017 11:00,,16.9,20.1,5,160,0,17.8,,70.8
LINTON ON OUSE,06/07/2017 12:00,,17.6,22.1,7,160,0,18.7,,61.9
LINTON ON OUSE,06/07/2017 13:00,,18.5,23.6,5,190,0,19.8,,58.9
LINTON ON OUSE,06/07/2017 14:00,,19.5,25,6,150,0,20.8,,57.5
LINTON ON OUSE,06/07/2017 15:00,,20,26.2,6,170,0,22,,54
LINTON ON OUSE,06/07/2017 16:00,,19.5,25.3,8,170,0,22.7,,55.7
LINTON ON OUSE,06/07/2017 17:00,,19,23.1,5,30,0,22.7,,66
LINTON ON OUSE,06/07/2017 18:00,,19.4,22.5,3,70,0,22.5,,73.4
LINTON ON OUSE,06/07/2017 19:00,,17.8,19.9,9,80,0,22.1,,80.4
LINTON ON OUSE,06/07/2017 20:00,,17.8,19.7,2,180,0,21.7,,82.1
LINTON ON OUSE,06/07/2017 21:00,,17.5,18.8,2,140,0,21.2,,87.3
LINTON ON OUSE,06/07/2017 22:00,,16.8,18.4,2,280,0,20.7,,84.3
LINTON ON OUSE,06/07/2017 23:00,,15.9,17.5,3,270,0,20.2,,83.9
LINTON ON OUSE,07-Jul-17,,15.2,16.5,5,270,0,19.7,,86.4
LINTON ON OUSE,07/07/2017 01:00,,14.6,15.5,6,250,0,19.3,,90.2
LINTON ON OUSE,07/07/2017 02:00,,14.3,15.1,8,270,0,18.9,,91.1
LINTON ON OUSE,07/07/2017 03:00,,13.9,14.7,3,250,0,18.4,,91.1
LINTON ON OUSE,07/07/2017 04:00,,13.6,14.6,7,260,0,18,,88.9
LINTON ON OUSE,07/07/2017 05:00,,13.9,14.9,5,230,0,17.6,,89
LINTON ON OUSE,07/07/2017 06:00,,14.7,15.7,4,220,0,17.5,,89.2
LINTON ON OUSE,07/07/2017 07:00,,15.9,17.8,6,250,0,17.5,,81.1
LINTON ON OUSE,07/07/2017 08:00,,16.3,19,9,280,0,17.9,,74.4
LINTON ON OUSE,07/07/2017 09:00,,16.3,19.1,8,260,0,18.5,17.6,73.6
LINTON ON OUSE,07/07/2017 10:00,,17,20.8,10,240,0,19,,66.3
LINTON ON OUSE,07/07/2017 11:00,,16.6,20.2,8,250,0,19.9,,67.5
LINTON ON OUSE,07/07/2017 12:00,,16.8,20.8,13,260,0,20.3,,64.7
LINTON ON OUSE,07/07/2017 13:00,,16.4,19.8,8,270,0,20.6,,68.8
LINTON ON OUSE,07/07/2017 14:00,,16.4,19.8,9,270,0,20.5,,68.8
LINTON ON OUSE,07/07/2017 15:00,,16.4,19.5,8,270,0,20.5,,71.2
LINTON ON OUSE,07/07/2017 16:00,,16,19.2,11,260,0,20.6,,70
LINTON ON OUSE,07/07/2017 17:00,,15.9,18.5,10,270,0,20.5,,74.9
LINTON ON OUSE,07/07/2017 18:00,,15.8,18.2,7,270,0,20.3,,76.6
LINTON ON OUSE,07/07/2017 19:00,,15.4,17.6,7,290,0,20.1,,78
LINTON ON OUSE,07/07/2017 20:00,,15.2,15.7,6,260,0,19.8,,94.6
LINTON ON OUSE,07/07/2017 21:00,,15,15.8,8,240,0,19.4,,91.4
LINTON ON OUSE,07/07/2017 22:00,,14.8,15.8,6,260,0,19.1,,89.3
LINTON ON OUSE,07/07/2017 23:00,,14,14.9,5,260,0,18.8,,90
LINTON ON OUSE,08-Jul-17,,13.9,15,6,310,0,18.4,,87.9
LINTON ON OUSE,08/07/2017 01:00,,12.2,14,7,310,0,18.1,,79.8
LINTON ON OUSE,08/07/2017 02:00,,10.7,12.1,4,340,0,17.8,,83.1
LINTON ON OUSE,08/07/2017 03:00,,9.1,10.2,4,330,0,17.3,,85.7
LINTON ON OUSE,08/07/2017 04:00,,9.1,10.7,6,310,0,16.8,,79.7
LINTON ON OUSE,08/07/2017 05:00,,9.1,10.3,5,330,0,16.4,,84.4
LINTON ON OUSE,08/07/2017 06:00,,9.8,11.9,5,310,0,16,,74.7
LINTON ON OUSE,08/07/2017 07:00,,10.1,13.1,7,300,0,16,,65.8
LINTON ON OUSE,08/07/2017 08:00,,10.5,14.6,10,310,0,16.3,,56.3
LINTON ON OUSE,08/07/2017 09:00,,10.4,15.1,10,310,0,16.9,17.2,51.2
LINTON ON OUSE,08/07/2017 10:00,,11,15.9,6,310,0,17.9,,50.6
LINTON ON OUSE,08/07/2017 11:00,,12,17.5,8,260,0,19.1,,47.8
LINTON ON OUSE,08/07/2017 12:00,,13,18.5,9,250,0,20.3,,49.3
LINTON ON OUSE,08/07/2017 13:00,,12.5,18,7,280,0,21.5,,48.5
LINTON ON OUSE,08/07/2017 14:00,,13.4,19.3,9,260,0,22.3,,47.3
LINTON ON OUSE,08/07/2017 15:00,,14,20.6,11,240,0,22.8,,43.8
LINTON ON OUSE,08/07/2017 16:00,,13.8,20.3,8,280,0,23.3,,44.1
LINTON ON OUSE,08/07/2017 17:00,,13.6,20.1,9,270,0,23.6,,43.8
LINTON ON OUSE,08/07/2017 18:00,,14.1,19.8,10,270,0,23.5,,49.6
LINTON ON OUSE,08/07/2017 19:00,,13.8,18.7,10,260,0,23.2,,54.7
LINTON ON OUSE,08/07/2017 20:00,,13.3,17,3,290,0,22.7,,63.3
LINTON ON OUSE,08/07/2017 21:00,,11.9,14.5,4,280,0,21.9,,71.6
LINTON ON OUSE,08/07/2017 22:00,,11.9,15,6,240,0,21.1,,66.9
LINTON ON OUSE,08/07/2017 23:00,,11.4,13.8,4,220,0,20.4,,73.1
LINTON ON OUSE,09-Jul-17,,11.3,13.4,4,230,0,19.7,,76
LINTON ON OUSE,09/07/2017 01:00,,11,12.8,5,180,0,19.1,,78.9
LINTON ON OUSE,09/07/2017 02:00,,10.6,12.1,4,200,0,18.6,,81.9
LINTON ON OUSE,09/07/2017 03:00,,10.3,11.6,3,190,0,18.2,,84
LINTON ON OUSE,09/07/2017 04:00,,10.6,11.7,4,180,0,17.8,,86.5
LINTON ON OUSE,09/07/2017 05:00,,10.6,11.4,2,90,0,17.5,,90.1
LINTON ON OUSE,09/07/2017 06:00,,12,13.3,2,150,0,17.2,,84.9
LINTON ON OUSE,09/07/2017 07:00,,13.3,14.9,2,130,0,17.3,,82.5
LINTON ON OUSE,09/07/2017 08:00,,14.2,16.9,4,200,0,17.5,,72.7
LINTON ON OUSE,09/07/2017 09:00,,15.5,18.9,3,190,0,18.3,17.5,68
LINTON ON OUSE,09/07/2017 10:00,,16.2,20,3,270,0,19.3,,65.6
LINTON ON OUSE,09/07/2017 11:00,,17.4,21.5,5,310,0,20.1,,64.6
LINTON ON OUSE,09/07/2017 12:00,,17.1,21.9,10,280,0,20.8,,59.5
LINTON ON OUSE,09/07/2017 13:00,,17.6,23.5,9,260,0,21.8,,53
LINTON ON OUSE,09/07/2017 14:00,,17.5,23.3,9,270,0,22.7,,53.5
LINTON ON OUSE,09/07/2017 15:00,,16.7,23,9,270,0,23.4,,49.6
LINTON ON OUSE,09/07/2017 16:00,,17.3,23.1,11,300,0,24,,53.3
LINTON ON OUSE,09/07/2017 17:00,,17.1,22.5,11,290,0,24.2,,55.6
LINTON ON OUSE,09/07/2017 18:00,,16.8,21.5,8,310,0,24.3,,59.8
LINTON ON OUSE,09/07/2017 19:00,,16.5,20.6,7,290,0,24,,63.7
LINTON ON OUSE,09/07/2017 20:00,,15.4,18.3,5,290,0,23.5,,72.1
LINTON ON OUSE,09/07/2017 21:00,,14.4,16.4,5,300,0,22.8,,79.3
LINTON ON OUSE,09/07/2017 22:00,,14.2,16.2,7,260,0,22.1,,79.2
LINTON ON OUSE,09/07/2017 23:00,,12.6,14.9,6,280,0,21.4,,75.1
LINTON ON OUSE,10-Jul-17,,12.2,14.2,4,270,0,20.9,,77.8
LINTON ON OUSE,10/07/2017 01:00,,12,13.4,2,360,0,20.4,,83.9
LINTON ON OUSE,10/07/2017 02:00,,11.6,12.9,4,300,0,19.9,,84.7
LINTON ON OUSE,10/07/2017 03:00,,11.3,12.5,3,250,0,19.5,,85.7
LINTON ON OUSE,10/07/2017 04:00,,11.1,12,3,310,0,19.1,,89.1
LINTON ON OUSE,10/07/2017 05:00,,11.6,12.7,2,300,0,18.8,,86.9
LINTON ON OUSE,10/07/2017 06:00,,12.2,13.5,1,260,0,18.6,,85.1
LINTON ON OUSE,10/07/2017 07:00,,13.1,14.6,1,60,0,18.5,,83.5
LINTON ON OUSE,10/07/2017 08:00,,13.6,15.4,3,190,0,18.6,,80.7
LINTON ON OUSE,10/07/2017 09:00,,14.1,15.2,3,210,0.4,18.7,18,88
LINTON ON OUSE,10/07/2017 10:00,,14.8,15.9,3,190,0,18.7,,88.3
LINTON ON OUSE,10/07/2017 11:00,,15.3,15.9,4,290,0.4,18.9,,93.6
LINTON ON OUSE,10/07/2017 12:00,,15.6,16.6,4,230,0.4,19,,89.6
LINTON ON OUSE,10/07/2017 13:00,,15.5,17.9,8,230,0,19.3,,76.4
LINTON ON OUSE,10/07/2017 14:00,,16,18.7,7,270,0,19.7,,74.3
LINTON ON OUSE,10/07/2017 15:00,,15.6,20.4,10,270,0,20.1,,57.9
LINTON ON OUSE,10/07/2017 16:00,,15.4,19.8,12,270,0,20.6,,60.4
LINTON ON OUSE,10/07/2017 17:00,,14.9,18.7,12,260,0,20.9,,64.4
LINTON ON OUSE,10/07/2017 18:00,,14.8,18.5,9,270,0,20.9,,65.1
LINTON ON OUSE,10/07/2017 19:00,,13.3,17.1,9,270,0,20.9,,62.6
LINTON ON OUSE,10/07/2017 20:00,,12.5,15.8,9,270,0,20.5,,65.9
LINTON ON OUSE,10/07/2017 21:00,,12,15.1,8,280,0,20,,67.2
LINTON ON OUSE,10/07/2017 22:00,,11,13.9,7,270,0,19.5,,67.9
LINTON ON OUSE,10/07/2017 23:00,,10.3,13.1,6,270,0,19,,68.1
LINTON ON OUSE,11-Jul-17,,10.2,12.8,5,270,0,18.6,,70
LINTON ON OUSE,11/07/2017 01:00,,9.8,12.2,3,280,0,18.2,,71.7
LINTON ON OUSE,11/07/2017 02:00,,9.5,11.7,3,220,0,17.9,,73.5
LINTON ON OUSE,11/07/2017 03:00,,9.4,11.9,3,290,0,17.6,,70.2
LINTON ON OUSE,11/07/2017 04:00,,9.8,11.6,3,210,0,17.3,,78.1
LINTON ON OUSE,11/07/2017 05:00,,10,11.7,4,220,0,17,,79.3
LINTON ON OUSE,11/07/2017 06:00,,10.8,11.7,1,220,0,16.9,,89
LINTON ON OUSE,11/07/2017 07:00,,11.3,12.2,1,200,0,16.8,,89.1
LINTON ON OUSE,11/07/2017 08:00,,11.7,12.4,5,190,0.4,16.8,,91.6
LINTON ON OUSE,11/07/2017 09:00,,11,12.5,1,170,0.6,16.9,17.4,82.2
LINTON ON OUSE,11/07/2017 10:00,,10.7,11.6,4,80,1,17,,88.9
LINTON ON OUSE,11/07/2017 11:00,,11.2,11.5,5,40,1.4,17,,96.3
LINTON ON OUSE,11/07/2017 12:00,,11.1,11.5,6,50,0.8,16.9,,95.1
LINTON ON OUSE,11/07/2017 13:00,,11.3,11.8,4,50,0.6,16.9,,93.8
LINTON ON OUSE,11/07/2017 14:00,,11.5,12.2,5,80,0.6,17,,91.5
LINTON ON OUSE,11/07/2017 15:00,,11.8,12.5,6,60,0,17.1,,91.7
LINTON ON OUSE,11/07/2017 16:00,,12.4,12.8,5,50,0.2,17.1,,95.2
LINTON ON OUSE,11/07/2017 17:00,,12.3,12.9,7,70,0.2,17,,92.9
LINTON ON OUSE,11/07/2017 18:00,,12.4,13.3,5,90,0,17,,89.5
LINTON ON OUSE,11/07/2017 19:00,,12.4,13.5,2,80,0,17,,87.3
LINTON ON OUSE,11/07/2017 20:00,,12.4,13.3,1,70,0,17,,89.5
LINTON ON OUSE,11/07/2017 21:00,,12.5,13,2,10,0,16.9,,94.1
LINTON ON OUSE,11/07/2017 22:00,,11.6,11.9,5,360,0,16.7,,96.3
LINTON ON OUSE,11/07/2017 23:00,,11.7,12.2,6,350,0,16.4,,93.9
LINTON ON OUSE,12-Jul-17,,11.7,12.2,6,350,0,16.1,,93.9
LINTON ON OUSE,12/07/2017 01:00,,10.5,10.9,6,330,0,15.9,,94.9
LINTON ON OUSE,12/07/2017 02:00,,10.8,11.3,6,330,0,15.7,,93.8
LINTON ON OUSE,12/07/2017 03:00,,10.6,11.3,8,350,0,15.5,,91.3
LINTON ON OUSE,12/07/2017 04:00,,9.7,10.2,5,330,0,15.3,,93.5
LINTON ON OUSE,12/07/2017 05:00,,9.5,9.8,6,320,0,15,,96
LINTON ON OUSE,12/07/2017 06:00,,10.4,11.1,8,320,0,14.8,,91.1
LINTON ON OUSE,12/07/2017 07:00,,11.6,12.8,9,330,0,14.7,,85.8
LINTON ON OUSE,12/07/2017 08:00,,11.9,13.8,11,330,0,15.1,,78.6
LINTON ON OUSE,12/07/2017 09:00,,12.1,16,9,10,0,15.7,16.5,60.2
LINTON ON OUSE,12/07/2017 10:00,,12,16.6,10,30,0,16.5,,54.4
LINTON ON OUSE,12/07/2017 11:00,,12.4,17.1,8,30,0,17.5,,54.2
LINTON ON OUSE,12/07/2017 12:00,,12.5,17.6,9,20,0,18.2,,51.4
LINTON ON OUSE,12/07/2017 13:00,,12,17.7,7,10,0,18.8,,46.3
LINTON ON OUSE,12/07/2017 14:00,,12.6,18.3,6,20,0,19.3,,47.3
LINTON ON OUSE,12/07/2017 15:00,,13.1,19.1,5,30,0,19.6,,46.1
LINTON ON OUSE,12/07/2017 16:00,,13,19.2,6,60,0,20.2,,44.6
LINTON ON OUSE,12/07/2017 17:00,,13,19.2,1,290,0,20.7,,44.6
LINTON ON OUSE,12/07/2017 18:00,,13.2,19.2,3,190,0,20.8,,46.2
LINTON ON OUSE,12/07/2017 19:00,,13.3,19.2,6,110,0,20.6,,47
LINTON ON OUSE,12/07/2017 20:00,,12.8,16.1,9,130,0,20.1,,66.1
LINTON ON OUSE,12/07/2017 21:00,,11.9,14.3,5,110,0,19.5,,73.5
LINTON ON OUSE,12/07/2017 22:00,,11.4,13.7,7,140,0,18.8,,74
LINTON ON OUSE,12/07/2017 23:00,,10.7,12.3,5,130,0,18.2,,80.8
LINTON ON OUSE,13-Jul-17,,10.1,11.3,5,120,0,17.7,,85.1
LINTON ON OUSE,13/07/2017 01:00,,9.9,10.8,5,130,0,17.1,,88.4
LINTON ON OUSE,13/07/2017 02:00,,9.7,10.4,4,160,0,16.7,,90.9
LINTON ON OUSE,13/07/2017 03:00,,9.3,9.8,4,130,0,16.3,,93.3
LINTON ON OUSE,13/07/2017 04:00,,9.1,9.6,3,70,0,15.9,,93.2
LINTON ON OUSE,13/07/2017 05:00,,9.5,10,2,90,0,15.6,,93.4
LINTON ON OUSE,13/07/2017 06:00,,10.2,10.9,3,90,0,15.4,,91.1
LINTON ON OUSE,13/07/2017 07:00,,11.5,12.6,4,110,0,15.4,,86.8
LINTON ON OUSE,13/07/2017 08:00,,12.3,14.4,5,150,0,15.7,,76.8
LINTON ON OUSE,13/07/2017 09:00,,13.8,17,3,150,0,16.2,16.9,68
LINTON ON OUSE,13/07/2017 10:00,,15.4,19.4,5,130,0,17.3,,63.2
LINTON ON OUSE,13/07/2017 11:00,,14.7,21.5,12,240,0,18.6,,43.6
LINTON ON OUSE,13/07/2017 12:00,,14.1,21.4,14,230,0,19.7,,39.8
LINTON ON OUSE,13/07/2017 13:00,,15.1,21.8,8,270,0,20.5,,44.9
LINTON ON OUSE,13/07/2017 14:00,,14.7,21.1,12,250,0,21.1,,46
LINTON ON OUSE,13/07/2017 15:00,,15.5,21.9,9,260,0,21.4,,47.2
LINTON ON OUSE,13/07/2017 16:00,,14.8,21.6,9,270,0,21.5,,43.8
LINTON ON OUSE,13/07/2017 17:00,,14.4,20.7,11,280,0,21.4,,46.2
LINTON ON OUSE,13/07/2017 18:00,,14.2,19.6,9,270,0,21.3,,51.8
LINTON ON OUSE,13/07/2017 19:00,,14.3,19.2,9,280,0,20.9,,55.3
LINTON ON OUSE,13/07/2017 20:00,,13,17.2,5,250,0,20.6,,58.9
