site,OBTIME,RAD,WB,DB,WS,WD,RAIN,10CM,30CM,RH
THE LIZARD NNR,01/07/2018,,,,5,50,0,,,
THE LIZARD NNR,01/07/2018 01:00,,,,6,60,0,,,
THE LIZARD NNR,01/07/2018 02:00,,,,7,70,0,,,
THE LIZARD NNR,01/07/2018 03:00,,,,9,50,0,,,
THE LIZARD NNR,01/07/2018 04:00,,,,9,60,0,,,
THE LIZARD NNR,01/07/2018 05:00,,,,8,60,0,,,
THE LIZARD NNR,01/07/2018 06:00,,,,8,70,0,,,
THE LIZARD NNR,01/07/2018 07:00,,,,8,80,1.2,,,
THE LIZARD NNR,01/07/2018 08:00,,,,9,70,0.8,,,
THE LIZARD NNR,01/07/2018 09:00,,,,9,60,0.2,,,
THE LIZARD NNR,01/07/2018 10:00,,,,10,60,1.4,,,
THE LIZARD NNR,01/07/2018 11:00,,,,8,60,0,,,
THE LIZARD NNR,01/07/2018 12:00,,,,11,70,0,,,
THE LIZARD NNR,01/07/2018 13:00,,,,10,70,0,,,
THE LIZARD NNR,01/07/2018 14:00,,,,7,80,0,,,
THE LIZARD NNR,01/07/2018 15:00,,,,7,90,0,,,
THE LIZARD NNR,01/07/2018 16:00,,,,7,100,0,,,
THE LIZARD NNR,01/07/2018 17:00,,,,6,100,0,,,
THE LIZARD NNR,01/07/2018 18:00,,,,5,290,0,,,
THE LIZARD NNR,01/07/2018 19:00,,,,5,270,0,,,
THE LIZARD NNR,01/07/2018 20:00,,,,3,300,0,,,
THE LIZARD NNR,01/07/2018 21:00,,,,3,340,0,,,
THE LIZARD NNR,01/07/2018 22:00,,,,2,40,0,,,
THE LIZARD NNR,01/07/2018 23:00,,,,2,10,0,,,
THE LIZARD NNR,02/07/2018,,,,2,360,0,,,
THE LIZARD NNR,02/07/2018 01:00,,,,3,10,0,,,
THE LIZARD NNR,02/07/2018 02:00,,,,2,30,0,,,
THE LIZARD NNR,02/07/2018 03:00,,,,3,20,0,,,
THE LIZARD NNR,02/07/2018 04:00,,,,2,30,0,,,
THE LIZARD NNR,02/07/2018 05:00,,,,3,20,0,,,
THE LIZARD NNR,02/07/2018 06:00,,,,3,10,0,,,
THE LIZARD NNR,02/07/2018 07:00,,,,7,50,0,,,
THE LIZARD NNR,02/07/2018 08:00,,,,9,50,0,,,
THE LIZARD NNR,02/07/2018 09:00,,,,11,60,0,,,
THE LIZARD NNR,02/07/2018 10:00,,,,10,60,0,,,
THE LIZARD NNR,02/07/2018 11:00,,,,11,90,0,,,
THE LIZARD NNR,02/07/2018 12:00,,,,11,90,0,,,
THE LIZARD NNR,02/07/2018 13:00,,,,12,80,0,,,
THE LIZARD NNR,02/07/2018 14:00,,,,11,80,0,,,
THE LIZARD NNR,02/07/2018 15:00,,,,13,80,0,,,
THE LIZARD NNR,02/07/2018 16:00,,,,10,80,0,,,
THE LIZARD NNR,02/07/2018 17:00,,,,9,80,0,,,
THE LIZARD NNR,02/07/2018 18:00,,,,8,70,0,,,
THE LIZARD NNR,02/07/2018 19:00,,,,6,60,0,,,
THE LIZARD NNR,02/07/2018 20:00,,,,3,40,0,,,
THE LIZARD NNR,02/07/2018 21:00,,,,4,50,0,,,
THE LIZARD NNR,02/07/2018 22:00,,,,6,70,0,,,
THE LIZARD NNR,02/07/2018 23:00,,,,5,90,0,,,
THE LIZARD NNR,03/07/2018,,,,5,70,0,,,
THE LIZARD NNR,03/07/2018 01:00,,,,6,70,0,,,
THE LIZARD NNR,03/07/2018 02:00,,,,7,80,0,,,
THE LIZARD NNR,03/07/2018 03:00,,,,6,70,0,,,
THE LIZARD NNR,03/07/2018 04:00,,,,4,60,0,,,
THE LIZARD NNR,03/07/2018 05:00,,,,6,50,0,,,
THE LIZARD NNR,03/07/2018 06:00,,,,6,50,0,,,
THE LIZARD NNR,03/07/2018 07:00,,,,6,60,0,,,
THE LIZARD NNR,03/07/2018 08:00,,,,9,60,0,,,
THE LIZARD NNR,03/07/2018 09:00,,,,13,70,0,,,
THE LIZARD NNR,03/07/2018 10:00,,,,15,70,0,,,
THE LIZARD NNR,03/07/2018 11:00,,,,14,80,0,,,
THE LIZARD NNR,03/07/2018 12:00,,,,20,80,0,,,
THE LIZARD NNR,03/07/2018 13:00,,,,17,70,0,,,
THE LIZARD NNR,03/07/2018 14:00,,,,13,60,0,,,
THE LIZARD NNR,03/07/2018 15:00,,,,10,60,0,,,
THE LIZARD NNR,03/07/2018 16:00,,,,12,60,0,,,
THE LIZARD NNR,03/07/2018 17:00,,,,14,80,0.4,,,
THE LIZARD NNR,03/07/2018 18:00,,,,14,80,0,,,
THE LIZARD NNR,03/07/2018 19:00,,,,12,90,0,,,
THE LIZARD NNR,03/07/2018 20:00,,,,11,90,0.2,,,
THE LIZARD NNR,03/07/2018 21:00,,,,9,90,0,,,
THE LIZARD NNR,03/07/2018 22:00,,,,7,90,0,,,
THE LIZARD NNR,03/07/2018 23:00,,,,8,80,0,,,
THE LIZARD NNR,04/07/2018,,,,6,100,0,,,
THE LIZARD NNR,04/07/2018 01:00,,,,8,110,0,,,
THE LIZARD NNR,04/07/2018 02:00,,,,8,100,0.2,,,
THE LIZARD NNR,04/07/2018 03:00,,,,8,100,0,,,
THE LIZARD NNR,04/07/2018 04:00,,,,8,110,0.2,,,
THE LIZARD NNR,04/07/2018 05:00,,,,7,110,0,,,
THE LIZARD NNR,04/07/2018 06:00,,,,8,110,0.4,,,
THE LIZARD NNR,04/07/2018 07:00,,,,7,140,0.8,,,
THE LIZARD NNR,04/07/2018 08:00,,,,7,120,1.8,,,
THE LIZARD NNR,04/07/2018 09:00,,,,6,140,1,,,
THE LIZARD NNR,04/07/2018 10:00,,,,8,120,0,,,
THE LIZARD NNR,04/07/2018 11:00,,,,7,130,0,,,
THE LIZARD NNR,04/07/2018 12:00,,,,6,110,0,,,
THE LIZARD NNR,04/07/2018 13:00,,,,6,120,0.2,,,
THE LIZARD NNR,04/07/2018 14:00,,,,5,120,1.2,,,
THE LIZARD NNR,04/07/2018 15:00,,,,6,150,1.2,,,
THE LIZARD NNR,04/07/2018 16:00,,,,4,140,0.6,,,
THE LIZARD NNR,04/07/2018 17:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 18:00,,,,4,120,0,,,
THE LIZARD NNR,04/07/2018 19:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 20:00,,,,4,110,0,,,
THE LIZARD NNR,04/07/2018 21:00,,,,4,90,0,,,
THE LIZARD NNR,04/07/2018 22:00,,,,4,80,0,,,
THE LIZARD NNR,04/07/2018 23:00,,,,4,80,0,,,
THE LIZARD NNR,05/07/2018,,,,5,60,0,,,
THE LIZARD NNR,05/07/2018 01:00,,,,6,50,0,,,
THE LIZARD NNR,05/07/2018 02:00,,,,5,70,0,,,
THE LIZARD NNR,05/07/2018 03:00,,,,4,50,0,,,
THE LIZARD NNR,05/07/2018 04:00,,,,2,20,0,,,
THE LIZARD NNR,05/07/2018 05:00,,,,2,10,0,,,
THE LIZARD NNR,05/07/2018 06:00,,,,2,10,0,,,
THE LIZARD NNR,05/07/2018 07:00,,,,1,40,0,,,
THE LIZARD NNR,05/07/2018 08:00,,,,3,360,0,,,
THE LIZARD NNR,05/07/2018 09:00,,,,3,30,0,,,
THE LIZARD NNR,05/07/2018 10:00,,,,4,270,0,,,
THE LIZARD NNR,05/07/2018 11:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 12:00,,,,6,320,0,,,
THE LIZARD NNR,05/07/2018 13:00,,,,5,320,0,,,
THE LIZARD NNR,05/07/2018 14:00,,,,6,320,0,,,
THE LIZARD NNR,05/07/2018 15:00,,,,7,300,0,,,
THE LIZARD NNR,05/07/2018 16:00,,,,8,320,0,,,
THE LIZARD NNR,05/07/2018 17:00,,,,8,320,0,,,
THE LIZARD NNR,05/07/2018 18:00,,,,8,310,0,,,
THE LIZARD NNR,05/07/2018 19:00,,,,6,300,0,,,
THE LIZARD NNR,05/07/2018 20:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 21:00,,,,4,300,0,,,
THE LIZARD NNR,05/07/2018 22:00,,,,5,310,0,,,
THE LIZARD NNR,05/07/2018 23:00,,,,5,310,0,,,
THE LIZARD NNR,06/07/2018,,,,5,300,0,,,
THE LIZARD NNR,06/07/2018 01:00,,,,5,300,0,,,
THE LIZARD NNR,06/07/2018 02:00,,,,5,300,0,,,
THE LIZARD NNR,06/07/2018 03:00,,,,4,300,0,,,
THE LIZARD NNR,06/07/2018 04:00,,,,4,300,0.2,,,
THE LIZARD NNR,06/07/2018 05:00,,,,4,300,0,,,
THE LIZARD NNR,06/07/2018 06:00,,,,4,290,0,,,
THE LIZARD NNR,06/07/2018 07:00,,,,6,310,0,,,
THE LIZARD NNR,06/07/2018 08:00,,,,6,300,0,,,
THE LIZARD NNR,06/07/2018 09:00,,,,6,300,0,,,
THE LIZARD NNR,06/07/2018 10:00,,,,7,330,0,,,
THE LIZARD NNR,06/07/2018 11:00,,,,7,310,0,,,
THE LIZARD NNR,06/07/2018 12:00,,,,6,310,0,,,
THE LIZARD NNR,06/07/2018 13:00,,,,6,310,0,,,
THE LIZARD NNR,06/07/2018 14:00,,,,5,320,0,,,
THE LIZARD NNR,06/07/2018 15:00,,,,5,330,0,,,
THE LIZARD NNR,06/07/2018 16:00,,,,6,330,0,,,
THE LIZARD NNR,06/07/2018 17:00,,,,6,330,0,,,
THE LIZARD NNR,06/07/2018 18:00,,,,5,340,0,,,
THE LIZARD NNR,06/07/2018 19:00,,,,7,330,0,,,
THE LIZARD NNR,06/07/2018 20:00,,,,6,330,0,,,
THE LIZARD NNR,06/07/2018 21:00,,,,4,330,0,,,
THE LIZARD NNR,06/07/2018 22:00,,,,2,310,0,,,
THE LIZARD NNR,06/07/2018 23:00,,,,4,330,0,,,
THE LIZARD NNR,07/07/2018,,,,3,320,0,,,
THE LIZARD NNR,07/07/2018 01:00,,,,4,330,0,,,
THE LIZARD NNR,07/07/2018 02:00,,,,2,340,0,,,
THE LIZARD NNR,07/07/2018 03:00,,,,3,10,0,,,
THE LIZARD NNR,07/07/2018 04:00,,,,3,20,0,,,
THE LIZARD NNR,07/07/2018 05:00,,,,3,40,0,,,
THE LIZARD NNR,07/07/2018 06:00,,,,1,300,0,,,
THE LIZARD NNR,07/07/2018 07:00,,,,3,20,0,,,
THE LIZARD NNR,07/07/2018 08:00,,,,5,50,0,,,
THE LIZARD NNR,07/07/2018 09:00,,,,5,70,0,,,
THE LIZARD NNR,07/07/2018 10:00,,,,4,110,0,,,
THE LIZARD NNR,07/07/2018 11:00,,,,4,120,0,,,
THE LIZARD NNR,07/07/2018 12:00,,,,5,170,0,,,
THE LIZARD NNR,07/07/2018 13:00,,,,7,280,0,,,
THE LIZARD NNR,07/07/2018 14:00,,,,5,250,0,,,
THE LIZARD NNR,07/07/2018 15:00,,,,5,260,0,,,
THE LIZARD NNR,07/07/2018 16:00,,,,5,250,0,,,
THE LIZARD NNR,07/07/2018 17:00,,,,6,270,0,,,
THE LIZARD NNR,07/07/2018 18:00,,,,5,340,0,,,
THE LIZARD NNR,07/07/2018 19:00,,,,4,360,0,,,
THE LIZARD NNR,07/07/2018 20:00,,,,3,340,0,,,
THE LIZARD NNR,07/07/2018 21:00,,,,2,20,0,,,
THE LIZARD NNR,07/07/2018 22:00,,,,2,20,0,,,
THE LIZARD NNR,07/07/2018 23:00,,,,2,30,0,,,
THE LIZARD NNR,08/07/2018,,,,2,30,0,,,
THE LIZARD NNR,08/07/2018 01:00,,,,2,20,0,,,
THE LIZARD NNR,08/07/2018 02:00,,,,2,30,0,,,
THE LIZARD NNR,08/07/2018 03:00,,,,2,20,0,,,
THE LIZARD NNR,08/07/2018 04:00,,,,2,360,0,,,
THE LIZARD NNR,08/07/2018 05:00,,,,3,350,0,,,
THE LIZARD NNR,08/07/2018 06:00,,,,5,10,0,,,
THE LIZARD NNR,08/07/2018 07:00,,,,4,20,0,,,
THE LIZARD NNR,08/07/2018 08:00,,,,4,20,0,,,
THE LIZARD NNR,08/07/2018 09:00,,,,4,50,0,,,
THE LIZARD NNR,08/07/2018 10:00,,,,3,40,0,,,
THE LIZARD NNR,08/07/2018 11:00,,,,5,340,0,,,
THE LIZARD NNR,08/07/2018 12:00,,,,5,330,0,,,
THE LIZARD NNR,08/07/2018 13:00,,,,7,340,0,,,
THE LIZARD NNR,08/07/2018 14:00,,,,4,60,0,,,
THE LIZARD NNR,08/07/2018 15:00,,,,8,330,0,,,
THE LIZARD NNR,08/07/2018 16:00,,,,6,350,0,,,
THE LIZARD NNR,08/07/2018 17:00,,,,6,340,0,,,
THE LIZARD NNR,08/07/2018 18:00,,,,6,340,0,,,
THE LIZARD NNR,08/07/2018 19:00,,,,4,360,0,,,
THE LIZARD NNR,08/07/2018 20:00,,,,6,10,0,,,
THE LIZARD NNR,08/07/2018 21:00,,,,6,330,0,,,
THE LIZARD NNR,08/07/2018 22:00,,,,2,350,0,,,
THE LIZARD NNR,08/07/2018 23:00,,,,4,320,0,,,
THE LIZARD NNR,09/07/2018,,,,6,310,0,,,
THE LIZARD NNR,09/07/2018 01:00,,,,4,330,0,,,
THE LIZARD NNR,09/07/2018 02:00,,,,3,340,0,,,
THE LIZARD NNR,09/07/2018 03:00,,,,2,350,0,,,
THE LIZARD NNR,09/07/2018 04:00,,,,3,10,0,,,
THE LIZARD NNR,09/07/2018 05:00,,,,3,10,0,,,
THE LIZARD NNR,09/07/2018 06:00,,,,3,10,0,,,
THE LIZARD NNR,09/07/2018 07:00,,,,4,350,0,,,
THE LIZARD NNR,09/07/2018 08:00,,,,3,360,0,,,
THE LIZARD NNR,09/07/2018 09:00,,,,4,20,0,,,
THE LIZARD NNR,09/07/2018 10:00,,,,4,330,0,,,
THE LIZARD NNR,09/07/2018 11:00,,,,4,350,0,,,
THE LIZARD NNR,09/07/2018 12:00,,,,6,350,0,,,
THE LIZARD NNR,09/07/2018 13:00,,,,7,360,0,,,
THE LIZARD NNR,09/07/2018 14:00,,,,6,10,0,,,
THE LIZARD NNR,09/07/2018 15:00,,,,8,350,0,,,
THE LIZARD NNR,09/07/2018 16:00,,,,7,10,0,,,
THE LIZARD NNR,09/07/2018 17:00,,,,7,350,0,,,
THE LIZARD NNR,09/07/2018 18:00,,,,5,360,0,,,
THE LIZARD NNR,09/07/2018 19:00,,,,6,360,0,,,
THE LIZARD NNR,09/07/2018 20:00,,,,5,10,0,,,
THE LIZARD NNR,09/07/2018 21:00,,,,6,10,0,,,
THE LIZARD NNR,09/07/2018 22:00,,,,6,10,0,,,
THE LIZARD NNR,09/07/2018 23:00,,,,6,10,0,,,
THE LIZARD NNR,10/07/2018,,,,6,10,0,,,
THE LIZARD NNR,10/07/2018 01:00,,,,5,360,0,,,
THE LIZARD NNR,10/07/2018 02:00,,,,6,340,0,,,
THE LIZARD NNR,10/07/2018 03:00,,,,5,360,0,,,
THE LIZARD NNR,10/07/2018 04:00,,,,6,360,0,,,
THE LIZARD NNR,10/07/2018 05:00,,,,6,20,0,,,
THE LIZARD NNR,10/07/2018 06:00,,,,4,20,0,,,
THE LIZARD NNR,10/07/2018 07:00,,,,4,30,0,,,
THE LIZARD NNR,10/07/2018 08:00,,,,11,60,0,,,
THE LIZARD NNR,10/07/2018 09:00,,,,11,70,0,,,
THE LIZARD NNR,10/07/2018 10:00,,,,12,80,0,,,
THE LIZARD NNR,10/07/2018 11:00,,,,14,80,0,,,
THE LIZARD NNR,10/07/2018 12:00,,,,14,80,0,,,
THE LIZARD NNR,10/07/2018 13:00,,,,13,80,0,,,
THE LIZARD NNR,10/07/2018 14:00,,,,11,80,0,,,
THE LIZARD NNR,10/07/2018 15:00,,,,10,90,0,,,
THE LIZARD NNR,10/07/2018 16:00,,,,7,100,0,,,
THE LIZARD NNR,10/07/2018 17:00,,,,5,80,0,,,
THE LIZARD NNR,10/07/2018 18:00,,,,3,80,0,,,
THE LIZARD NNR,10/07/2018 19:00,,,,4,290,0,,,
THE LIZARD NNR,10/07/2018 20:00,,,,5,310,0,,,
THE LIZARD NNR,10/07/2018 21:00,,,,2,340,0,,,
THE LIZARD NNR,10/07/2018 22:00,,,,1,360,0,,,
THE LIZARD NNR,10/07/2018 23:00,,,,2,330,0,,,
THE LIZARD NNR,11/07/2018,,,,1,330,0,,,
THE LIZARD NNR,11/07/2018 01:00,,,,3,320,0,,,
THE LIZARD NNR,11/07/2018 02:00,,,,3,290,0,,,
THE LIZARD NNR,11/07/2018 03:00,,,,0,0,0,,,
THE LIZARD NNR,11/07/2018 04:00,,,,2,320,0,,,
THE LIZARD NNR,11/07/2018 05:00,,,,1,10,0,,,
THE LIZARD NNR,11/07/2018 06:00,,,,1,280,0,,,
THE LIZARD NNR,11/07/2018 07:00,,,,3,340,0,,,
THE LIZARD NNR,11/07/2018 08:00,,,,3,60,0,,,
THE LIZARD NNR,11/07/2018 09:00,,,,5,60,0,,,
THE LIZARD NNR,11/07/2018 10:00,,,,3,100,0,,,
THE LIZARD NNR,11/07/2018 11:00,,,,1,80,0,,,
THE LIZARD NNR,11/07/2018 12:00,,,,4,170,0,,,
THE LIZARD NNR,11/07/2018 13:00,,,,4,170,0,,,
THE LIZARD NNR,11/07/2018 14:00,,,,4,220,0,,,
THE LIZARD NNR,11/07/2018 15:00,,,,4,230,0,,,
THE LIZARD NNR,11/07/2018 16:00,,,,6,260,0,,,
THE LIZARD NNR,11/07/2018 17:00,,,,4,270,0,,,
THE LIZARD NNR,11/07/2018 18:00,,,,4,290,0,,,
THE LIZARD NNR,11/07/2018 19:00,,,,3,280,0,,,
THE LIZARD NNR,11/07/2018 20:00,,,,3,280,0,,,
THE LIZARD NNR,11/07/2018 21:00,,,,2,330,0,,,
THE LIZARD NNR,11/07/2018 22:00,,,,1,330,0,,,
THE LIZARD NNR,11/07/2018 23:00,,,,1,290,0,,,
THE LIZARD NNR,12/07/2018,,,,1,330,0,,,
THE LIZARD NNR,12/07/2018 01:00,,,,2,50,0,,,
THE LIZARD NNR,12/07/2018 02:00,,,,2,30,0,,,
THE LIZARD NNR,12/07/2018 03:00,,,,2,30,0,,,
THE LIZARD NNR,12/07/2018 04:00,,,,2,30,0,,,
THE LIZARD NNR,12/07/2018 05:00,,,,2,350,0,,,
THE LIZARD NNR,12/07/2018 06:00,,,,3,360,0,,,
THE LIZARD NNR,12/07/2018 07:00,,,,4,10,0,,,
THE LIZARD NNR,12/07/2018 08:00,,,,5,10,0,,,
THE LIZARD NNR,12/07/2018 09:00,,,,5,20,0,,,
THE LIZARD NNR,12/07/2018 10:00,,,,8,340,0,,,
THE LIZARD NNR,12/07/2018 11:00,,,,7,350,0,,,
THE LIZARD NNR,12/07/2018 12:00,,,,7,350,0,,,
THE LIZARD NNR,12/07/2018 13:00,,,,7,340,0,,,
THE LIZARD NNR,12/07/2018 14:00,,,,7,350,0,,,
THE LIZARD NNR,12/07/2018 15:00,,,,8,350,0,,,
THE LIZARD NNR,12/07/2018 16:00,,,,9,330,0,,,
THE LIZARD NNR,12/07/2018 17:00,,,,7,340,0,,,
THE LIZARD NNR,12/07/2018 18:00,,,,7,340,0,,,
THE LIZARD NNR,12/07/2018 19:00,,,,4,360,0,,,
THE LIZARD NNR,12/07/2018 20:00,,,,5,350,0,,,
THE LIZARD NNR,12/07/2018 21:00,,,,4,350,0,,,
THE LIZARD NNR,12/07/2018 22:00,,,,5,10,0,,,
THE LIZARD NNR,12/07/2018 23:00,,,,5,10,0,,,
THE LIZARD NNR,13/07/2018,,,,4,350,0,,,
THE LIZARD NNR,13/07/2018 01:00,,,,5,20,0,,,
THE LIZARD NNR,13/07/2018 02:00,,,,3,30,0,,,
THE LIZARD NNR,13/07/2018 03:00,,,,5,20,0,,,
THE LIZARD NNR,13/07/2018 04:00,,,,3,350,0,,,
THE LIZARD NNR,13/07/2018 05:00,,,,2,340,0.2,,,
THE LIZARD NNR,13/07/2018 06:00,,,,3,330,0,,,
THE LIZARD NNR,13/07/2018 07:00,,,,4,350,0,,,
THE LIZARD NNR,13/07/2018 08:00,,,,5,10,0,,,
THE LIZARD NNR,13/07/2018 09:00,,,,3,30,0,,,
THE LIZARD NNR,13/07/2018 10:00,,,,4,20,0,,,
THE LIZARD NNR,13/07/2018 11:00,,,,5,350,0,,,
THE LIZARD NNR,13/07/2018 12:00,,,,4,10,0,,,
THE LIZARD NNR,13/07/2018 13:00,,,,5,360,0,,,
THE LIZARD NNR,13/07/2018 14:00,,,,6,360,0,,,
THE LIZARD NNR,13/07/2018 15:00,,,,5,350,0,,,
THE LIZARD NNR,13/07/2018 16:00,,,,5,360,0,,,
THE LIZARD NNR,13/07/2018 17:00,,,,5,350,0,,,
THE LIZARD NNR,13/07/2018 18:00,,,,5,360,0,,,
THE LIZARD NNR,13/07/2018 19:00,,,,6,330,0,,,
THE LIZARD NNR,13/07/2018 20:00,,,,5,330,0,,,
THE LIZARD NNR,13/07/2018 21:00,,,,2,20,0,,,
THE LIZARD NNR,13/07/2018 22:00,,,,1,30,0,,,
THE LIZARD NNR,13/07/2018 23:00,,,,1,120,0,,,
THE LIZARD NNR,14/07/2018,,,,1,50,0,,,
THE LIZARD NNR,14/07/2018 01:00,,,,0,0,0,,,
THE LIZARD NNR,14/07/2018 02:00,,,,2,60,0,,,
THE LIZARD NNR,14/07/2018 03:00,,,,0,0,0,,,
THE LIZARD NNR,14/07/2018 04:00,,,,1,30,0,,,
THE LIZARD NNR,14/07/2018 05:00,,,,1,80,0,,,
THE LIZARD NNR,14/07/2018 06:00,,,,1,40,0,,,
THE LIZARD NNR,14/07/2018 07:00,,,,2,360,0,,,
THE LIZARD NNR,14/07/2018 08:00,,,,4,330,0,,,
THE LIZARD NNR,14/07/2018 09:00,,,,3,10,0,,,
THE LIZARD NNR,14/07/2018 10:00,,,,3,180,0,,,
THE LIZARD NNR,14/07/2018 11:00,,,,5,220,0,,,
THE LIZARD NNR,14/07/2018 12:00,,,,7,240,0,,,
THE LIZARD NNR,14/07/2018 13:00,,,,7,240,0,,,
THE LIZARD NNR,14/07/2018 14:00,,,,7,260,0,,,
THE LIZARD NNR,14/07/2018 15:00,,,,7,250,0,,,
THE LIZARD NNR,14/07/2018 16:00,,,,6,260,0,,,
THE LIZARD NNR,14/07/2018 17:00,,,,6,270,0,,,
THE LIZARD NNR,14/07/2018 18:00,,,,7,270,0,,,
THE LIZARD NNR,14/07/2018 19:00,,,,4,270,0,,,
THE LIZARD NNR,14/07/2018 20:00,,,,5,330,0,,,
THE LIZARD NNR,14/07/2018 21:00,,,,3,330,0,,,
THE LIZARD NNR,14/07/2018 22:00,,,,1,40,0,,,
THE LIZARD NNR,14/07/2018 23:00,,,,1,20,0,,,
THE LIZARD NNR,15/07/2018,,,,1,20,0,,,
THE LIZARD NNR,15/07/2018 01:00,,,,2,50,0,,,
THE LIZARD NNR,15/07/2018 02:00,,,,2,80,0,,,
THE LIZARD NNR,15/07/2018 03:00,,,,2,50,0,,,
THE LIZARD NNR,15/07/2018 04:00,,,,1,50,0,,,
THE LIZARD NNR,15/07/2018 05:00,,,,3,70,0,,,
THE LIZARD NNR,15/07/2018 06:00,,,,2,60,0,,,
THE LIZARD NNR,15/07/2018 07:00,,,,3,120,0,,,
THE LIZARD NNR,15/07/2018 08:00,,,,4,150,0,,,
THE LIZARD NNR,15/07/2018 09:00,,,,4,150,0,,,
THE LIZARD NNR,15/07/2018 10:00,,,,5,140,0,,,
THE LIZARD NNR,15/07/2018 11:00,,,,5,180,0,,,
THE LIZARD NNR,15/07/2018 12:00,,,,5,180,0,,,
THE LIZARD NNR,15/07/2018 13:00,,,,7,200,0,,,
THE LIZARD NNR,15/07/2018 14:00,,,,8,200,0,,,
THE LIZARD NNR,15/07/2018 15:00,,,,6,160,0,,,
THE LIZARD NNR,15/07/2018 16:00,,,,6,140,0,,,
THE LIZARD NNR,15/07/2018 17:00,,,,6,200,0,,,
THE LIZARD NNR,15/07/2018 18:00,,,,6,200,0,,,
THE LIZARD NNR,15/07/2018 19:00,,,,2,210,0,,,
THE LIZARD NNR,15/07/2018 20:00,,,,1,200,0,,,
THE LIZARD NNR,15/07/2018 21:00,,,,0,0,0,,,
THE LIZARD NNR,15/07/2018 22:00,,,,0,0,0,,,
THE LIZARD NNR,15/07/2018 23:00,,,,0,0,0,,,
THE LIZARD NNR,16/07/2018,,,,1,100,0,,,
THE LIZARD NNR,16/07/2018 01:00,,,,2,110,0,,,
THE LIZARD NNR,16/07/2018 02:00,,,,0,0,0,,,
THE LIZARD NNR,16/07/2018 03:00,,,,0,0,0,,,
THE LIZARD NNR,16/07/2018 04:00,,,,1,140,0,,,
THE LIZARD NNR,16/07/2018 05:00,,,,2,140,0,,,
THE LIZARD NNR,16/07/2018 06:00,,,,1,200,0,,,
THE LIZARD NNR,16/07/2018 07:00,,,,5,230,0,,,
THE LIZARD NNR,16/07/2018 08:00,,,,3,240,0,,,
THE LIZARD NNR,16/07/2018 09:00,,,,8,300,0,,,
THE LIZARD NNR,16/07/2018 10:00,,,,7,300,0.6,,,
THE LIZARD NNR,16/07/2018 11:00,,,,6,320,0.4,,,
THE LIZARD NNR,16/07/2018 12:00,,,,7,300,0.4,,,
THE LIZARD NNR,16/07/2018 13:00,,,,9,270,0.4,,,
THE LIZARD NNR,16/07/2018 14:00,,,,9,280,0.2,,,
THE LIZARD NNR,16/07/2018 15:00,,,,8,250,0,,,
THE LIZARD NNR,16/07/2018 16:00,,,,8,250,0,,,
THE LIZARD NNR,16/07/2018 17:00,,,,7,290,0,,,
THE LIZARD NNR,16/07/2018 18:00,,,,7,280,0,,,
THE LIZARD NNR,16/07/2018 19:00,,,,5,280,0,,,
THE LIZARD NNR,16/07/2018 20:00,,,,4,290,0,,,
THE LIZARD NNR,16/07/2018 21:00,,,,3,250,0,,,
THE LIZARD NNR,16/07/2018 22:00,,,,2,280,0,,,
THE LIZARD NNR,16/07/2018 23:00,,,,0,0,0,,,
THE LIZARD NNR,17/07/2018,,,,3,290,0,,,
THE LIZARD NNR,17/07/2018 01:00,,,,1,280,0,,,
THE LIZARD NNR,17/07/2018 02:00,,,,0,0,0,,,
THE LIZARD NNR,17/07/2018 03:00,,,,2,200,0,,,
THE LIZARD NNR,17/07/2018 04:00,,,,3,220,0,,,
THE LIZARD NNR,17/07/2018 05:00,,,,3,320,0.2,,,
THE LIZARD NNR,17/07/2018 06:00,,,,1,210,0,,,
THE LIZARD NNR,17/07/2018 07:00,,,,3,240,0,,,
THE LIZARD NNR,17/07/2018 08:00,,,,2,300,0,,,
THE LIZARD NNR,17/07/2018 09:00,,,,8,290,0,,,
THE LIZARD NNR,17/07/2018 10:00,,,,4,290,0,,,
THE LIZARD NNR,17/07/2018 11:00,,,,7,250,0,,,
THE LIZARD NNR,17/07/2018 12:00,,,,8,240,0,,,
THE LIZARD NNR,17/07/2018 13:00,,,,6,260,0,,,
THE LIZARD NNR,17/07/2018 14:00,,,,5,230,0,,,
THE LIZARD NNR,17/07/2018 15:00,,,,6,220,0,,,
THE LIZARD NNR,17/07/2018 16:00,,,,7,250,0,,,
THE LIZARD NNR,17/07/2018 17:00,,,,6,240,0,,,
THE LIZARD NNR,17/07/2018 18:00,,,,6,260,0,,,
THE LIZARD NNR,17/07/2018 19:00,,,,4,250,0,,,
THE LIZARD NNR,17/07/2018 20:00,,,,3,200,0,,,
THE LIZARD NNR,17/07/2018 21:00,,,,3,200,0,,,
THE LIZARD NNR,17/07/2018 22:00,,,,5,230,0,,,
THE LIZARD NNR,17/07/2018 23:00,,,,3,280,0,,,
THE LIZARD NNR,18/07/2018,,,,1,210,0,,,
THE LIZARD NNR,18/07/2018 01:00,,,,2,230,0,,,
THE LIZARD NNR,18/07/2018 02:00,,,,7,220,0,,,
