SITE ,OB TIME,Rad,WB,DB,WS,WD,RAIN,10CM SOIL,30CM SOIL,RH
LINTON ON OUSE,01/07/2018,,12.2,12.8,4,80,0,20.9,,92.8
LINTON ON OUSE,01/07/2018 01:00,,10.6,11.3,4,20,0,20.3,,91.3
LINTON ON OUSE,01/07/2018 02:00,,9.9,10.4,5,310,0,19.8,,93.4
LINTON ON OUSE,01/07/2018 03:00,,9.8,10.2,6,310,0,19.4,,94.7
LINTON ON OUSE,01/07/2018 04:00,,9.6,9.9,6,320,0,18.9,,96.1
LINTON ON OUSE,01/07/2018 05:00,,9.9,10.2,8,320,0,18.5,,96.1
LINTON ON OUSE,01/07/2018 06:00,,11.3,11.5,7,330,0,18.2,,97.5
LINTON ON OUSE,01/07/2018 07:00,,13.1,14,7,320,0,18.1,,89.7
LINTON ON OUSE,01/07/2018 08:00,,14.8,17.4,6,350,0,18.1,,74.1
LINTON ON OUSE,01/07/2018 09:00,,15.8,20.3,5,80,0,18.5,16.7,60
LINTON ON OUSE,01/07/2018 10:00,,15.8,23.5,6,70,0,19.2,,40.4
LINTON ON OUSE,01/07/2018 11:00,,15,25.2,11,90,0,20.1,,27.3
LINTON ON OUSE,01/07/2018 12:00,,15.9,25.5,10,100,0,21.1,,31.5
LINTON ON OUSE,01/07/2018 13:00,,15.8,25.4,12,100,0,22,,31.3
LINTON ON OUSE,01/07/2018 14:00,,15.5,25.8,13,100,0,22.9,,27.8
LINTON ON OUSE,01/07/2018 15:00,,15.1,25.1,15,110,0,23.6,,28.4
LINTON ON OUSE,01/07/2018 16:00,,15.1,24.6,14,100,0,24.1,,30.5
LINTON ON OUSE,01/07/2018 17:00,,14.6,23.9,14,110,0,24.3,,30.5
LINTON ON OUSE,01/07/2018 18:00,,14.3,22.7,10,80,0,24.2,,34.3
LINTON ON OUSE,01/07/2018 19:00,,14.4,20.8,9,80,0,23.9,,45.6
LINTON ON OUSE,01/07/2018 20:00,,13.8,19,8,80,0,23.4,,52.5
LINTON ON OUSE,01/07/2018 21:00,,13.2,17,6,70,0,22.8,,62.4
LINTON ON OUSE,01/07/2018 22:00,,12.8,15.1,5,60,0,22.2,,75.2
LINTON ON OUSE,01/07/2018 23:00,,12.4,14.1,5,50,0,21.6,,80.9
LINTON ON OUSE,02/07/2018,,11.1,12.3,3,20,0,21,,85.5
LINTON ON OUSE,02/07/2018 01:00,,10.2,11.1,5,330,0,20.5,,88.7
LINTON ON OUSE,02/07/2018 02:00,,10,10.9,5,330,0,19.9,,88.6
LINTON ON OUSE,02/07/2018 03:00,,9.7,10.4,7,310,0,19.5,,90.9
LINTON ON OUSE,02/07/2018 04:00,,9,9.6,6,320,0,19,,91.9
LINTON ON OUSE,02/07/2018 05:00,,10.2,10.9,8,330,0,18.6,,91.1
LINTON ON OUSE,02/07/2018 06:00,,11.6,12.8,8,320,0,18.3,,85.7
LINTON ON OUSE,02/07/2018 07:00,,13.3,15.3,7,320,0,18.2,,78.5
LINTON ON OUSE,02/07/2018 08:00,,14.5,17.8,6,330,0,18.2,,67.8
LINTON ON OUSE,02/07/2018 09:00,,15.8,20.5,5,10,0,18.5,16.8,58.6
LINTON ON OUSE,02/07/2018 10:00,,16,23.1,11,60,0,19.2,,43.9
LINTON ON OUSE,02/07/2018 11:00,,15.3,24.4,11,60,0,20.1,,32.6
LINTON ON OUSE,02/07/2018 12:00,,15.2,24.7,13,90,0,21.1,,30.6
LINTON ON OUSE,02/07/2018 13:00,,15.3,25,11,70,0,22.1,,29.9
LINTON ON OUSE,02/07/2018 14:00,,14.6,23.9,12,90,0,23,,30.4
LINTON ON OUSE,02/07/2018 15:00,,15,24.4,11,80,0,23.7,,30.7
LINTON ON OUSE,02/07/2018 16:00,,14.8,24,11,50,0,24.2,,31.3
LINTON ON OUSE,02/07/2018 17:00,,14.8,23.4,12,70,0,24.4,,34.1
LINTON ON OUSE,02/07/2018 18:00,,14.4,22.1,12,80,0,24.4,,38.1
LINTON ON OUSE,02/07/2018 19:00,,13.8,20.5,11,70,0,24.1,,42.7
LINTON ON OUSE,02/07/2018 20:00,,13.6,19,8,80,0,23.6,,50.8
LINTON ON OUSE,02/07/2018 21:00,,13,16.7,7,80,0,23,,62.9
LINTON ON OUSE,02/07/2018 22:00,,12.5,14.4,5,30,0,22.3,,78.9
LINTON ON OUSE,02/07/2018 23:00,,11.7,12.9,4,320,0,21.7,,85.8
LINTON ON OUSE,03/07/2018,,10.7,11.4,5,320,0,21.1,,91.2
LINTON ON OUSE,03/07/2018 01:00,,10.5,10.9,5,320,0,20.5,,94.9
LINTON ON OUSE,03/07/2018 02:00,,10.5,10.8,6,330,0,20,,96.1
LINTON ON OUSE,03/07/2018 03:00,,10.5,10.8,4,320,0,19.5,,96.1
LINTON ON OUSE,03/07/2018 04:00,,10.5,10.7,5,320,0,19,,97.4
LINTON ON OUSE,03/07/2018 05:00,,11.8,11.9,6,320,0,18.7,,98.8
LINTON ON OUSE,03/07/2018 06:00,,12.8,13,5,340,0,18.5,,97.7
LINTON ON OUSE,03/07/2018 07:00,,13.9,15.4,4,340,0,18.4,,83.8
LINTON ON OUSE,03/07/2018 08:00,,13.5,16.4,3,20,0,18.5,,70.3
LINTON ON OUSE,03/07/2018 09:00,,14.2,18.6,5,350,0,18.8,16.9,58.8
LINTON ON OUSE,03/07/2018 10:00,,14.2,18.6,5,10,0,19.3,,58.8
LINTON ON OUSE,03/07/2018 11:00,,14.6,20.5,5,20,0,20,,48.9
LINTON ON OUSE,03/07/2018 12:00,,15.2,21.4,8,80,0,20.7,,47.9
LINTON ON OUSE,03/07/2018 13:00,,15.1,22.2,6,80,0,21.7,,42.5
LINTON ON OUSE,03/07/2018 14:00,,14.4,21.8,10,80,0,22.7,,39.7
LINTON ON OUSE,03/07/2018 15:00,,14.4,22.9,8,60,0,23.4,,33.9
LINTON ON OUSE,03/07/2018 16:00,,14.5,21.8,9,70,0,24,,40.5
LINTON ON OUSE,03/07/2018 17:00,,14.1,20.8,11,90,0,24.3,,43.3
LINTON ON OUSE,03/07/2018 18:00,,13.5,19.8,10,70,0,24.2,,44.8
LINTON ON OUSE,03/07/2018 19:00,,13.3,18.8,10,80,0,23.9,,49.7
LINTON ON OUSE,03/07/2018 20:00,,12.8,17.2,7,80,0,23.4,,57.1
LINTON ON OUSE,03/07/2018 21:00,,12.1,14.9,6,90,0,22.8,,69.9
LINTON ON OUSE,03/07/2018 22:00,,11.7,13.8,5,90,0,22.1,,76.3
LINTON ON OUSE,03/07/2018 23:00,,11.4,12.9,2,60,0,21.5,,82.4
LINTON ON OUSE,04/07/2018,,10.7,11.8,2,360,0,20.9,,86.4
LINTON ON OUSE,04/07/2018 01:00,,10.8,11.8,1,310,0,20.3,,87.7
LINTON ON OUSE,04/07/2018 02:00,,11.3,12.3,3,320,0,19.9,,87.9
LINTON ON OUSE,04/07/2018 03:00,,11.5,12.8,2,350,0,19.6,,84.6
LINTON ON OUSE,04/07/2018 04:00,,11.2,12.2,3,310,0,19.4,,87.9
LINTON ON OUSE,04/07/2018 05:00,,11.3,12.2,3,300,0,19.2,,89
LINTON ON OUSE,04/07/2018 06:00,,11.4,12.4,3,320,0,19,,88
LINTON ON OUSE,04/07/2018 07:00,,11.9,13,2,330,0,18.8,,87.1
LINTON ON OUSE,04/07/2018 08:00,,12.2,13.4,2,310,0,18.8,,86.1
LINTON ON OUSE,04/07/2018 09:00,,12.7,14.1,2,210,0,18.8,17,84.2
LINTON ON OUSE,04/07/2018 10:00,,13.1,14.9,2,60,0,18.8,,80.4
LINTON ON OUSE,04/07/2018 11:00,,13.4,15.5,2,110,0,19,,77.6
LINTON ON OUSE,04/07/2018 12:00,,14,16.6,3,110,0,19.2,,73.4
LINTON ON OUSE,04/07/2018 13:00,,14.9,18.8,5,150,0,19.5,,63.5
LINTON ON OUSE,04/07/2018 14:00,,15.6,19.7,6,90,0,20.2,,62.7
LINTON ON OUSE,04/07/2018 15:00,,15.6,20.9,5,130,0,21.3,,54.3
LINTON ON OUSE,04/07/2018 16:00,,16,21.6,4,130,0,22.1,,52.9
LINTON ON OUSE,04/07/2018 17:00,,15.5,22.6,5,110,0,22.7,,43.2
LINTON ON OUSE,04/07/2018 18:00,,15.7,22.6,4,150,0,22.9,,44.7
LINTON ON OUSE,04/07/2018 19:00,,15.9,22.5,6,120,0,22.8,,46.7
LINTON ON OUSE,04/07/2018 20:00,,15.9,21.1,6,130,0,22.5,,55.4
LINTON ON OUSE,04/07/2018 21:00,,15.1,18.9,5,130,0,22.1,,64.5
LINTON ON OUSE,04/07/2018 22:00,,14.8,16.8,5,130,0,21.5,,79.5
LINTON ON OUSE,04/07/2018 23:00,,14,15.5,5,150,0,21,,83.9
LINTON ON OUSE,05/07/2018,,13.5,14.5,3,130,0,20.5,,88.8
LINTON ON OUSE,05/07/2018 01:00,,13,13.7,3,90,0,20.1,,91.9
LINTON ON OUSE,05/07/2018 02:00,,11.9,12.3,2,20,0,19.6,,95.2
LINTON ON OUSE,05/07/2018 03:00,,11.6,11.9,1,30,0,19.2,,96.3
LINTON ON OUSE,05/07/2018 04:00,,10.3,10.5,0,0,0,18.9,,97.4
LINTON ON OUSE,05/07/2018 05:00,,10.1,10.4,3,310,0,18.5,,96.1
LINTON ON OUSE,05/07/2018 06:00,,12,12.2,2,260,0,18.2,,97.5
LINTON ON OUSE,05/07/2018 07:00,,12.8,13,3,250,0,18.1,,97.7
LINTON ON OUSE,05/07/2018 08:00,,14.5,17.7,3,320,0,18.2,,68.8
LINTON ON OUSE,05/07/2018 09:00,,16.2,21.3,4,340,0,18.6,16.9,56.4
LINTON ON OUSE,05/07/2018 10:00,,16.9,24.6,3,360,0,19.3,,42.1
LINTON ON OUSE,05/07/2018 11:00,,16.4,26.2,4,40,0,20.2,,31.5
LINTON ON OUSE,05/07/2018 12:00,,16.8,27,3,120,0,21.3,,30.5
LINTON ON OUSE,05/07/2018 13:00,,16.3,25.1,5,290,0,22.3,,35.8
LINTON ON OUSE,05/07/2018 14:00,,17.1,24.8,6,80,0,22.5,,42.4
LINTON ON OUSE,05/07/2018 15:00,,17.8,25.6,6,120,0,22.5,,42.8
LINTON ON OUSE,05/07/2018 16:00,,17.8,24,10,320,0,22.5,,51.5
LINTON ON OUSE,05/07/2018 17:00,,17.4,23.4,8,40,0,22.4,,52.1
LINTON ON OUSE,05/07/2018 18:00,,16.8,21.3,10,60,0,22.4,,61.1
LINTON ON OUSE,05/07/2018 19:00,,16.1,19.5,9,80,0,22.1,,68.5
LINTON ON OUSE,05/07/2018 20:00,,15.3,18,6,80,0,21.9,,73.6
LINTON ON OUSE,05/07/2018 21:00,,14.7,16.8,3,80,0,21.4,,78.5
LINTON ON OUSE,05/07/2018 22:00,,14.1,15.6,3,120,0,21,,83.9
LINTON ON OUSE,05/07/2018 23:00,,13.9,15.4,3,100,0,20.5,,83.8
LINTON ON OUSE,06/07/2018,,13.8,15.1,3,110,0,20.1,,85.7
LINTON ON OUSE,06/07/2018 01:00,,13.9,15.2,4,130,0,19.8,,85.8
LINTON ON OUSE,06/07/2018 02:00,,13.9,15,4,110,0,19.6,,87.9
LINTON ON OUSE,06/07/2018 03:00,,13.9,15,2,120,0,19.4,,87.9
LINTON ON OUSE,06/07/2018 04:00,,13.9,15,4,160,0,19.2,,87.9
LINTON ON OUSE,06/07/2018 05:00,,14,15,4,180,0,19,,88.9
LINTON ON OUSE,06/07/2018 06:00,,14.3,15.5,6,220,0,18.9,,87
LINTON ON OUSE,06/07/2018 07:00,,12.7,16.1,6,280,0,18.9,,65.1
LINTON ON OUSE,06/07/2018 08:00,,13.1,16.4,3,290,0,19,,66.4
LINTON ON OUSE,06/07/2018 09:00,,13.6,17.2,3,310,0,19.1,17.2,64.4
LINTON ON OUSE,06/07/2018 10:00,,14.8,19.6,5,320,0,19.4,,56.6
LINTON ON OUSE,06/07/2018 11:00,,15.6,21.3,2,230,0,19.9,,51.6
LINTON ON OUSE,06/07/2018 12:00,,16.4,23.2,3,220,0,20.8,,46.1
LINTON ON OUSE,06/07/2018 13:00,,17.3,25,3,290,0,21.9,,42.5
LINTON ON OUSE,06/07/2018 14:00,,17.1,24.8,4,300,0,22.8,,42.3
LINTON ON OUSE,06/07/2018 15:00,,17.1,25.3,4,290,0,23.4,,39.7
LINTON ON OUSE,06/07/2018 16:00,,17.2,26.2,9,280,0,23.7,,36.1
LINTON ON OUSE,06/07/2018 17:00,,17.7,26.8,9,290,0,23.8,,36.4
LINTON ON OUSE,06/07/2018 18:00,,17.4,25.4,7,300,0,23.9,,41.2
LINTON ON OUSE,06/07/2018 19:00,,17.3,21.7,9,50,0,23.8,,62.2
LINTON ON OUSE,06/07/2018 20:00,,16.3,20,7,70,0,23.5,,66.4
LINTON ON OUSE,06/07/2018 21:00,,15.9,19,6,90,0,23,,70.7
LINTON ON OUSE,06/07/2018 22:00,,15.6,17.9,3,110,0,22.5,,77.2
LINTON ON OUSE,06/07/2018 23:00,,15,17.3,2,110,0,22,,76.9
LINTON ON OUSE,07/07/2018,,14.7,17.2,2,130,0,21.5,,74.8
LINTON ON OUSE,07/07/2018 01:00,,14.5,16.7,3,90,0,21.1,,77.4
LINTON ON OUSE,07/07/2018 02:00,,13.9,15.8,3,60,0,20.8,,79.8
LINTON ON OUSE,07/07/2018 03:00,,13.6,15,2,330,0,20.5,,84.6
LINTON ON OUSE,07/07/2018 04:00,,13.2,14,2,310,0,20.1,,90.9
LINTON ON OUSE,07/07/2018 05:00,,13.3,14.1,4,310,0,19.7,,90.9
LINTON ON OUSE,07/07/2018 06:00,,14.2,15.6,4,320,0,19.4,,84.9
LINTON ON OUSE,07/07/2018 07:00,,15.3,17.7,5,330,0,19.3,,76.2
LINTON ON OUSE,07/07/2018 08:00,,16.1,19.6,5,350,0,19.4,,67.7
LINTON ON OUSE,07/07/2018 09:00,,16.8,21.7,7,360,0,19.7,17.5,58.3
LINTON ON OUSE,07/07/2018 10:00,,17.6,23.2,6,10,0,20.1,,54.7
LINTON ON OUSE,07/07/2018 11:00,,17.8,23.9,4,360,0,21,,51.9
LINTON ON OUSE,07/07/2018 12:00,,18.1,26,7,10,0,21.8,,42.6
LINTON ON OUSE,07/07/2018 13:00,,17.7,26.5,8,350,0,22.6,,37.7
LINTON ON OUSE,07/07/2018 14:00,,16.7,26.4,6,320,0,23.3,,32.2
LINTON ON OUSE,07/07/2018 15:00,,17.3,26.8,6,360,0,24.1,,34
LINTON ON OUSE,07/07/2018 16:00,,18.5,26.3,2,360,0,24.9,,43.6
LINTON ON OUSE,07/07/2018 17:00,,18.1,25.2,11,130,0,25.3,,46.7
LINTON ON OUSE,07/07/2018 18:00,,17.3,24.8,10,120,0,25.2,,43.5
LINTON ON OUSE,07/07/2018 19:00,,16.5,23.3,9,130,0,24.9,,46.2
LINTON ON OUSE,07/07/2018 20:00,,15.6,21.7,7,120,0,24.3,,49.1
LINTON ON OUSE,07/07/2018 21:00,,15,19.9,3,140,0,23.8,,56.2
LINTON ON OUSE,07/07/2018 22:00,,14.3,18.8,3,120,0,23.2,,58.1
LINTON ON OUSE,07/07/2018 23:00,,13.7,17.7,3,110,0,22.6,,61.2
LINTON ON OUSE,08/07/2018,,13.2,15.4,1,80,0,22,,76.5
LINTON ON OUSE,08/07/2018 01:00,,12.9,15,1,200,0,21.4,,77.1
LINTON ON OUSE,08/07/2018 02:00,,11.4,12.9,2,30,0,20.9,,82.3
LINTON ON OUSE,08/07/2018 03:00,,11.1,12.2,3,310,0,20.5,,86.6
LINTON ON OUSE,08/07/2018 04:00,,10.9,11.9,4,300,0,20.1,,87.7
LINTON ON OUSE,08/07/2018 05:00,,11.8,13.3,3,310,0,19.7,,82.6
LINTON ON OUSE,08/07/2018 06:00,,14,15.9,6,320,0,19.3,,79.9
LINTON ON OUSE,08/07/2018 07:00,,15.4,18.9,7,330,0,19.2,,67
LINTON ON OUSE,08/07/2018 08:00,,16.5,21.4,7,330,0,19.2,,57.9
LINTON ON OUSE,08/07/2018 09:00,,17,23.1,6,340,0,19.6,17.7,50.9
LINTON ON OUSE,08/07/2018 10:00,,17.3,24.9,7,350,0,20.3,,42.9
LINTON ON OUSE,08/07/2018 11:00,,17.2,25.2,6,320,0,21.2,,40.8
LINTON ON OUSE,08/07/2018 12:00,,17.1,25.8,5,20,0,22,,37.3
LINTON ON OUSE,08/07/2018 13:00,,17.3,25.7,4,20,0,22.7,,38.9
LINTON ON OUSE,08/07/2018 14:00,,17.4,26.7,6,40,0,23.3,,35
LINTON ON OUSE,08/07/2018 15:00,,18.4,26.9,3,280,0,23.9,,40.1
LINTON ON OUSE,08/07/2018 16:00,,18.2,26.6,8,10,0,24.2,,40.3
LINTON ON OUSE,08/07/2018 17:00,,18.3,26.2,5,20,0,24.4,,42.8
LINTON ON OUSE,08/07/2018 18:00,,18.2,26,5,10,0,24.3,,43.2
LINTON ON OUSE,08/07/2018 19:00,,18.1,25.7,4,10,0,24,,44.1
LINTON ON OUSE,08/07/2018 20:00,,17.6,23.9,11,90,0,23.7,,50.4
LINTON ON OUSE,08/07/2018 21:00,,17.4,22.9,5,130,0,23.3,,55
LINTON ON OUSE,08/07/2018 22:00,,16.9,21.6,3,40,0,22.9,,59.7
LINTON ON OUSE,08/07/2018 23:00,,16,19.4,3,10,0,22.5,,68.4
LINTON ON OUSE,09/07/2018,,15.5,17.7,4,320,0,22,,78
LINTON ON OUSE,09/07/2018 01:00,,15.1,17.2,6,320,0,21.5,,78.7
LINTON ON OUSE,09/07/2018 02:00,,14.6,16.2,6,320,0,21.1,,83.1
LINTON ON OUSE,09/07/2018 03:00,,14.3,15.5,7,330,0,20.8,,87
LINTON ON OUSE,09/07/2018 04:00,,14.7,15.3,6,340,0,20.4,,93.4
LINTON ON OUSE,09/07/2018 05:00,,15.7,16.6,9,330,0,20.1,,90.5
LINTON ON OUSE,09/07/2018 06:00,,15.9,17.2,9,340,0,19.9,,86.6
LINTON ON OUSE,09/07/2018 07:00,,16.5,18.3,7,340,0,19.9,,82.2
LINTON ON OUSE,09/07/2018 08:00,,16.3,18.9,8,10,0,19.9,,75.1
LINTON ON OUSE,09/07/2018 09:00,,16,19.1,6,360,0,20.1,17.9,70.7
LINTON ON OUSE,09/07/2018 10:00,,16.6,19.4,6,330,0,20.3,,73.7
LINTON ON OUSE,09/07/2018 11:00,,16.7,19.9,9,320,0,20.5,,70.5
LINTON ON OUSE,09/07/2018 12:00,,15.9,18.8,12,60,0,20.8,,72.3
LINTON ON OUSE,09/07/2018 13:00,,16.4,20.1,9,70,0,21.2,,66.4
LINTON ON OUSE,09/07/2018 14:00,,16.6,20.4,9,90,0,21.6,,65.8
LINTON ON OUSE,09/07/2018 15:00,,16.7,21.3,7,70,0,21.8,,60.2
LINTON ON OUSE,09/07/2018 16:00,,16,20.2,10,70,0,22.3,,62.3
LINTON ON OUSE,09/07/2018 17:00,,15.4,19,10,80,0,22.5,,66.2
LINTON ON OUSE,09/07/2018 18:00,,14.9,18.2,8,70,0,22.5,,68.1
LINTON ON OUSE,09/07/2018 19:00,,14.1,17.1,9,50,0,22.3,,69.9
LINTON ON OUSE,09/07/2018 20:00,,13.5,16.3,9,50,0,21.9,,71.1
LINTON ON OUSE,09/07/2018 21:00,,13.3,15.6,7,50,0,21.5,,75.5
LINTON ON OUSE,09/07/2018 22:00,,12.7,14.6,4,20,0,21.1,,79
LINTON ON OUSE,09/07/2018 23:00,,12.1,13.6,4,10,0,20.7,,82.7
LINTON ON OUSE,10/07/2018,,11.5,12.8,5,340,0,20.3,,84.5
LINTON ON OUSE,10/07/2018 01:00,,11.3,12.4,6,310,0,19.9,,86.7
LINTON ON OUSE,10/07/2018 02:00,,11.5,12.6,6,320,0,19.6,,86.8
LINTON ON OUSE,10/07/2018 03:00,,11.6,12.7,5,330,0,19.3,,86.9
LINTON ON OUSE,10/07/2018 04:00,,11.6,13.2,7,320,0,19,,81.4
LINTON ON OUSE,10/07/2018 05:00,,11.7,13.9,10,330,0,18.9,,75.2
LINTON ON OUSE,10/07/2018 06:00,,12,14.6,9,350,0,18.7,,71.6
LINTON ON OUSE,10/07/2018 07:00,,12.4,15.3,9,350,0,18.7,,69.1
LINTON ON OUSE,10/07/2018 08:00,,12.2,15.8,10,350,0,18.7,,62.8
LINTON ON OUSE,10/07/2018 09:00,,12.2,17.1,11,30,0,18.9,17.5,52.3
LINTON ON OUSE,10/07/2018 10:00,,12.4,17.4,10,30,0,19.3,,51.8
LINTON ON OUSE,10/07/2018 11:00,,13.6,19.9,11,10,0,19.7,,44.8
LINTON ON OUSE,10/07/2018 12:00,,14,20.2,8,350,0,20.1,,46.1
LINTON ON OUSE,10/07/2018 13:00,,14.4,20.3,9,350,0,20.8,,48.6
LINTON ON OUSE,10/07/2018 14:00,,14.5,20.8,8,10,0,21.6,,46.2
LINTON ON OUSE,10/07/2018 15:00,,14.6,21.2,9,360,0,22.4,,44.6
LINTON ON OUSE,10/07/2018 16:00,,14.4,20.7,5,20,0,23.1,,46.1
LINTON ON OUSE,10/07/2018 17:00,,14.1,19.9,10,30,0,23.5,,48.8
LINTON ON OUSE,10/07/2018 18:00,,13.9,19.3,10,10,0,23.6,,51.2
LINTON ON OUSE,10/07/2018 19:00,,13.6,18.1,9,30,0,23.4,,57.3
LINTON ON OUSE,10/07/2018 20:00,,12.9,16.5,8,50,0,22.9,,63.5
LINTON ON OUSE,10/07/2018 21:00,,12,14.3,3,360,0,22.3,,74.5
LINTON ON OUSE,10/07/2018 22:00,,11.3,13.2,3,10,0,21.7,,77.9
LINTON ON OUSE,10/07/2018 23:00,,10.6,11.8,4,320,0,21.1,,85.3
LINTON ON OUSE,11/07/2018,,10.4,11.4,2,330,0,20.5,,87.5
LINTON ON OUSE,11/07/2018 01:00,,9.8,10.4,4,310,0,20,,92.2
LINTON ON OUSE,11/07/2018 02:00,,9.2,9.7,4,330,0,19.5,,93.3
LINTON ON OUSE,11/07/2018 03:00,,9.2,9.6,4,320,0,19.1,,94.6
LINTON ON OUSE,11/07/2018 04:00,,9.2,9.6,3,330,0,18.7,,94.6
LINTON ON OUSE,11/07/2018 05:00,,10,10.7,4,320,0,18.3,,91
LINTON ON OUSE,11/07/2018 06:00,,11.7,12.7,4,330,0,18.1,,88
LINTON ON OUSE,11/07/2018 07:00,,12.7,14.6,4,330,0,18,,79.1
LINTON ON OUSE,11/07/2018 08:00,,13.4,16.6,6,30,0,18.2,,67.5
LINTON ON OUSE,11/07/2018 09:00,,13.8,17.4,6,30,0,18.6,17.2,64.6
LINTON ON OUSE,11/07/2018 10:00,,14,17.8,4,330,0,19.2,,63.2
LINTON ON OUSE,11/07/2018 11:00,,15.3,20.5,5,310,0,20,,54.5
LINTON ON OUSE,11/07/2018 12:00,,,,3,160,0,21,,
LINTON ON OUSE,11/07/2018 13:00,,,,4,60,0,22,,
LINTON ON OUSE,11/07/2018 14:00,,,,6,80,0,23,,
LINTON ON OUSE,11/07/2018 15:00,,17.1,24.1,7,20,0,23.8,,46
LINTON ON OUSE,11/07/2018 16:00,,16.9,23.2,6,350,0,24.5,,49.6
LINTON ON OUSE,11/07/2018 17:00,,16.1,21.8,7,70,0,24.6,,52.2
LINTON ON OUSE,11/07/2018 18:00,,16.3,21.4,8,80,0,24.2,,56.4
LINTON ON OUSE,11/07/2018 19:00,,15.8,19.9,9,90,0,23.7,,62.9
LINTON ON OUSE,11/07/2018 20:00,,14.6,17.5,9,80,0,23.1,,71.3
LINTON ON OUSE,11/07/2018 21:00,,13.8,16.1,6,80,0,22.5,,76
LINTON ON OUSE,11/07/2018 22:00,,13.3,15,5,80,0,21.8,,81.4
LINTON ON OUSE,11/07/2018 23:00,,12.9,14.4,0,0,0,21.2,,83.2
LINTON ON OUSE,12/07/2018,,12.8,14.4,2,90,0,20.6,,82.1
LINTON ON OUSE,12/07/2018 01:00,,12.7,14.3,1,60,0,20.2,,82.1
LINTON ON OUSE,12/07/2018 02:00,,12.8,14.3,3,340,0,19.9,,83.2
LINTON ON OUSE,12/07/2018 03:00,,12.8,14.1,3,320,0,19.6,,85.3
LINTON ON OUSE,12/07/2018 04:00,,12.9,14.5,4,30,0,19.4,,82.1
LINTON ON OUSE,12/07/2018 05:00,,12.8,14.5,3,350,0,19.2,,81.1
LINTON ON OUSE,12/07/2018 06:00,,13,15,3,360,0,19,,78.3
LINTON ON OUSE,12/07/2018 07:00,,13.2,15.3,4,350,0,18.9,,77.4
LINTON ON OUSE,12/07/2018 08:00,,13.4,15.7,3,340,0,19,,75.7
LINTON ON OUSE,12/07/2018 09:00,,13.7,16.6,4,320,0,19.2,17.5,70.4
LINTON ON OUSE,12/07/2018 10:00,,14.1,17.3,3,50,0,19.5,,68.2
LINTON ON OUSE,12/07/2018 11:00,,14.3,18,4,10,0,20,,64.3
LINTON ON OUSE,12/07/2018 12:00,,14.8,19,3,60,0,20.6,,61
LINTON ON OUSE,12/07/2018 13:00,,14.9,19.5,5,40,0,21.3,,58.2
LINTON ON OUSE,12/07/2018 14:00,,15.3,20.4,4,60,0,22.4,,55.2
LINTON ON OUSE,12/07/2018 15:00,,15.2,20.6,8,50,0,23.4,,53
LINTON ON OUSE,12/07/2018 16:00,,15.9,21.4,3,40,0,24.2,,53.3
LINTON ON OUSE,12/07/2018 17:00,,15.9,21.5,5,90,0,24.7,,52.6
LINTON ON OUSE,12/07/2018 18:00,,15.6,20.6,8,90,0,24.9,,56.2
LINTON ON OUSE,12/07/2018 19:00,,15.6,20.2,7,100,0,24.6,,59
LINTON ON OUSE,12/07/2018 20:00,,15.2,18.7,7,70,0,24,,66.9
LINTON ON OUSE,12/07/2018 21:00,,14.6,17.1,4,90,0,23.3,,74.7
LINTON ON OUSE,12/07/2018 22:00,,14.3,16.4,6,110,0,22.6,,78.1
LINTON ON OUSE,12/07/2018 23:00,,14,16,6,110,0,22,,78.9
LINTON ON OUSE,13/07/2018,,13.8,15.7,2,120,0,21.5,,79.8
LINTON ON OUSE,13/07/2018 01:00,,13.7,15,1,90,0,21,,85.7
LINTON ON OUSE,13/07/2018 02:00,,13.6,14.9,1,180,0,20.6,,85.7
LINTON ON OUSE,13/07/2018 03:00,,13.4,14.3,1,210,0,20.2,,89.8
LINTON ON OUSE,13/07/2018 04:00,,13.3,14.3,2,60,0,19.8,,88.7
LINTON ON OUSE,13/07/2018 05:00,,13.6,14.8,3,100,0,19.5,,86.7
LINTON ON OUSE,13/07/2018 06:00,,14,15.3,2,90,0,19.4,,85.9
LINTON ON OUSE,13/07/2018 07:00,,13.9,15.8,3,120,0,19.3,,79.8
LINTON ON OUSE,13/07/2018 08:00,,14.3,17,3,150,0,19.4,,72.7
LINTON ON OUSE,13/07/2018 09:00,,14.3,17.2,5,180,0,19.8,17.6,71
LINTON ON OUSE,13/07/2018 10:00,,14.5,17.5,6,200,0,20.2,,70.4
LINTON ON OUSE,13/07/2018 11:00,,15.2,18.7,7,190,0,20.6,,66.9
LINTON ON OUSE,13/07/2018 12:00,,15.2,18.8,7,180,0,21.1,,66.1
LINTON ON OUSE,13/07/2018 13:00,,15.3,18,7,230,0,21.5,,73.5
LINTON ON OUSE,13/07/2018 14:00,,15.6,17.1,4,320,0,21.6,,84.6
LINTON ON OUSE,13/07/2018 15:00,,16.6,20.4,2,190,0,21.6,,65.9
LINTON ON OUSE,13/07/2018 16:00,,16.4,21.4,5,170,0,22.1,,57.2
LINTON ON OUSE,13/07/2018 17:00,,17.2,22.1,5,180,0,22.9,,58.7
LINTON ON OUSE,13/07/2018 18:00,,16.5,21.9,5,160,0,23.3,,54.7
LINTON ON OUSE,13/07/2018 19:00,,16.2,20.9,4,180,0,23.5,,59
LINTON ON OUSE,13/07/2018 20:00,,16.2,20.7,3,180,0,23.1,,60.4
