timestamp,2019-01-02 14:34:08
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,210.7
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2018-12-01,53.72259,6.4,6.6,99.6,4.6,1.8,7.0,942.2,0.8,160.9,4.1,0.01156,5.5,76.5,5.3,67.0
2018-12-02,55.13428,10.2,7.9,99.9,7.4,6.7,8.5,934.9,0.3,209.9,4.5,0.0094,6.0,76.4,6.1,67.0
2018-12-03,,1.3,6.0,99.5,3.1,1.3,7.0,942.7,0.3,254.5,3.5,0.01682,6.2,76.5,6.0,67.0
2018-12-04,,0.2,5.1,96.1,1.4,-0.4,2.3,961.7,-2.3,173.8,2.4,0.07985,5.5,76.6,5.1,67.1
2018-12-05,53.54443,13.4,6.0,99.4,3.2,1.1,6.5,955.0,-0.3,125.1,5.7,-0.00526,5.0,76.6,4.6,67.2
2018-12-06,50.80885,1.3,7.8,99.2,7.2,5.4,9.3,950.9,0.0,224.7,4.7,0.0341,5.5,76.6,5.6,67.1
2018-12-07,52.52818,6.9,6.5,93.8,5.1,2.8,9.1,938.2,0.9,244.5,7.7,0.3019,6.0,76.5,6.0,67.0
2018-12-08,50.63036,2.2,6.5,98.3,4.7,3.1,5.3,936.7,0.2,277.2,7.4,0.10638,5.7,76.6,5.6,67.1
2018-12-09,45.03355,0.4,5.7,97.8,2.6,1.7,4.2,951.3,-1.1,328.9,5.0,0.08915,5.5,76.6,5.4,67.1
2018-12-10,44.17061,0.3,5.7,96.6,2.8,2.0,3.6,967.9,-0.8,233.9,2.9,0.11839,5.2,76.7,5.0,67.1
2018-12-11,46.51038,0.3,6.6,97.2,4.9,3.4,6.1,965.8,-0.2,145.5,4.6,0.13878,5.3,76.5,5.1,67.1
2018-12-12,49.48893,0.2,5.6,92.8,3.0,0.0,5.0,962.5,-3.4,147.2,9.9,0.33416,5.4,72.3,5.3,65.9
2018-12-13,45.30017,0.2,4.3,85.9,0.4,-0.1,1.0,961.3,-5.1,131.0,11.5,0.65624,4.6,70.7,4.6,58.8
2018-12-14,46.04999,0.4,3.8,81.2,-0.6,-2.1,0.7,964.1,-4.7,146.3,7.0,0.71082,4.2,69.1,4.1,57.1
2018-12-15,50.51119,117.9,4.2,89.8,-0.5,-2.6,3.2,947.2,-0.2,,,0.45139,3.7,69.5,3.6,58.8
2018-12-16,51.7414,5.5,5.9,97.7,3.3,1.9,4.3,944.7,-0.1,193.9,5.2,0.12138,3.2,75.4,2.9,66.3
2018-12-17,49.77496,2.1,6.3,99.2,4.0,2.0,7.6,954.4,0.5,195.2,4.5,0.03218,3.8,75.7,3.7,66.5
2018-12-18,51.98395,9.0,7.2,99.1,5.9,3.6,7.6,945.2,-0.4,173.0,8.9,0.03877,4.7,75.8,4.8,66.6
2018-12-19,,2.0,6.2,99.8,3.6,2.8,4.7,942.6,1.0,185.9,5.6,0.02767,4.9,75.9,4.9,66.7
2018-12-20,54.55906,8.4,6.2,99.9,3.6,3.0,4.3,942.4,0.5,198.9,4.0,0.01948,4.8,76.1,4.8,66.8
2018-12-21,52.72162,3.9,6.3,99.9,3.9,2.9,5.4,941.5,0.6,206.5,3.1,0.02135,4.9,76.2,4.9,66.9
2018-12-22,49.44255,1.4,6.4,99.9,4.2,3.7,5.1,954.1,0.3,280.2,3.8,0.01599,5.1,76.3,5.0,67.0
2018-12-23,42.98652,1.3,6.0,96.6,3.5,2.1,4.4,961.3,-0.9,191.8,2.3,0.0916,5.1,76.4,5.0,67.0
2018-12-24,41.33716,0.3,5.0,92.9,1.5,-0.2,3.5,974.0,-4.7,128.2,3.5,0.20215,4.6,76.5,4.4,67.1
2018-12-25,47.57781,1.3,6.8,99.6,4.9,1.0,6.8,973.9,0.2,162.3,2.8,0.0012,4.4,74.3,4.2,67.1
2018-12-26,48.47301,0.5,7.6,99.9,6.6,5.5,7.3,970.5,0.0,182.7,3.9,0.00424,5.1,72.8,5.0,66.3
2018-12-27,47.21622,0.1,7.1,99.6,5.8,5.2,6.4,968.4,0.2,219.3,1.9,0.02049,5.4,71.9,5.4,60.7
2018-12-28,45.96973,0.5,7.0,99.4,5.6,4.2,7.5,970.5,-1.0,214.1,2.9,0.00197,5.5,70.8,5.4,58.9
2018-12-29,51.67787,3.1,7.3,98.7,6.2,3.9,8.5,971.3,-0.4,243.0,5.6,0.05471,5.6,70.4,5.5,58.8
2018-12-30,50.40292,9.6,7.5,99.9,6.6,4.2,7.8,975.1,0.6,,,0.01409,5.6,74.4,5.7,64.8
2018-12-31,49.04149,0.1,7.2,97.6,6.2,5.6,6.9,974.4,0.1,263.1,5.7,0.1475,5.8,75.6,5.9,66.1
