timestamp,2017-09-01 15:06:05
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,195.4
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-08-01,47.84596,0.3,8.9,88.6,11.2,9.4,14.2,955.2,8.2,210.1,4.5,1.04124,12.0,74.8,12.3,66.3
2017-08-02,51.41909,2.6,9.9,90.4,12.4,10.0,16.6,951.6,6.7,177.8,4.9,0.86628,12.0,73.7,12.4,66.2
2017-08-03,58.38027,12.2,10.0,94.3,12.0,10.9,14.4,944.7,3.7,228.3,5.0,0.56508,12.1,75.8,12.3,66.6
2017-08-04,57.34773,1.0,8.7,86.4,11.2,8.1,13.7,952.4,8.5,275.4,5.0,1.25356,12.0,75.9,12.1,66.6
2017-08-05,52.80367,12.0,7.9,86.2,9.7,7.8,12.7,959.8,7.8,293.3,3.0,0.98114,11.8,76.0,12.0,66.6
2017-08-06,55.39262,10.5,8.6,92.1,9.8,7.6,11.8,961.6,2.4,202.3,3.8,0.53556,11.4,76.1,11.4,66.8
2017-08-07,56.03851,11.6,8.8,89.1,11.0,9.1,13.6,959.0,9.9,228.0,3.6,1.01019,11.4,76.1,11.6,66.7
2017-08-08,49.38434,3.7,8.2,85.8,10.3,8.9,12.6,958.5,5.8,68.3,5.0,1.14645,11.6,76.1,11.8,66.7
