timestamp,2021-04-01 15:26:14
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,79.0
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
2021-03-01,65.0,0.0,4.7,70.5,5.0,1.8,10.1,975.9,1.1,107.6,4.1,1.6,4.0,73.2,4.2,65.0,,0.203
2021-03-02,61.2,0.0,4.1,58.0,5.3,2.9,9.0,972.8,1.7,119.1,2.4,1.6,3.7,71.2,3.9,61.4,,0.207
2021-03-03,63.3,0.0,4.4,83.0,1.3,-0.5,4.3,970.4,3.0,53.8,2.5,1.0,3.5,70.7,3.7,60.1,,0.206
2021-03-04,67.1,0.9,4.8,92.6,0.8,-0.4,3.2,970.6,3.6,52.3,4.7,0.7,3.3,70.3,3.4,59.7,,0.192
2021-03-05,64.2,0.0,3.7,75.7,0.3,-1.1,2.0,976.4,2.2,63.4,2.0,0.7,3.2,70.0,3.3,59.4,,0.197
2021-03-06,65.6,0.0,3.5,71.3,0.2,-1.5,1.8,975.9,1.7,213.2,2.0,0.8,3.2,69.8,3.1,59.1,,0.202
2021-03-07,64.0,0.0,4.7,83.0,2.4,-0.4,6.1,969.3,3.7,339.5,2.8,0.9,3.3,69.6,3.2,58.7,,0.205
2021-03-08,67.2,4.0,6.1,97.4,3.7,1.8,4.9,964.4,1.0,271.8,3.0,0.2,3.5,69.7,3.6,58.8,,0.174
2021-03-09,71.8,2.4,6.2,99.8,3.7,2.1,4.7,958.6,0.8,192.6,5.1,0.1,3.9,70.0,3.9,59.1,,0.168
2021-03-10,71.4,9.1,6.8,99.9,5.0,1.9,7.8,937.9,1.0,204.2,8.3,0.1,4.1,72.7,4.1,62.7,,0.149
2021-03-11,66.3,6.8,5.6,90.9,3.3,-0.2,5.3,929.8,2.8,257.3,8.7,0.6,4.4,74.8,4.3,64.0,,0.189
2021-03-12,66.4,7.6,5.2,94.4,1.8,0.1,3.5,936.0,3.2,227.9,5.7,0.5,3.6,75.4,3.4,64.7,1.14223,0.189
2021-03-13,64.7,10.4,5.1,98.7,0.9,-0.7,2.6,933.3,2.6,277.0,5.9,0.3,3.1,75.7,2.9,65.4,11.90373,0.616
2021-03-14,70.3,3.4,5.8,99.4,2.7,1.1,3.9,952.4,1.6,299.4,5.7,0.2,3.1,76.0,3.0,65.7,3.67227,0.164
2021-03-15,64.8,1.2,5.9,90.4,4.6,3.2,7.1,963.8,4.7,313.4,4.5,0.9,3.8,76.1,3.9,65.9,,0.18
2021-03-16,65.6,6.9,7.0,87.1,7.5,4.2,11.9,971.3,5.3,319.6,5.6,1.2,4.9,76.1,5.1,65.9,,0.186
2021-03-17,62.8,0.0,5.0,73.9,5.1,2.2,8.8,977.0,3.1,1.9,3.3,1.4,4.6,76.3,4.7,66.0,,0.198
2021-03-18,62.6,0.0,7.1,92.0,6.9,3.7,11.9,973.9,2.0,350.3,3.3,0.7,4.6,76.3,4.6,66.1,,0.194
2021-03-19,69.5,0.1,6.8,96.8,5.5,4.0,8.1,974.0,6.3,44.8,6.5,0.8,5.0,75.3,5.1,64.9,,0.199
2021-03-20,64.4,0.0,6.9,95.3,6.0,4.7,9.0,973.9,5.0,341.7,3.5,0.9,5.1,72.1,5.2,61.0,,0.208
2021-03-21,65.5,0.0,6.0,86.7,5.4,2.5,8.9,972.0,5.3,323.4,2.3,1.3,5.2,70.7,5.3,59.9,,0.205
