timestamp,2020-10-01 16:00:35
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,91.9
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%,mm,Unitless
2020-09-01,54.12124,0.0,7.3,72.2,11.3,7.1,14.8,964.3,7.2,168.7,3.2,2.4,10.7,69.2,10.8,55.8,,0.199
2020-09-02,60.80847,20.0,9.3,88.3,11.8,10.5,13.5,958.5,2.0,176.7,5.6,0.9,11.0,69.3,11.0,57.5,,0.196
2020-09-03,61.33632,2.9,9.6,89.5,12.1,9.6,14.1,955.4,3.2,244.0,4.8,1.0,11.3,74.4,11.3,64.4,,0.182
2020-09-04,62.45719,4.5,7.8,82.7,10.0,8.5,12.5,960.3,6.6,250.6,5.1,1.7,11.1,74.8,10.9,64.9,,0.197
2020-09-05,62.16447,2.2,7.9,90.8,8.8,7.4,11.6,961.8,4.5,274.8,4.4,1.0,10.8,75.2,10.6,65.2,,0.194
2020-09-06,61.67751,3.4,8.6,88.8,10.6,8.3,14.4,963.6,8.0,288.9,2.0,1.8,11.0,75.3,11.1,65.3,,0.178
2020-09-07,65.75795,6.0,10.3,96.4,11.9,9.5,14.6,963.1,1.7,222.4,4.4,0.4,11.3,75.3,11.3,65.4,,0.176
2020-09-08,68.46895,0.2,12.1,97.7,14.4,13.6,15.4,964.8,2.8,232.1,4.6,0.5,11.7,75.3,11.9,65.3,,0.188
2020-09-09,60.90285,3.2,8.5,86.2,10.7,7.2,15.0,965.9,4.7,293.6,5.9,1.4,11.9,75.3,11.9,65.3,,0.199
2020-09-10,59.68762,0.0,7.1,86.2,8.0,6.0,10.0,965.6,2.8,214.2,2.7,1.0,11.0,75.4,10.8,65.5,,0.195
2020-09-11,60.27183,3.1,8.8,92.2,10.2,8.8,11.9,955.5,1.8,224.2,5.7,0.6,10.8,75.5,10.6,65.6,,0.193
2020-09-12,66.45265,1.9,7.8,81.3,10.3,8.2,12.4,958.6,6.7,240.9,5.9,1.9,10.7,75.4,10.5,65.5,,0.194
2020-09-13,60.45725,0.2,10.6,92.9,13.1,12.0,14.7,963.0,2.5,212.6,6.7,0.8,11.0,75.4,11.1,65.4,,0.192
2020-09-14,55.47647,0.0,10.0,77.0,15.5,11.6,20.1,966.0,8.0,173.4,3.4,2.5,11.4,73.4,11.5,61.0,,0.192
2020-09-15,58.85287,0.0,10.3,65.2,18.5,15.1,22.0,965.3,6.0,142.2,2.4,2.7,12.0,70.8,12.2,57.6,,0.194
2020-09-16,59.09956,0.1,8.9,88.2,11.1,7.8,15.4,972.1,4.2,68.4,7.2,1.1,11.9,68.2,12.1,56.9,,0.192
2020-09-17,48.78729,0.0,7.1,70.3,11.3,6.4,16.6,974.7,5.7,118.7,4.7,2.6,11.0,67.6,11.3,56.5,,0.198
2020-09-18,41.71948,0.3,6.3,65.6,10.3,8.3,14.0,971.1,3.3,84.2,7.7,2.7,10.6,67.0,11.0,56.1,,0.207
2020-09-19,38.89007,1.5,7.3,78.9,10.0,7.1,13.7,967.5,4.4,65.0,11.0,2.1,10.1,66.4,10.5,55.6,,0.21
2020-09-20,45.96893,0.8,7.8,78.7,10.8,7.3,15.0,967.1,5.0,72.5,4.8,1.9,10.4,66.0,10.6,55.1,,0.205
2020-09-21,48.54186,1.0,8.7,88.9,10.6,6.4,15.7,961.4,5.3,181.0,3.4,1.5,10.4,65.6,10.6,54.8,,0.206
2020-09-22,53.08227,2.1,9.8,97.8,11.0,9.6,11.9,950.7,0.9,200.4,5.5,0.2,10.8,65.3,10.9,54.6,,0.193
2020-09-23,58.11617,18.1,7.4,92.5,7.4,5.0,10.2,943.5,3.4,21.8,5.1,0.7,10.5,73.3,10.5,61.1,,0.177
2020-09-24,61.3203,7.0,6.1,88.1,5.3,3.2,7.4,939.5,3.0,83.1,6.4,0.9,9.3,75.0,9.1,64.2,,0.18
2020-09-25,59.69624,4.4,5.9,82.5,5.7,2.9,8.6,951.0,3.9,358.6,9.6,1.3,8.5,75.5,8.5,64.8,,0.195
2020-09-26,56.79591,1.9,5.4,77.4,5.3,2.3,8.5,958.6,2.0,358.6,8.9,1.4,8.3,75.7,8.1,65.2,,0.191
2020-09-27,56.06653,0.5,5.6,75.1,6.5,4.1,10.7,959.8,4.7,29.1,5.1,1.8,8.1,74.3,8.2,62.6,,0.197
2020-09-28,56.93853,1.7,7.2,84.1,8.1,3.6,11.3,957.3,1.8,119.6,2.4,0.8,8.5,73.2,8.5,58.3,,0.197
2020-09-29,50.80731,0.0,7.0,82.8,8.4,5.2,11.8,959.1,6.8,182.1,2.9,2.0,8.9,72.5,8.9,57.7,,0.193
2020-09-30,56.86466,4.9,8.2,93.2,8.9,7.6,10.0,946.5,0.5,169.6,6.2,0.4,9.1,70.5,9.0,57.7,,0.173
