timestamp,2020-07-01 13:05:36
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,105.3
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%,mm,Unitless
2020-06-01,26.4,0.0,6.2,51.1,14.5,9.6,18.8,970.1,15.5,91.3,4.5,5.6,9.7,39.6,9.8,32.1,,0.19
2020-06-02,26.5,0.0,7.2,58.3,14.6,9.3,20.4,963.9,14.6,356.5,3.4,4.8,9.8,38.3,9.9,30.0,,0.191
2020-06-03,31.4,11.3,7.2,89.3,7.6,5.4,12.3,956.5,9.0,35.1,9.0,1.4,9.1,41.5,9.4,32.1,,0.191
2020-06-04,29.1,8.4,6.6,86.2,6.8,4.7,10.1,946.8,8.0,322.2,2.4,1.6,8.6,41.9,8.9,32.4,,0.199
2020-06-05,32.4,7.6,5.7,81.4,5.5,3.4,9.1,938.5,11.7,318.0,7.3,2.2,8.2,45.1,8.5,35.0,,0.185
2020-06-06,39.2,18.5,6.6,83.3,7.7,3.6,11.2,939.9,11.5,353.0,6.9,1.8,7.7,69.1,7.9,57.7,,0.171
2020-06-07,39.0,1.4,7.3,87.1,8.3,4.8,11.1,954.2,7.6,14.0,5.8,1.6,8.3,68.3,8.5,56.2,,0.195
2020-06-08,38.8,0.0,5.9,74.8,7.4,4.4,10.8,963.3,9.5,74.2,3.7,2.4,8.2,62.0,8.5,50.4,,0.199
