timestamp,2018-08-01 16:21:53
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,85.5
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2018-07-01,24.46422,0.0,8.3,55.7,17.7,11.9,22.9,962.4,15.3,111.1,6.2,5.69375,12.6,44.5,12.7,37.4
2018-07-02,23.64943,0.1,8.5,63.7,15.9,10.5,19.9,965.7,15.9,81.3,5.5,4.14232,12.7,42.2,12.9,35.6
2018-07-03,21.83806,0.2,8.1,64.8,15.0,9.8,20.2,965.5,16.7,130.1,3.5,3.37191,12.5,40.5,12.6,33.9
2018-07-04,22.46659,0.3,10.6,75.6,16.3,11.8,21.4,960.4,10.1,161.5,2.9,2.17976,12.6,38.9,12.7,32.0
2018-07-05,21.12357,0.1,9.8,69.1,16.7,12.0,21.5,961.3,11.7,180.8,2.6,2.70954,12.7,37.7,12.8,30.5
2018-07-06,20.554,0.1,10.2,79.6,15.1,9.2,19.4,966.0,14.1,247.1,2.5,1.866,12.6,36.5,12.7,29.1
2018-07-07,21.15737,0.1,10.9,75.9,17.1,12.2,22.0,969.4,13.7,248.0,2.4,2.31865,12.9,35.2,13.1,27.7
2018-07-08,20.15829,0.8,11.7,79.9,17.3,12.7,21.8,971.8,9.0,215.0,3.0,2.0256,13.1,34.0,13.2,26.7
2018-07-09,20.72338,0.3,11.2,87.1,15.3,11.2,19.4,971.8,9.1,161.2,3.6,1.36841,13.1,32.6,13.3,26.0
2018-07-10,19.74396,0.2,9.1,78.3,13.7,10.4,18.7,969.8,14.0,77.0,4.2,2.18795,13.0,31.1,13.2,25.2
2018-07-11,20.61521,0.5,9.7,81.3,14.2,8.7,20.2,967.4,13.8,161.6,2.6,1.73958,12.9,29.3,13.1,24.1
2018-07-12,19.32015,0.7,10.7,85.3,14.7,10.0,20.1,967.1,11.3,150.3,2.9,1.41769,12.9,28.2,13.1,23.5
2018-07-13,19.91538,0.6,11.8,96.0,14.3,13.1,16.9,966.7,3.9,172.3,2.0,0.35275,13.0,27.9,13.1,23.3
2018-07-14,19.04811,0.1,10.7,83.1,15.3,10.4,20.0,963.8,13.6,206.5,3.5,1.86872,13.1,27.5,13.2,23.1
2018-07-15,18.40684,0.2,11.3,84.9,15.9,12.9,19.9,960.2,13.8,200.4,4.7,1.91038,13.3,26.6,13.4,22.4
2018-07-16,20.35979,9.5,11.5,99.9,13.2,10.5,14.5,958.0,3.4,213.2,2.4,0.1083,13.3,27.5,13.4,22.9
2018-07-17,21.95611,0.6,9.5,89.9,12.0,9.2,15.1,958.9,6.3,220.0,2.7,0.83964,12.7,29.1,12.9,24.2
2018-07-18,22.51688,0.2,9.7,84.7,13.3,7.9,17.5,962.6,7.5,174.4,2.2,1.16352,12.5,28.5,12.6,23.9
2018-07-19,20.85936,0.3,9.0,73.4,14.5,9.7,18.8,963.3,11.7,186.5,2.5,2.30549,12.8,27.7,13.0,23.4
2018-07-20,22.26244,2.9,9.8,94.5,11.5,10.0,12.7,959.1,2.2,166.8,2.7,0.40315,12.2,27.5,12.3,23.3
2018-07-21,22.96966,0.5,11.3,96.1,13.6,11.3,16.9,959.2,6.5,247.4,2.1,0.44535,12.6,27.6,12.6,23.4
2018-07-22,23.22586,1.6,12.9,98.2,15.3,11.7,20.0,960.5,6.9,261.4,2.3,0.33585,13.0,28.3,13.2,23.2
2018-07-23,24.63741,0.7,13.6,98.9,16.1,14.8,18.6,960.1,3.4,194.8,3.6,0.21097,13.4,28.0,13.5,23.2
2018-07-24,24.86292,1.4,11.5,93.6,14.3,10.6,16.9,958.9,7.0,251.7,2.6,0.61018,13.4,28.2,13.5,23.2
2018-07-25,22.20279,0.2,9.0,70.8,15.4,10.1,20.0,962.6,14.0,182.1,2.7,2.66388,13.2,27.6,13.4,22.9
2018-07-26,22.34908,13.2,11.5,70.4,19.1,13.0,24.2,958.7,12.1,154.5,5.0,4.11914,13.6,27.1,13.8,22.4
2018-07-27,24.39843,16.5,12.4,75.5,19.4,15.0,24.2,953.6,13.7,151.0,4.1,3.58386,14.1,27.9,14.4,22.6
2018-07-28,29.64199,16.9,10.3,95.8,11.9,7.5,15.9,944.8,4.6,182.0,6.2,0.37712,13.8,42.8,13.9,25.5
2018-07-29,34.04945,13.7,11.0,99.7,12.4,9.7,15.7,944.1,3.0,189.1,6.8,0.03943,12.8,70.1,12.7,44.8
2018-07-30,32.01401,2.7,10.7,96.6,12.6,9.8,16.5,952.3,7.3,197.4,4.1,0.45959,12.9,59.2,13.0,49.4
2018-07-31,31.20158,0.3,9.7,89.2,12.4,10.1,14.5,957.9,5.9,210.0,5.8,1.14904,12.6,53.4,12.7,46.7
