timestamp,2019-07-01 15:50:01
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,N/A
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-06-01,45.61274,,9.8,98.6,10.8,7.7,15.3,961.2,3.1,197.2,3.8,0.09229,8.8,75.3,9.1,62.9
2019-06-02,47.65829,,10.5,96.1,12.3,9.2,15.6,949.4,4.8,196.8,7.1,0.43732,9.1,73.5,9.5,61.4
2019-06-03,43.2617,,7.8,89.6,8.9,7.5,11.0,951.2,7.1,226.5,6.6,0.97678,8.9,71.1,9.2,58.7
2019-06-04,43.46201,,8.5,97.3,9.0,7.1,12.5,949.7,7.5,142.5,5.7,0.32288,8.9,69.6,9.1,57.9
2019-06-05,46.60215,,8.5,99.7,8.4,7.2,10.9,947.2,5.8,183.9,4.8,0.1274,8.9,74.3,9.1,64.4
2019-06-06,44.61817,,7.4,85.0,9.0,6.6,12.4,952.3,10.7,192.8,3.7,1.23585,8.9,72.8,9.2,62.1
2019-06-07,43.29655,,7.8,84.3,10.0,6.8,14.7,951.2,9.1,96.3,6.9,1.56853,9.0,71.5,9.2,60.1
2019-06-08,50.84343,,8.2,99.0,8.1,7.2,9.2,951.3,4.8,160.5,6.7,0.15112,8.8,74.2,8.9,64.7
2019-06-09,47.4964,,7.1,81.4,9.0,5.7,12.0,961.6,13.8,201.0,3.8,1.52031,8.9,74.6,9.2,64.8
2019-06-10,42.17286,,6.8,75.5,9.7,4.1,14.6,962.8,10.9,105.4,4.6,2.02271,8.8,73.0,9.2,62.5
2019-06-11,38.66641,,7.3,92.1,7.4,6.1,9.5,961.7,11.0,39.7,10.3,0.74051,8.5,69.1,8.9,56.9
2019-06-12,42.37529,,8.6,99.9,8.5,6.4,10.4,954.6,12.6,40.8,11.8,0.11779,8.4,68.1,8.6,56.1
2019-06-13,44.57066,,7.6,99.8,6.8,5.8,8.8,947.8,6.7,113.4,7.9,0.09773,8.5,74.1,8.5,64.2
2019-06-14,46.55835,,7.7,91.8,8.2,5.1,11.5,951.2,8.6,174.1,4.0,0.68813,8.6,75.0,8.8,65.3
2019-06-15,49.267,,8.4,92.4,9.5,6.3,12.3,954.0,5.8,172.6,4.1,0.60719,9.0,75.3,9.3,65.3
2019-06-16,48.53277,,8.4,94.5,9.3,6.3,13.2,955.4,7.8,192.4,5.2,0.53715,9.0,75.6,9.2,65.6
2019-06-17,50.92795,,8.8,91.7,10.5,8.7,13.1,956.5,8.6,212.2,6.5,0.8275,9.3,75.6,9.6,65.7
2019-06-18,48.18551,,8.4,83.8,11.3,8.3,14.9,956.8,14.5,208.2,4.3,1.55124,9.5,74.5,9.9,64.6
2019-06-19,45.60399,,8.2,82.1,11.2,8.3,15.3,952.8,11.7,223.0,2.3,1.3603,9.8,72.0,10.3,60.6
2019-06-20,47.13099,,7.8,87.1,9.4,7.1,12.5,954.0,13.1,249.3,4.2,1.24451,9.8,69.2,10.3,56.8
2019-06-21,42.47267,,7.2,80.9,9.5,6.7,13.3,961.9,11.7,231.4,3.4,1.4567,9.6,67.5,10.1,55.6
2019-06-22,41.86838,,7.7,71.7,12.3,5.8,17.2,965.3,11.1,152.6,2.6,2.02557,9.6,66.6,10.1,54.8
2019-06-23,40.15756,,8.2,73.4,13.1,10.8,16.7,964.4,11.5,101.3,7.3,3.08846,10.3,65.7,10.5,53.9
2019-06-24,46.85943,,12.9,99.4,15.1,11.5,18.4,962.0,8.1,147.7,4.2,0.2156,10.7,70.0,10.6,57.5
2019-06-25,47.57477,,10.4,99.9,11.6,8.7,14.2,966.9,8.9,60.7,7.2,0.13187,11.0,68.8,11.0,56.2
2019-06-26,41.90095,,9.2,89.5,11.5,7.6,16.6,974.6,13.7,97.8,3.5,1.00371,10.7,67.4,10.9,55.2
2019-06-27,39.10024,,8.7,66.6,15.5,10.3,20.6,975.2,17.5,116.8,5.6,3.83814,11.0,66.0,11.1,54.1
2019-06-28,36.20855,,8.6,60.3,16.8,12.5,21.0,968.9,17.6,105.6,8.0,5.1568,11.3,64.8,11.3,53.2
2019-06-29,37.70095,,12.2,79.5,18.1,12.3,24.1,959.6,9.6,199.7,2.8,2.2667,11.8,63.4,11.8,52.6
2019-06-30,38.47647,,10.4,94.1,12.7,10.9,15.1,955.8,7.1,241.2,5.6,0.69453,11.7,62.7,11.9,52.3
