"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"28-01-2016 06.00",1.9,957,0,81.4,7.3,251,-0.8,0.1,306.3,320.5,77.9,69.3
"28-01-2016 07.00",2.2,958,0,81.8,6.1,246,-1.2,0.1,300.8,321.4,77.7,69.1
"28-01-2016 08.00",2.6,958,0,81.9,5.8,238,-0.5,0.1,314.1,324,78,69.3
"28-01-2016 09.00",2.9,959,0.1,85.5,5.8,237,4,1,318.8,326.3,77.7,69.4
"28-01-2016 10.00",2.6,959,0.5,95,5.1,240,18.8,3.9,324.2,327.3,77.7,69.3
"28-01-2016 11.00",3.2,959,0.2,96.7,5.1,233,43.9,8,329,331.1,77.8,69.3
"28-01-2016 12.00",3.8,958.5,0,91.4,7.2,236,41.7,8.6,327.6,332.5,78.2,69.1
"28-01-2016 13.00",3.8,958,0,93.7,7.7,226,40.2,8,325.1,333.1,78,69.2
"28-01-2016 14.00",3.9,957,0.1,92,9.3,232,72.9,13.6,324.5,333.9,77.8,69.1
"28-01-2016 15.00",3.7,956,0.4,97.9,9.6,223,26.5,4.3,328.4,333.2,78.2,69.1
"28-01-2016 16.00",3.9,955,0.8,99.8,8.9,218,5.3,0.8,331.3,334.1,77.8,69.2
"28-01-2016 17.00",4,954,0.8,100,9.8,218,0.2,0,332.6,334.6,78.1,69.3
"28-01-2016 18.00",4.8,953,0.5,100,9.1,234,-0.2,0,337.1,338.6,78.1,69.3
"28-01-2016 19.00",5.3,953,0.3,97.4,7.1,234,-0.5,-0.2,336.1,339.3,77.9,69.2
"28-01-2016 20.00",5.3,953,1.2,99.2,6.8,238,-0.6,0,337.8,339.9,77.9,69.3
"28-01-2016 21.00",6.1,953,0,90.5,6.5,249,-0.3,-0.5,336.8,340.5,78,69.1
"28-01-2016 22.00",6.3,953,0.1,94.1,6.7,239,-0.7,-0.4,342.4,343.3,77.7,69.3
"28-01-2016 23.00",6.6,952.5,0,96.6,7,237,-0.8,0.1,343.9,345.2,78,69.1
"29-01-2016 00.00",6.8,951.5,0.8,99.8,8.4,232,-0.4,0,346.6,347.6,78.1,69.2
"29-01-2016 01.00",7.1,951,0.2,100,8.8,224,-0.2,-0.1,348.9,349.4,77.6,69.4
"29-01-2016 02.00",7.4,951,0.1,99.9,10,226,-0.1,0,349.7,350.9,77.7,69.2
"29-01-2016 03.00",7.6,950.5,0,96.8,10.5,224,-0.3,-0.4,348.1,350.5,77.8,69
"29-01-2016 04.00",7.3,949.5,0.1,99.5,10,222,-0.4,-0.3,347.7,350,77.9,69.4
"29-01-2016 05.00",7.3,948.5,0,93.9,8.9,228,-0.8,-0.5,343.2,348,78.1,69.2
"29-01-2016 06.00",6.9,947.5,0,96.6,12.2,224,-0.6,-0.4,343.9,347.3,77.6,69.2
"29-01-2016 07.00",6.5,945.5,0.2,99.9,12.6,222,-0.3,-0.2,344.8,346.5,77.7,69.1
"29-01-2016 08.00",6.6,944.5,0.3,100,13.9,227,-0.2,0,346.3,347.4,77.6,69.1
"29-01-2016 09.00",7,944.5,0.6,98.1,12.7,245,5.3,0.7,340.7,348.9,77.7,69.3
"29-01-2016 10.00",6,946.5,0,82.6,12.3,267,69.6,9.2,299.5,339.5,77.9,69
"29-01-2016 11.00",5.6,948.5,0,70,10.7,265,188.7,33.8,290.6,337.1,77.9,69.1
"29-01-2016 12.00",5.4,950,0,68.8,10.2,266,171.2,32.7,299,337.5,78,68.9
"29-01-2016 13.00",5,950,0,72.1,10.4,269,118.9,23.4,312.5,336.5,77.9,68.9
"29-01-2016 14.00",4.7,950.5,0,70.8,9.3,256,81.4,16.2,314.1,334.8,77.9,69
"29-01-2016 15.00",4.2,950.5,0,77,8.1,256,33.2,6.4,315.2,332.1,77.9,68.9
"29-01-2016 16.00",4,950.5,0,68.1,8.3,254,25.7,5.3,304.1,328.8,77.6,69
"29-01-2016 17.00",3.9,950,0,74,6.6,233,1.6,0.4,312.8,329.1,77.7,69
"29-01-2016 18.00",4,950,0,74.5,6.4,230,-0.9,0.1,314.7,329.5,78,69
"29-01-2016 19.00",4.1,949,0,77.2,5.7,220,-0.9,0,318.7,330.3,78,69
"29-01-2016 20.00",3.4,948.5,0.2,91.5,5.3,208,-1.1,0.3,323.1,330.1,77.9,69
"29-01-2016 21.00",3.4,947.5,0.2,96.7,5.5,222,-0.8,0.6,326.2,330.7,77.9,69.1
"29-01-2016 22.00",3.4,946.5,0,94,6.5,208,-0.9,0.5,317.4,329.8,78,69.1
"29-01-2016 23.00",3.6,945,0.4,95.8,7.5,233,-0.9,0.3,326.6,331.4,77.9,69.1
"30-01-2016 00.00",3.8,944.5,0.2,85.8,7.5,249,-1.3,0.7,324.4,329.8,77.9,69.1
"30-01-2016 01.00",2.9,944,0.2,91.5,8.2,265,-1.2,0.4,321.3,327.2,77.9,69.1
"30-01-2016 02.00",0,945.5,0,96.8,9.7,293,-0.8,-0.2,306.9,316.2,77.9,69.1
"30-01-2016 03.00",0,945,0,84.6,6.5,267,-2.2,-1,275,313,77.9,69.2
"30-01-2016 04.00",0.2,944.5,0,78.9,6.5,252,-1.7,-1.2,286.8,312.7,78.1,69.1
"30-01-2016 05.00",-0.5,944,0,96.8,7.1,270,-0.5,-0.3,301.8,313.5,78.4,69.1
