timestamp,2019-05-01 15:31:05
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,N/A
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-04-01,45.20712,,5.2,88.4,2.9,-0.4,5.5,962.3,2.3,167.9,4.9,0.5879,4.7,66.9,4.7,54.9
2019-04-02,54.81461,,5.1,95.7,1.3,-1.2,5.5,945.8,7.8,231.6,3.6,0.28344,4.6,75.1,4.5,65.2
2019-04-03,64.30532,,4.8,99.0,0.1,-1.3,1.5,941.3,1.1,212.7,3.9,0.05232,4.4,75.7,4.2,66.1
2019-04-04,70.47746,,5.1,93.9,1.7,-0.2,3.4,939.4,2.4,107.7,9.0,0.36684,3.9,76.0,3.6,66.3
2019-04-05,52.6316,,5.6,87.4,4.5,2.0,9.1,947.9,5.7,110.6,9.1,0.9787,3.8,76.1,3.8,66.5
2019-04-06,51.94755,,6.0,89.4,4.8,0.3,8.5,952.3,8.7,84.4,4.6,0.66121,4.3,76.3,4.2,66.6
2019-04-07,52.17793,,6.9,95.5,6.1,3.9,11.3,954.8,10.6,68.5,7.5,0.46585,4.9,75.2,5.1,66.5
2019-04-08,49.92864,,6.7,99.3,5.0,3.3,7.8,957.8,10.4,67.2,11.7,0.11785,5.1,72.9,5.3,64.4
2019-04-09,47.324,,5.2,86.8,3.3,0.0,6.1,962.4,7.3,77.6,7.5,0.91853,4.8,70.4,5.0,58.9
2019-04-10,47.55124,,4.6,80.8,2.5,-1.0,7.0,966.5,9.9,107.0,4.5,1.02658,4.6,68.6,4.8,56.9
2019-04-11,48.52511,,4.4,75.7,2.9,-0.8,7.3,969.4,9.9,154.2,3.2,1.09945,4.7,68.0,4.8,56.2
2019-04-12,46.73432,,4.2,74.3,2.6,-0.4,6.1,970.9,7.0,124.2,4.7,1.32814,4.7,67.5,4.8,55.7
2019-04-13,41.92897,,4.0,77.2,1.3,-2.6,5.4,971.2,7.2,119.2,6.5,1.18016,4.5,67.1,4.4,55.4
2019-04-14,43.69208,,4.3,81.3,1.6,-1.4,4.7,969.6,2.8,117.8,7.5,1.00703,4.1,66.9,4.0,55.2
2019-04-15,41.41042,,5.4,87.2,3.9,0.1,8.5,963.7,9.3,112.3,11.7,0.98494,4.2,66.7,4.1,55.0
2019-04-16,41.12355,,6.6,89.0,6.5,3.5,10.8,961.5,7.3,92.7,8.9,0.97823,4.7,66.4,4.7,54.7
2019-04-17,37.66326,,6.4,77.7,8.4,3.5,14.2,965.5,9.2,92.5,8.6,2.01385,5.1,66.0,5.2,54.5
2019-04-18,37.35565,,6.9,71.4,10.6,6.4,15.5,970.3,7.7,102.1,8.0,2.57555,5.8,65.5,5.9,54.2
2019-04-19,37.16708,,5.8,49.9,14.0,9.2,18.8,974.8,9.8,135.3,6.0,5.18165,6.2,64.9,6.4,53.7
2019-04-20,36.25164,,6.4,50.2,15.1,11.2,19.7,974.5,9.7,156.8,3.1,4.06947,6.8,64.2,7.0,53.3
2019-04-21,35.99141,,6.4,52.8,14.3,10.3,18.5,963.4,9.6,174.6,4.0,4.09011,7.1,63.6,7.4,52.9
2019-04-22,34.16441,,5.1,43.0,14.0,9.7,18.4,952.0,10.1,125.4,6.8,5.94521,7.2,62.7,7.4,52.6
2019-04-23,30.60814,,6.0,55.7,12.3,8.4,15.4,944.9,6.1,92.3,9.3,4.69499,7.3,61.5,7.5,52.1
2019-04-24,33.31605,,8.1,85.0,10.3,5.7,14.9,938.5,10.1,100.9,8.1,1.58047,7.3,60.4,7.4,51.6
2019-04-25,31.03147,,7.4,93.6,7.4,5.4,11.1,942.3,7.5,136.4,6.0,0.52065,7.3,61.9,7.3,52.6
2019-04-26,36.61519,,7.1,97.8,6.0,4.5,8.4,946.7,4.2,175.2,7.0,0.20858,6.8,64.4,6.8,54.0
2019-04-27,38.5354,,6.5,98.5,4.5,3.4,5.9,945.9,5.0,,,0.15288,6.4,67.7,6.5,56.8
2019-04-28,40.5513,,6.7,87.5,7.1,3.7,12.3,963.9,10.3,164.5,3.9,0.90077,6.4,74.2,6.5,63.1
2019-04-29,40.11439,,6.8,82.3,8.3,3.9,12.9,969.2,13.6,143.8,3.8,1.41568,6.7,70.7,7.0,59.8
2019-04-30,41.43836,,7.0,78.3,9.4,5.2,13.0,966.9,9.8,161.8,2.4,1.37453,7.0,67.6,7.3,55.8
