timestamp,2021-01-04 16:36:39
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,142.5
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
2020-12-01,66.5,0.0,4.8,87.1,2.0,-0.2,4.5,969.4,-1.2,359.1,1.4,0.3,5.7,74.6,5.7,64.0,,0.154
2020-12-02,66.7,2.3,5.8,95.9,3.1,1.1,4.7,957.1,1.0,222.3,3.2,0.3,5.8,73.2,5.7,63.2,,0.184
2020-12-03,67.9,4.1,4.9,97.6,0.5,-0.2,1.4,931.3,0.4,116.0,5.4,0.2,5.5,74.8,5.2,64.4,,0.385
2020-12-04,,21.1,4.9,96.3,0.7,-1.5,2.8,920.6,-0.3,,,,4.7,75.1,4.5,64.8,,0.649
2020-12-05,66.7,2.3,4.9,89.7,1.7,0.8,2.6,939.5,-2.6,60.5,5.9,0.3,4.1,75.4,3.9,65.2,,0.228
2020-12-06,69.7,1.8,5.5,96.5,2.3,1.6,3.2,946.5,-0.7,21.7,4.0,0.1,4.3,75.6,4.2,65.4,,0.152
2020-12-07,69.7,0.0,4.9,95.7,0.9,0.0,2.0,942.4,-0.8,5.0,3.2,0.2,4.5,75.7,4.3,65.5,,0.184
2020-12-08,74.0,7.4,5.7,99.5,2.4,0.1,3.9,941.7,0.7,252.9,2.9,0.1,4.5,75.8,4.3,65.7,,0.16
2020-12-09,77.4,2.6,5.7,96.8,2.7,1.7,3.5,946.6,0.4,200.0,3.5,0.2,4.8,75.9,4.7,65.9,,0.153
2020-12-10,75.3,3.8,5.8,93.7,3.7,2.8,4.1,940.2,0.1,148.0,8.2,0.3,4.8,76.0,4.5,66.0,,0.155
2020-12-11,74.7,1.2,6.5,96.6,4.8,3.8,5.4,930.5,0.6,109.1,5.2,0.2,4.9,76.1,4.9,66.0,,0.154
2020-12-12,71.4,2.7,6.5,100.0,4.4,2.5,5.4,942.4,0.6,331.9,2.4,0.1,5.3,76.1,5.2,66.1,,0.156
2020-12-13,71.4,11.2,6.5,94.7,4.9,2.4,7.7,940.0,0.2,156.7,7.6,0.3,5.2,76.1,5.1,66.2,,0.129
2020-12-14,69.3,5.7,6.9,97.6,5.6,4.5,7.3,936.0,0.1,188.7,6.8,0.1,5.6,76.1,5.6,66.2,,0.163
2020-12-15,69.1,0.4,6.3,95.4,4.6,4.1,5.3,944.5,-0.2,183.9,5.8,0.2,5.5,76.1,5.4,66.2,,0.155
2020-12-16,72.3,10.3,6.5,94.2,5.3,3.9,6.3,945.3,-0.8,166.3,8.6,0.3,5.5,76.2,5.4,66.3,,0.138
2020-12-17,76.5,7.0,6.9,99.8,5.2,3.9,7.7,950.3,0.8,189.2,6.1,0.1,5.5,76.2,5.4,66.2,,0.186
2020-12-18,77.0,4.5,8.9,98.4,9.3,7.7,10.4,945.0,0.1,175.6,7.5,0.1,6.3,76.0,6.5,66.2,,0.166
2020-12-19,73.7,6.1,6.8,94.6,5.8,3.8,9.7,940.9,0.3,184.1,7.4,0.3,6.6,76.0,6.6,66.1,,0.196
2020-12-20,73.2,12.4,6.1,99.0,3.5,2.5,4.3,948.8,-0.3,200.6,5.2,0.1,5.8,76.2,5.6,66.3,,0.15
2020-12-21,68.8,2.3,6.3,97.4,4.2,2.7,5.5,946.9,0.0,174.3,4.5,0.2,5.5,76.2,5.3,66.3,,0.169
