timestamp,2018-05-01 14:43:43
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,67.8
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2018-04-01,49.38925,0.2,4.5,90.8,0.3,-0.6,2.0,954.9,4.7,65.9,6.6,0.43644,2.5,73.5,2.5,66.8
2018-04-02,,12.0,4.9,99.2,0.2,-0.6,2.9,941.0,1.8,83.6,11.9,0.05224,2.4,72.1,2.3,62.1
2018-04-03,64.69026,3.8,6.9,97.5,5.6,3.7,7.8,934.3,4.0,201.1,5.0,0.19757,2.5,76.4,2.4,63.8
2018-04-04,58.23768,13.3,6.0,99.2,3.2,-1.0,7.1,937.2,2.8,129.9,7.7,0.00374,3.3,76.6,3.3,64.2
2018-04-05,57.78438,0.3,4.4,80.2,2.0,-3.1,6.3,956.0,8.0,229.3,4.5,0.92161,2.9,76.9,2.9,64.8
2018-04-06,58.86243,0.1,6.0,78.7,6.5,3.3,9.9,951.8,8.6,163.2,7.5,1.40635,3.3,76.2,3.4,65.0
2018-04-07,60.17179,6.6,7.1,98.3,6.0,4.8,8.1,950.2,1.2,189.7,2.3,0.08722,4.0,75.3,4.1,65.1
2018-04-08,60.81598,0.1,6.9,98.5,5.5,2.9,8.9,953.1,6.8,192.5,2.1,0.19361,4.3,76.9,4.5,65.2
2018-04-09,55.23594,0.3,6.6,87.9,6.7,2.1,11.8,951.5,10.7,125.4,5.2,0.90376,4.6,76.2,4.8,65.2
2018-04-10,62.56157,2.3,6.3,99.9,4.0,3.5,5.1,950.1,3.5,61.4,10.8,0.03912,4.5,75.4,4.6,65.3
2018-04-11,57.08851,0.4,6.5,99.9,4.4,2.5,7.2,954.4,10.1,71.6,9.0,0.08708,4.5,74.9,4.5,65.3
2018-04-12,58.66175,1.6,6.0,99.9,3.2,2.2,5.3,951.2,8.6,59.3,10.1,0.07421,4.4,72.0,4.4,63.4
2018-04-13,59.06532,5.0,6.8,99.9,5.0,3.3,6.5,950.8,4.1,143.7,4.8,0.05952,4.4,75.0,4.5,62.6
2018-04-14,55.75768,0.3,6.9,92.6,6.6,4.4,10.6,959.0,5.1,171.3,3.7,0.47115,4.9,75.4,5.0,63.6
2018-04-15,57.54959,3.4,7.8,95.5,7.9,6.1,11.3,952.0,6.4,125.4,7.8,0.40153,5.2,72.3,5.4,62.8
2018-04-16,56.91377,1.1,6.8,87.7,7.2,5.6,10.1,952.5,6.0,200.8,6.4,0.90656,5.5,74.9,5.6,63.0
2018-04-17,62.41066,1.2,8.2,96.7,8.3,6.7,9.5,956.4,0.5,194.4,8.2,0.23456,5.5,71.8,5.6,62.2
2018-04-18,61.43091,1.2,9.6,89.9,12.2,8.7,15.7,966.7,2.8,187.4,6.6,0.98772,6.0,71.4,6.1,60.5
2018-04-19,52.05599,0.0,9.4,80.7,13.5,8.6,16.8,967.6,12.0,187.4,4.4,1.85892,6.8,70.3,7.0,57.2
2018-04-20,54.60211,0.1,7.4,84.3,9.2,5.6,14.3,967.8,11.8,199.7,3.1,1.1566,7.2,68.6,7.4,55.8
2018-04-21,53.67735,2.6,8.3,79.0,11.6,4.4,17.0,962.8,11.4,145.4,4.8,1.74185,6.8,67.7,7.0,55.2
2018-04-22,55.54089,4.1,8.1,93.2,8.6,4.8,13.7,951.3,2.5,211.0,5.7,0.4185,7.3,67.5,7.5,55.1
2018-04-23,58.63701,1.0,7.1,96.0,6.2,4.9,8.1,953.3,5.4,249.8,6.9,0.32298,6.7,69.0,6.8,56.2
2018-04-24,58.2387,3.7,6.7,93.7,5.8,3.5,9.2,952.3,6.6,218.0,4.1,0.43575,6.4,68.8,6.5,56.2
2018-04-25,61.89845,1.2,6.5,94.7,5.1,3.9,7.3,950.5,5.4,247.1,4.5,0.35516,6.2,69.6,6.2,57.3
2018-04-26,53.78891,0.3,6.2,91.3,5.0,3.2,7.5,953.3,6.8,260.4,5.9,0.57138,5.9,69.5,6.0,57.1
2018-04-27,52.59279,0.6,5.8,88.6,4.6,1.9,7.3,953.1,8.0,209.9,1.7,0.54911,5.9,68.8,6.0,56.1
2018-04-28,48.51396,0.5,5.6,89.5,3.8,1.6,7.1,956.5,8.9,68.8,5.0,0.69371,5.9,68.2,6.0,55.6
2018-04-29,53.13922,0.1,5.3,86.9,3.3,0.8,6.5,959.1,8.9,79.7,5.1,0.78781,5.6,67.7,5.7,55.2
2018-04-30,52.05312,0.4,4.7,77.2,3.8,1.2,7.0,954.1,11.1,71.8,8.6,1.46015,5.2,67.1,5.4,54.9
