timestamp,2020-03-02 15:19:00
site-id,MOORH
site-name,Moor House
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,143.1
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2020-02-01,58.85866,0.0,6.1,93.2,4.4,1.8,6.5,940.4,-0.3,258.4,7.2,0.36745,5.0,76.0,5.0,66.0
2020-02-02,54.41581,6.5,6.1,96.8,3.7,1.9,5.6,945.7,0.2,178.4,4.3,0.11986,4.6,76.2,4.6,66.3
2020-02-03,51.72355,0.9,5.1,87.7,2.7,0.2,5.1,950.2,0.7,258.2,6.4,0.57176,4.6,76.4,4.4,66.4
2020-02-04,53.99002,0.5,5.1,87.0,3.0,-0.4,6.0,963.2,-0.1,236.1,6.7,0.65656,4.0,76.5,3.8,66.5
2020-02-05,50.52732,0.0,5.3,94.0,2.3,1.3,3.5,976.8,-1.0,208.8,2.3,0.16329,4.0,76.6,3.9,66.6
2020-02-06,53.59261,0.0,4.7,79.3,3.4,1.5,5.8,972.2,0.0,169.7,2.4,0.72535,4.0,75.0,3.9,66.4
2020-02-07,54.34821,0.0,3.5,52.9,4.6,2.7,6.9,957.8,0.0,148.1,7.4,2.6953,3.8,73.4,3.7,62.3
2020-02-08,54.47952,11.7,5.8,92.1,3.8,1.9,6.3,947.5,1.3,200.5,8.3,0.43984,4.0,71.5,4.0,59.8
2020-02-09,,22.9,6.6,93.9,5.5,2.3,7.6,921.4,0.6,233.8,10.7,0.37259,4.8,74.7,4.8,64.4
2020-02-10,51.16321,1.4,4.3,82.5,1.0,-0.2,2.4,929.7,0.9,262.1,9.9,0.86262,4.2,75.2,3.6,65.0
2020-02-11,54.87304,1.5,4.2,87.3,0.1,-0.5,0.8,939.3,1.0,265.5,9.9,0.58484,3.4,75.6,2.8,65.4
2020-02-12,59.48463,0.1,4.0,81.3,0.4,-1.2,1.7,949.4,0.0,241.5,6.8,0.78163,3.2,75.9,2.5,65.6
2020-02-13,65.0698,7.4,5.0,97.0,0.8,-0.6,1.9,940.8,0.4,136.9,6.0,0.13038,3.0,76.0,2.6,65.8
2020-02-14,62.10851,1.6,5.7,93.8,3.2,0.9,5.7,952.7,0.0,182.3,6.0,0.26616,3.0,76.2,2.8,66.1
2020-02-15,65.86149,22.0,6.8,96.7,5.5,3.0,7.8,936.8,-0.2,194.1,8.8,0.1684,3.9,76.2,3.9,66.2
2020-02-16,64.3597,6.3,5.1,82.8,3.3,1.3,5.8,926.2,1.2,231.2,11.4,0.97717,4.2,76.3,4.1,66.2
2020-02-17,56.82882,0.1,4.9,84.3,2.7,0.1,5.0,942.0,1.2,251.0,9.2,0.84728,3.7,76.5,3.4,66.5
2020-02-18,62.77224,3.3,4.9,92.2,1.3,-0.2,3.1,951.7,0.8,251.7,6.1,0.34513,3.5,76.6,3.1,66.6
2020-02-19,58.93172,4.1,5.6,96.1,2.5,0.1,5.8,953.3,0.5,235.5,6.5,0.13002,3.3,76.8,3.0,66.7
2020-02-20,58.98589,11.4,5.6,93.3,2.8,-0.4,5.8,946.4,2.7,252.5,7.5,0.23984,3.9,76.6,3.8,66.7
2020-02-21,61.8363,6.4,6.3,96.6,4.4,2.0,6.2,952.6,-0.1,222.7,9.3,0.14939,3.7,76.7,3.5,66.7
2020-02-22,62.48524,3.5,5.2,86.2,2.9,0.4,6.7,949.8,1.2,257.4,10.4,0.71906,4.0,76.7,3.9,66.7
2020-02-23,55.47136,7.3,4.9,92.4,1.3,0.0,2.7,955.2,3.5,255.5,4.6,0.34064,3.4,76.8,3.3,66.8
2020-02-24,66.0413,7.0,5.2,95.6,1.5,-1.3,5.6,945.6,0.6,196.5,7.4,0.17076,3.3,76.8,3.2,66.8
2020-02-25,63.17191,1.4,4.8,99.4,0.0,-0.8,1.2,938.1,2.9,273.3,4.3,0.05742,3.1,76.9,2.8,66.9
2020-02-26,61.42366,,,,,,,,,,,,3.0,76.9,2.7,66.9
2020-02-27,59.42483,2.1,4.5,94.7,-0.3,-1.5,1.3,945.2,1.5,286.4,4.9,0.21646,2.9,76.9,2.7,66.9
2020-02-28,62.67842,6.7,5.6,96.1,2.4,0.0,6.7,941.1,1.2,177.1,6.5,0.12092,2.9,76.9,2.7,67.0
2020-02-29,,7.0,5.5,92.2,2.7,-0.6,7.4,918.5,4.5,217.9,9.1,0.35357,3.6,76.9,3.6,66.9
