"Code","Name"
"910192","Asplenium ruta-muraria"
"910193","Asplenium septentrionale"
"910194","Asplenium trichomanes"
"910195","Asplenium trichomanes-ramosum"
"920197","Aster lanceolatus"
"920203","Aster lanceolatus x novi-belgii (A. x salignus)"
"9201166","Aster linosyris"
"920200","Aster novae-angliae"
"9204494","Aster novi-belgii"
"920204","Aster tripolium"
"920204.09999999998","Aster tripolium var. discoideus"
"920206","Astragalus alpinus"
"920207","Astragalus danicus"
"920208","Astragalus glycyphyllos"
"200001606","Athyrium [spp]"
"910210","Athyrium distentifolium"
"910211","Athyrium filix-femina"
"910210.09999999998","Athyrium flexile"
"200001537","Atrichum [spp]"
"82038","Atrichum crispum"
"82040","Atrichum undulatum"
"9204582","Atriplex [spp]"
"920212","Atriplex glabriuscula"
"920215","Atriplex hortensis"
"920216","Atriplex laciniata"
"920217","Atriplex littoralis"
"9202286","Atriplex longipes"
"920218","Atriplex patula"
"920949","Atriplex pedunculata"
"920950","Atriplex portulacoides"
"9202287","Atriplex praecox"
"9203311","Atriplex prostrata agg."
"920219","Atropa belladonna"
"8201097","Aulacomnium [spp]"
"82041","Aulacomnium androgynum"
"82042","Aulacomnium palustre"
"82043","Aulacomnium turgidum"
"9204734","Avena [spp]"
"920220","Avena fatua"
"9202988","Avena sativa"
"920222","Avena strigosa"
"200001608","Avenula [spp]"
"910223","Azolla filiculoides"
"920224","Baldellia ranunculoides"
"920225","Ballota nigra"
"920226","Barbarea intermedia"
"920227","Barbarea stricta"
"920228","Barbarea verna"
"920229","Barbarea vulgaris"
"200001452","Barbilophozia [spp]"
"810693","Barbilophozia attenuata"
"810694","Barbilophozia barbata"
"810695","Barbilophozia floerkei"
"810696","Barbilophozia hatcheri"
"810698","Barbilophozia lycopodioides"
".","Barbula [spp]"
"8201098","Barbula [spp]"
"82045","Barbula convoluta"
"82048","Barbula fallax"
"82054","Barbula recurvirostra"
"82056","Barbula revoluta"
"82060","Barbula tophacea"
"82062","Barbula unguiculata"
"20000887","Bare ground/litter/water/rock/mud"
"82065","Bartramia ithyphylla"
"920230","Bartsia alpina"
"200001088","Bazzania [spp]"
"810700","Bazzania pearsonii"
"810701","Bazzania tricrenata"
"810702","Bazzania trilobata"
"920235.19999999995","Beet (cultivated)"
"920231","Bellis perennis"
"9204741","Berberis [spp]"
"920232","Berberis vulgaris"
"920234","Berula erecta"
