wrong_name,right_name,
A. x salignus willd,Aster novi-belgii x lanceolatus = A. x salignus,
Acer pseudoplatanus (s.),Acer pseudoplatanus (s),
Acer sapling,Acer sp.,
Agrimony sp.,Agrimonia sp.,
Agrostis canina/stolonifera,Agrostis canina,
Algae(group not known) mat,unidentified,
Algal mats,unidentified,
Alnus glutinosa (c) (g),Alnus glutinosa (c),
Alnus glutinosa (seedling),Alnus glutinosa (g),
Anagallis palustris,Anagallis tenella,
Arrhenatherum pratense,unidentified,two species
Asplenium ruta-murania,Asplenium ruta-muraria,
Asplenium ruta-muriana,Asplenium ruta-muraria,
Asplenium scolopendrium,Phyllitis scolopendrium,
Asplenium trichomanes ssp. quadrivalens,Asplenium trichomanes subsp. quadrivalens,
Asplenium trichomanes ssp.quad,Asplenium trichomanes subsp. quadrivalens,
Asplenium virde,Asplenium viride,
Aster novi-belgii subsp. novi-belgii,Aster novi-belgii,
Aulacomium androgynum,Aulacomnium androgynum,
Aulacommium palustre,Aulacomnium palustre,
Aulacomnium paslustre,Aulacomnium palustre,
Aulacomniun palustre,Aulacomnium palustre,
Avenula pratense,Helictotrichon pratense,
Betula pendula x pubescens (b. x aurata) (c),Betula pendula x pubescens = B. x aurata,
Boletus? sp.,a fungi,
Brachypodium pinnatum s.l.,Brachypodium pinnatum agg.,
Brachythecium cf. mildeanum,Brachythecium mildeanum,
Bromus ferronii,Bromus hordeaceus subsp. ferronii,
Bromus hordaceus,Bromus hordeaceus,
Bromus hordeaceus subsp hordeaceus,Bromus hordeaceus subsp. hordeaceus,
Bromus hordeaceus subsp. ferronnii,Bromus hordeaceus subsp. ferronii,
Bromus hordeaceus subsp. Hordeaceus,Bromus hordeaceus subsp. hordeaceus,
Bryophytes sp.,unidentified,
Anacamptis morio,Orchis morio,
Calliergon giganticum,Calliergon giganteum,
Calliergonella cuspidata,Calliergon cuspidatum,
Calluna vulgaris (dead),n/a,
Calypogeia muellerana,Calypogeia muelleriana,
Calypogeia muelleriana (a),Calypogeia muelleriana,
Campyliadelphus elodes,Campylium elodes,
Campylium stellatum s.l.,Campylium stellatum,
Carex canescens,Carex curta,
Carex cf disticha,Carex disticha,
Carex cf lepidocarpa,Carex lepidocarpa,
Carex lepidocarpa / viridula agg.,Carex lepidocarpa,
Carex leporina,Carex ovalis,
Carex vescaria,Carex vesicaria,
Carex viridula ssp. Oedocarpa,Carex viridula subsp. oedocarpa,
Carex x fulva,Carex hostiana x viridula = C. x fulva,
Century sp.,Centaurium sp.,
Cephalozia cuspidata,Cephalozia bicuspidata,
Cerastium vulgare,Cerastium fontanum subsp. vulgare,
Cetraria aculeata,Coelocaulon aculeata,
Cirsim vulgare,Cirsium vulgare,
Cirsium carlinus,Carlina vulgaris,
Cirsium repens,Cirsium arvense,
Cistacea sp.,Cistus sp.,
Cladonia cervicornis subsp verticillata,Cladonia cervicornis var verticillata,
Cladonia cervicornis subsp. verticillata,Cladonia cervicornis var verticillata,
Cladonia chlorophaea agg.,Cladonia chlorophaea agg,
Cladonia ciliata,Cladonia ciliata ciliata,
Cladonia ciliata s.l.,Cladonia ciliata ciliata,
Cladonia ciliata var. ciliata,Cladonia ciliata ciliata,
Cladonia cornucrea,Cladonia coniocraea,
Cladonia crustacea,Cladonia crustacea,not in list
