VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
281,Calystegia sepium,,,36587,Vas_311,Calystegia sepium,
284,Campanula glomerata,,,36587,Vas_315,Campanula glomerata,
285,Campanula latifolia,,,36587,,,
288,Campanula rotundifolia,campa rotun,,36587,Vas_322,Campanula rotundifolia,
290,Capsella bursa-pastoris,caps bursa,,36587,Vas_325,Capsella bursa-pastoris,
291,Cardamine amara,,,36587,Vas_327,Cardamine amara,
5634,Verrucaria prominula,,,36587,,,
5637,Verrucaria simplex,,,36587,,,
5640,Verrucaria xyloxena,,,36587,,,
5642,Vezdaea acicularis,,,36587,,,
5645,Vezdaea retigera,,,36587,,,
5648,Wadeana minuta,,,36587,,,
5650,Xylographa abietina,,,36587,,,
5653,Zamenhofia coralloidea,,,36587,,,
5656,Gladiolus byzantinus,,,36587,,,
5659,Digitaria sanguinalis,,,36587,,,
5662,Riccia subbifurca,,,36587,,,
5664,Aira multiculmis,,,36587,,,
170,Anthemis cotula,,,36587,,,
172,Anthriscus caucalis,,,36587,,,
197,Arrhenatherum elatius,arrh elati,,36587,Vas_169,Arrhenatherum elatius,
200,Artemisia vulgaris,,,36587,Vas_175,Artemisia vulgaris,
202,Asperula cynanchica,aspe cynan,,36587,Vas_5472,Asperula cynanchica,
205,Asplenium billotii,,,36587,,,
208,Asplenium trichomanes,,,36587,,,
211,Astragalus alpinus,,,36587,,,
213,Astragalus glycyphyllos,,,36587,,,
217,Atriplex prostrata,atrip prost,,36587,Vas_214,Atriplex prostrata,
219,Atriplex littoralis,,,36587,,,
222,Avena fatua,,,36587,Vas_220,Avena fatua,
227,Barbarea verna,,,36587,,,
107,Acorus calamus,,,36587,Vas_15,Acorus calamus,
109,Adoxa moschatellina,,,36587,Vas_19,Adoxa moschatellina,
135,Alchemilla minima,,,36587,Vas_53,Alchemilla minima,
141,Alchemilla xanthochlora,,,36587,Vas_60,Alchemilla xanthochlora,
144,Alliaria petiolata,,,36587,Vas_64,Alliaria petiolata,
147,Allium paradoxum,,,36587,,,
149,Allium scorodoprasum,,,36587,,,
152,Allium vineale,,,36587,Vas_76,Allium vineale,
155,Alopecurus alpinus,,,36587,,,
160,Anacamptis pyramidalis,,,36587,,,
164,Anaphalis margaritacea,,,36587,,,
167,Angelica sylvestris,ange sylve,,36587,Vas_109,Angelica sylvestris,
2,Grid reference easting,,,36587,,,
26,Author,,,36587,,,
28,Sample no,,,36587,,,
29,Date - day,,,36587,,,
31,Date - year,,,36587,,,
33,Conductivity,,,36587,,,
35,"Soil organic content, % dry weight",,,36587,,,
39,"Calcium, umoles/g",,,36587,,,
42,Sulphur,,,36587,,,
43,District Council,,,36587,,,
46,NVC community number,,,36587,,,
49,NVC community number (alternative),,,36587,,,
53,Dung/urine,,,36587,,,
55,"Grid reference, northing (fourth figure)",,,36587,,,
103,Acer pseudoplatanus (c),acer pseud (c),,36587,Vas_5,Acer pseudoplatanus,(c)
5552,Thelotrema isidioides,,,36587,,,
5555,Thelotrema subtile,,,36587,,,
5577,Trapelia obtegens,,,36587,,,
5580,Trapeliopsis flexuosa,,,36587,,,
5583,Trapeliopsis glaucolepidea,,,36587,,,
5586,Trapeliopsis viridescens,,,36587,,,
5590,Tylothallia biformigera,,,36587,,,
5593,Usnea wasmuthii,,,36587,,,
5595,Usnea wirthii,,,36587,,,
5598,Verrucaria aquatilis,,,36587,,,
5604,Verrucaria caerulea,,,36587,,,
5606,Verrucaria cyanea,,,36587,,,
5609,Verrucaria dolosa,,,36587,,,
5494,Spilonema paradoxum,,,36587,,,
5522,Synalissa symphorea,,,36587,,,
5525,Tephromela aglaea,,,36587,,,
5527,Tephromela atra,,,36587,,,
