timestamp,2019-01-02 14:34:06
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,161.9
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2018-12-01,58.25902,19.8,10.4,99.5,11.6,9.7,12.7,990.0,1.0,232.0,6.7,0.03602,10.5,65.5,10.4,66.7
2018-12-02,52.91803,1.1,10.8,100.0,12.2,11.8,12.5,989.5,1.1,247.8,7.0,0.01166,11.6,65.3,11.7,66.5
2018-12-03,,1.1,9.7,98.5,10.7,5.9,12.1,993.9,1.5,271.4,6.1,0.06694,11.3,65.4,11.3,66.5
2018-12-04,,10.0,8.1,97.0,8.1,3.6,12.2,1007.1,1.2,128.4,3.9,0.14396,9.3,65.7,8.9,66.9
2018-12-05,54.11426,10.8,10.6,100.0,11.9,11.1,12.4,1000.6,0.5,224.1,5.4,-0.00178,11.1,65.5,11.0,66.8
2018-12-06,51.3494,0.9,10.3,99.4,11.5,10.7,12.1,1004.3,0.4,244.6,6.7,0.05853,11.2,65.5,11.2,66.7
2018-12-07,56.63775,12.3,7.7,82.9,9.7,7.2,11.9,997.6,-0.7,267.5,9.6,1.3657,10.3,65.6,10.2,66.7
2018-12-08,48.35965,3.6,8.3,84.5,10.6,9.4,11.9,998.6,-0.9,268.5,10.0,1.35889,9.6,65.6,9.5,67.0
2018-12-09,47.11326,1.1,7.3,78.5,9.9,7.8,10.8,1007.4,-1.2,296.8,8.7,1.7722,9.3,65.7,9.2,67.0
2018-12-10,45.14844,0.0,7.6,86.5,8.9,6.4,10.8,1017.7,-0.8,256.3,2.1,0.55972,8.5,65.9,8.4,67.1
2018-12-11,47.36653,10.9,8.1,86.8,9.9,8.9,10.6,1009.1,0.5,162.0,4.7,0.90485,9.2,65.7,9.2,67.1
2018-12-12,54.70571,0.7,7.8,90.3,8.8,6.4,10.3,1002.8,0.8,182.9,3.8,0.59467,8.9,65.9,8.9,67.1
2018-12-13,59.21243,6.9,6.8,87.7,7.0,6.2,7.7,997.5,-0.4,116.5,8.7,0.84998,8.1,65.9,8.1,67.2
2018-12-14,53.30408,4.9,6.6,85.0,7.0,6.1,9.0,1005.4,0.1,133.2,6.4,0.92811,7.4,66.1,7.3,67.4
2018-12-15,58.50693,27.3,9.0,91.3,10.6,8.6,12.8,992.7,-0.9,209.7,8.1,0.65529,9.2,65.8,9.1,67.2
2018-12-16,56.52167,5.3,7.1,82.1,8.7,7.1,9.7,994.3,-2.9,248.7,5.6,1.16443,8.1,66.0,8.0,67.2
2018-12-17,48.76604,0.2,8.4,87.2,10.4,8.7,11.6,1003.1,-1.4,212.6,6.2,0.93308,8.2,65.9,8.1,67.3
2018-12-18,55.45081,9.3,8.3,89.0,9.9,7.6,11.7,991.1,-1.6,198.4,7.6,0.85832,9.2,65.8,9.2,67.2
2018-12-19,,5.5,7.0,82.7,8.5,7.0,9.8,992.4,-1.6,249.6,6.0,1.16941,8.0,65.9,8.0,67.2
2018-12-20,57.39714,7.6,8.3,88.4,9.9,8.2,11.5,995.8,0.1,248.1,7.0,0.86937,8.3,66.0,8.3,67.2
2018-12-21,53.16344,3.2,9.3,91.9,11.2,10.7,12.1,994.9,0.6,258.3,7.9,0.69777,9.9,65.7,9.9,67.0
2018-12-22,48.71375,2.4,9.2,94.5,10.6,9.3,11.1,1007.5,-0.6,248.1,4.9,0.38362,9.9,65.7,9.9,67.0
2018-12-23,52.10987,13.5,10.4,100.0,11.6,10.8,12.0,1007.7,0.7,248.7,6.7,0.00485,10.7,65.6,10.6,67.1
2018-12-24,48.27737,3.2,10.1,100.0,11.1,10.5,11.4,1017.2,1.1,161.5,2.4,0.02308,11.1,65.5,11.1,67.0
2018-12-25,48.19881,0.0,9.6,99.4,10.4,9.5,10.8,1020.1,0.3,149.7,2.2,0.04078,10.8,65.5,10.7,67.1
2018-12-26,49.56316,0.0,7.9,92.1,8.5,5.8,10.4,1017.0,-1.0,114.3,2.5,0.35077,9.9,65.7,9.9,67.1
2018-12-27,49.55732,0.0,7.2,94.6,6.7,4.5,10.2,1014.7,-0.7,74.6,1.6,0.19787,7.9,66.1,7.7,67.4
2018-12-28,48.85639,0.0,7.9,91.3,8.7,4.8,10.6,1020.6,0.5,240.6,1.1,0.2557,7.5,66.0,7.5,67.5
2018-12-29,52.17107,0.1,9.2,98.1,10.0,9.3,10.5,1024.1,0.9,268.6,3.9,0.13096,9.1,65.8,9.1,67.3
2018-12-30,46.3261,0.2,8.6,93.7,9.7,9.0,10.3,1025.6,0.9,263.1,2.2,0.31583,9.5,65.8,9.5,67.3
2018-12-31,45.59739,0.0,7.5,83.9,9.2,8.4,10.2,1026.0,0.2,278.3,1.5,0.58027,9.4,65.0,9.4,56.1
