timestamp,2020-03-02 15:18:58
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,140.5
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2020-02-01,52.31496,7.9,8.4,90.6,9.8,8.6,11.0,998.3,2.4,242.9,5.7,0.71027,9.1,66.0,9.0,59.3
2020-02-02,53.1065,3.9,9.6,96.9,10.9,10.4,11.5,1000.2,0.8,245.9,6.8,0.24588,9.6,65.8,9.5,59.4
2020-02-03,49.6683,6.3,7.9,91.7,8.6,6.3,10.5,1007.6,-1.1,280.8,5.3,0.46541,9.2,65.9,9.2,59.6
2020-02-04,45.33119,0.6,6.0,77.2,7.1,4.4,9.3,1020.2,0.9,300.3,5.5,1.41607,7.3,66.3,7.3,60.1
2020-02-05,48.66974,0.0,6.0,81.2,6.5,3.2,8.9,1026.2,2.1,112.8,2.0,0.73481,6.5,66.4,6.5,60.6
2020-02-06,49.98303,0.0,6.5,81.2,7.4,6.3,8.8,1016.9,1.0,112.9,5.6,1.18571,6.9,66.3,6.9,60.6
2020-02-07,50.40862,1.9,7.8,87.3,8.9,6.7,11.0,1003.5,-1.0,181.1,6.1,0.78985,6.9,66.3,6.9,60.5
2020-02-08,54.0134,0.1,7.0,78.3,9.2,7.2,10.8,1003.3,1.9,232.9,7.6,1.65846,7.5,66.2,7.5,60.3
2020-02-09,60.69698,4.5,9.2,92.6,10.7,8.5,12.3,987.4,0.3,240.7,12.2,0.64602,8.9,66.0,8.9,60.0
2020-02-10,50.16033,4.4,6.3,79.3,7.4,4.8,10.0,995.4,0.7,276.6,11.3,1.56388,7.8,66.1,7.7,60.2
2020-02-11,51.31407,3.7,5.3,74.4,5.8,3.9,8.1,1004.8,1.6,285.2,9.2,1.71478,6.1,66.5,6.1,61.1
2020-02-12,53.03051,6.9,6.6,85.5,7.0,4.2,8.5,1004.4,1.4,248.2,5.5,0.87351,6.2,66.4,6.2,61.2
2020-02-13,54.65712,5.7,7.4,84.5,8.8,6.8,10.8,991.0,3.0,275.1,9.2,1.2405,7.5,66.3,7.4,60.6
2020-02-14,52.78502,7.7,8.9,95.7,9.7,7.6,11.0,1005.1,0.1,224.0,5.9,0.28124,7.9,66.1,7.9,61.2
2020-02-15,55.45933,14.9,10.0,98.2,11.2,9.4,11.9,992.4,0.5,213.1,10.0,0.15379,9.4,66.0,9.3,60.3
2020-02-16,59.0559,13.0,7.5,84.3,8.8,7.0,12.0,988.1,0.1,249.7,10.3,1.17259,9.2,65.9,9.2,60.3
2020-02-17,50.27334,2.2,6.2,78.3,7.4,6.0,8.8,1003.7,1.5,268.0,8.9,1.5706,7.4,66.2,7.3,61.1
2020-02-18,54.61102,2.7,6.9,83.5,8.0,6.3,10.0,1012.2,2.8,269.5,8.0,1.20169,7.3,66.3,7.3,61.3
