timestamp,2021-04-01 15:26:08
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,35.7
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
2021-03-01,56.5,0.0,7.4,92.5,7.5,6.6,8.7,1017.2,2.3,93.6,6.3,0.7,7.2,37.7,7.2,44.2,,0.148
2021-03-02,55.4,4.1,7.9,99.0,7.4,7.0,7.8,1015.9,2.7,89.4,6.0,0.4,7.5,38.2,7.5,44.1,,0.14
2021-03-03,58.8,0.0,8.9,97.9,9.5,8.0,11.7,1014.8,6.2,106.6,2.4,1.0,8.9,61.8,8.9,55.1,,0.124
2021-03-04,54.5,0.0,7.7,98.2,7.2,6.0,8.1,1014.9,1.2,2.0,2.2,0.3,8.8,57.6,8.8,53.1,,0.116
2021-03-05,55.1,0.0,5.2,74.7,5.5,4.8,6.7,1020.0,4.3,87.0,4.9,1.5,7.5,40.2,7.4,46.0,,0.143
2021-03-06,53.6,0.0,4.6,74.2,3.6,0.0,6.5,1021.7,3.0,50.4,3.6,1.3,6.2,36.9,6.2,43.3,,0.142
2021-03-07,55.8,0.0,4.3,77.0,2.2,-1.6,6.0,1017.4,4.5,44.3,2.3,1.4,5.1,36.5,5.0,42.8,,0.15
2021-03-08,54.5,0.0,4.6,77.5,3.1,-1.8,6.9,1014.7,2.6,18.5,1.7,1.1,5.3,36.2,5.1,42.6,,0.144
2021-03-09,53.1,0.0,5.9,80.6,6.1,2.2,8.5,1010.3,4.1,214.8,4.1,1.4,5.2,36.2,5.1,42.4,,0.148
2021-03-10,62.1,14.5,9.2,98.4,9.9,8.4,11.1,995.2,1.8,220.1,8.6,0.2,7.5,58.3,7.5,56.0,,0.09
2021-03-11,55.4,3.0,6.9,82.2,8.2,5.9,10.5,993.1,4.2,272.0,10.0,1.5,7.9,64.1,7.8,60.2,,0.121
2021-03-12,62.5,8.0,7.4,87.9,8.3,6.2,10.3,994.7,5.4,259.8,9.1,1.2,7.4,64.4,7.4,60.9,,0.113
2021-03-13,56.6,1.5,5.9,78.6,6.5,4.7,8.2,994.1,4.7,289.7,9.0,1.7,7.1,64.8,7.0,61.1,,0.118
2021-03-14,57.4,0.0,6.9,81.2,8.4,5.7,10.3,1010.6,6.7,298.1,6.2,1.7,6.9,62.9,6.8,61.5,,0.125
2021-03-15,54.2,0.0,8.8,94.2,10.0,7.8,12.9,1016.1,7.7,302.7,4.9,1.3,8.6,51.5,8.7,54.3,,0.131
2021-03-16,49.7,0.0,8.8,93.1,10.0,7.4,13.9,1022.0,7.4,326.3,4.3,1.3,9.8,41.7,9.9,46.4,,0.137
2021-03-17,46.7,0.0,6.7,81.1,8.4,4.2,14.0,1024.6,5.1,358.3,3.6,1.9,8.8,37.7,8.8,43.9,,0.143
2021-03-18,53.2,0.0,7.2,88.5,8.0,3.1,12.3,1021.1,6.8,13.8,4.3,1.7,8.4,36.9,8.4,43.2,,0.142
2021-03-19,58.1,0.0,7.9,90.2,8.9,5.6,11.6,1018.5,2.3,33.8,3.6,0.8,9.0,36.5,9.0,42.8,,0.136
2021-03-20,51.6,0.0,7.5,92.5,7.7,4.8,9.7,1022.7,1.3,344.6,1.9,0.6,8.4,36.2,8.4,42.5,,0.131
2021-03-21,56.1,0.0,7.6,87.8,8.8,5.0,11.3,1019.7,2.6,6.1,2.8,0.9,8.7,36.1,8.7,42.4,,0.136
