timestamp,2020-07-01 13:05:28
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,82.2
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%,mm,Unitless
2020-06-01,33.9,0.0,8.9,66.9,16.2,11.2,21.0,1010.6,17.2,63.8,4.1,5.0,17.5,27.3,17.7,34.0,,0.137
2020-06-02,35.1,0.0,9.5,63.8,17.8,11.4,23.0,1008.3,17.0,6.4,2.9,5.2,18.6,26.8,18.8,33.1,,0.136
2020-06-03,35.4,0.1,10.6,87.3,14.1,12.3,15.4,998.7,6.5,354.0,5.0,1.7,17.3,26.5,17.3,32.4,,0.136
2020-06-04,31.7,0.0,8.8,81.2,12.4,9.8,14.0,996.4,9.9,331.3,5.1,2.5,16.0,26.3,16.0,32.1,,0.143
2020-06-05,32.8,0.0,8.9,80.5,12.6,8.1,15.4,992.4,9.0,311.4,5.5,2.5,15.6,26.2,15.6,31.6,,0.144
2020-06-06,33.0,0.5,7.7,78.2,10.8,7.3,12.8,995.5,8.1,307.7,6.0,2.3,14.1,26.1,14.1,31.3,,0.143
2020-06-07,34.0,1.4,9.0,87.8,11.5,8.2,13.9,1001.2,8.3,336.5,3.3,2.0,14.3,26.0,14.3,31.1,,0.138
2020-06-08,34.6,0.0,9.2,87.1,12.0,6.5,15.6,1008.5,13.7,11.4,2.5,3.0,15.0,25.8,15.1,30.8,,0.139
2020-06-09,32.2,0.0,8.8,83.8,12.0,7.3,16.0,1010.3,10.4,306.4,2.6,2.6,15.2,25.5,15.2,30.4,,0.139
2020-06-10,33.8,34.2,10.1,92.8,12.3,10.1,14.5,1003.2,6.2,261.3,3.7,1.3,14.5,34.2,14.8,37.8,,0.14
2020-06-11,49.5,10.2,10.0,88.3,13.0,10.0,16.7,995.3,9.6,68.5,7.2,2.1,13.1,52.0,13.3,54.5,,0.117
2020-06-12,46.3,24.8,10.8,94.2,13.1,11.4,16.1,991.6,3.6,55.9,4.5,0.9,13.9,44.0,13.9,46.5,,0.122
2020-06-13,51.3,0.7,10.8,94.0,13.2,11.3,15.3,994.6,12.3,91.5,3.7,2.1,14.3,47.1,14.3,50.4,,0.125
2020-06-14,46.6,1.3,11.1,93.4,13.8,11.5,16.5,1001.8,13.7,193.3,2.7,2.6,15.6,32.7,15.7,38.4,,0.135
2020-06-15,46.3,1.4,11.1,95.0,13.6,10.9,15.5,1005.0,9.1,122.1,3.3,1.8,15.6,31.8,15.7,38.0,,0.142
2020-06-16,48.0,5.5,11.5,92.7,14.5,12.6,17.3,1003.1,10.9,76.3,2.0,2.3,16.0,34.0,16.2,39.8,,0.126
2020-06-17,45.3,0.0,11.4,91.8,14.5,12.3,18.2,1002.3,8.6,333.7,2.6,2.0,16.2,32.0,16.3,38.4,,0.133
2020-06-18,47.9,0.0,11.4,94.7,14.0,12.7,16.1,1000.8,5.3,302.3,3.3,1.2,15.9,31.7,16.0,38.2,,0.136
2020-06-19,46.3,2.1,10.6,89.5,13.8,12.3,16.0,1004.7,12.4,243.8,4.8,2.5,15.7,31.4,15.8,38.2,,0.14
2020-06-20,,,,,,,,,,,,,,,,,,0.136
2020-06-21,,,,,,,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,,,,,,,
2020-06-23,,,,,,,,,,,,,,,,,,
2020-06-24,,,,,,,,,,,,,,,,,,
2020-06-25,,,,,,,,,,,,,,,,,,
2020-06-26,,,,,,,,,,,,,,,,,,
2020-06-27,,,,,,,,,,,,,,,,,,
2020-06-28,,,,,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,,,,,,
