timestamp,2019-09-02 15:19:19
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,88.6
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-08-01,35.19504,0.0,11.9,86.8,16.4,11.1,20.3,1007.1,14.0,174.3,2.1,1.41495,18.6,28.3,18.6,35.9
2019-08-02,33.34439,0.0,12.6,85.5,17.5,12.7,21.4,1007.6,15.1,116.5,1.8,1.53189,19.6,27.7,19.7,35.4
2019-08-03,34.55678,0.1,13.8,95.0,17.1,14.5,19.6,1004.8,7.5,138.6,2.5,0.64773,19.7,27.3,19.8,34.9
2019-08-04,33.90763,2.8,13.7,93.2,17.4,15.4,19.7,1000.9,11.6,219.3,4.2,1.03163,19.4,27.1,19.4,34.7
2019-08-05,34.97939,0.9,12.9,90.4,16.8,13.6,19.7,999.4,13.6,248.7,4.6,1.32424,19.1,27.0,19.2,34.6
2019-08-06,37.29844,7.0,12.9,91.0,16.7,15.2,18.9,997.0,12.0,243.2,5.3,1.2548,18.6,32.2,18.7,37.9
2019-08-07,36.07922,0.0,12.5,88.6,16.7,14.1,19.2,997.4,15.7,250.2,4.0,1.54817,18.9,28.5,19.0,35.8
2019-08-08,41.11419,11.9,13.9,99.7,16.4,12.7,18.1,994.5,3.4,119.8,4.3,0.13553,18.1,33.9,18.2,36.5
2019-08-09,46.29714,8.1,14.2,95.1,17.5,15.5,19.4,984.3,10.4,204.8,8.2,0.7898,18.4,46.6,18.5,50.9
2019-08-10,39.68375,0.2,12.2,86.6,16.6,15.0,18.4,995.7,15.0,245.8,8.6,1.92126,18.0,31.2,18.1,37.7
2019-08-11,38.65653,0.3,11.9,88.5,15.8,11.2,18.4,1001.5,15.2,261.3,4.6,1.46742,18.2,29.7,18.2,36.9
2019-08-12,37.51971,0.9,10.2,83.1,14.5,11.3,18.2,1006.1,12.9,297.3,3.8,1.81254,17.7,29.2,17.6,36.7
2019-08-13,36.74068,2.2,11.7,91.0,15.1,13.0,17.6,1007.3,10.8,250.6,3.2,1.02199,17.7,29.0,17.8,36.6
2019-08-14,41.46099,5.1,13.3,97.9,16.0,14.4,17.3,1000.4,4.9,244.4,6.2,0.32306,17.5,30.3,17.6,37.1
2019-08-15,40.81957,0.5,12.9,90.8,16.8,15.2,19.8,1005.5,13.1,268.4,5.3,1.32239,17.9,29.7,17.8,36.9
2019-08-16,45.62021,26.2,13.4,98.2,16.0,14.8,16.8,997.8,0.9,219.1,6.2,0.22211,17.2,50.1,17.3,51.1
2019-08-17,46.56487,0.1,12.4,91.9,15.9,14.4,18.3,994.8,12.5,245.3,4.6,1.10397,17.4,47.1,17.3,49.9
2019-08-18,44.111,1.7,11.2,85.8,15.4,13.0,17.7,996.6,13.7,266.3,5.6,1.77464,17.4,32.2,17.3,38.6
2019-08-19,40.46247,0.0,10.7,82.1,15.4,12.3,18.0,1005.8,13.2,273.2,5.0,2.06509,17.2,30.6,17.2,37.6
2019-08-20,37.54469,0.0,10.5,85.7,14.4,10.9,17.9,1013.6,12.5,260.1,2.8,1.43471,17.0,30.0,17.0,37.3
2019-08-21,40.32572,0.0,10.9,88.5,14.6,11.8,17.9,1014.9,10.3,211.9,2.7,1.15116,17.0,29.6,17.2,37.0
2019-08-22,35.80973,0.1,12.4,92.5,15.9,13.1,18.5,1014.0,9.3,224.9,2.9,0.87206,17.3,29.3,17.4,36.9
2019-08-23,37.60845,0.0,12.3,91.8,15.9,11.6,19.6,1010.9,13.5,97.9,3.5,1.11148,17.7,29.0,17.7,36.7
2019-08-24,36.45103,0.1,13.4,89.9,17.6,14.3,21.1,1004.7,12.2,155.1,3.3,1.47424,18.4,28.7,18.4,36.5
2019-08-25,39.21047,0.0,13.4,91.7,17.3,13.8,21.7,1006.8,12.5,236.3,2.0,1.17384,19.3,28.4,19.3,36.4
2019-08-26,37.69065,0.5,13.0,93.9,16.4,13.7,20.3,1007.0,6.9,226.5,2.2,0.68495,19.0,28.2,19.1,36.3
2019-08-27,38.28686,0.2,12.0,91.2,15.5,12.1,18.7,1004.4,6.8,248.1,2.4,0.85848,18.2,28.1,18.2,36.1
2019-08-28,42.34272,17.6,11.7,92.6,14.7,11.4,17.0,1003.5,5.1,249.7,3.3,0.7146,17.2,41.6,17.4,47.6
2019-08-29,42.84609,0.0,11.6,86.9,15.7,11.8,18.9,1009.2,11.2,244.3,3.8,1.46397,16.7,31.7,16.8,38.3
2019-08-30,42.36632,0.0,12.6,89.6,16.6,14.6,19.0,1008.5,10.0,224.1,4.4,1.29039,17.5,30.3,17.6,37.5
2019-08-31,43.85456,2.1,10.9,83.2,15.4,12.2,17.8,1002.7,8.9,273.9,4.9,1.82624,17.2,30.0,17.2,37.4
