timestamp,2020-08-03 16:42:50
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,39.0
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%,mm,Unitless
2020-07-01,47.89866,1.5,11.4,91.6,14.6,13.1,17.0,997.7,14.1,261.7,4.7,2.7,16.5,33.6,16.6,39.8,,0.131
2020-07-02,43.99027,0.3,10.7,87.6,14.2,11.3,16.8,1004.7,11.6,280.5,4.6,2.6,16.4,32.6,16.4,39.1,,0.144
2020-07-03,50.94639,7.5,11.2,91.3,14.4,12.2,16.3,1006.6,9.3,237.8,6.6,1.9,16.0,33.2,16.0,41.3,,0.147
2020-07-04,55.35658,1.6,12.7,99.9,14.9,14.6,15.3,1003.5,5.9,248.6,6.8,0.8,15.9,57.8,16.0,62.0,,0.114
2020-07-05,51.15824,0.7,10.4,83.1,14.7,12.4,16.6,1006.8,18.7,278.3,7.5,3.7,16.4,49.5,16.4,51.9,,0.13
2020-07-06,45.95413,0.2,9.2,78.0,13.8,9.8,16.7,1014.0,15.6,311.5,4.7,3.8,16.1,33.9,16.1,39.8,,0.138
2020-07-07,45.65236,0.3,10.5,89.4,13.6,9.2,16.7,1011.8,16.5,268.7,4.6,3.2,16.3,33.1,16.4,39.3,,0.141
2020-07-08,50.92174,0.3,12.4,99.3,14.6,13.6,16.2,1007.3,8.2,260.5,5.6,1.3,16.5,32.8,16.5,39.1,,0.142
