timestamp,2017-09-01 15:06:03
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,71.3
parameter-id,COSMOS_VWC_1DAY_WTMN,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS probe VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2017-08-01,51.24417,0.6,11.1,84.1,15.6,12.1,18.2,1003.0,14.2,215.0,3.6,1.73817,17.6,34.6,17.9,36.9
2017-08-02,59.6314,17.1,13.0,95.0,16.0,14.0,17.3,996.5,3.3,208.1,6.6,0.59833,17.2,58.3,17.2,58.9
2017-08-03,58.78551,0.1,11.5,85.4,15.9,14.3,18.0,998.0,16.0,244.5,6.7,1.98815,17.3,62.9,17.4,62.6
2017-08-04,54.57127,2.7,11.1,84.9,15.4,11.8,18.0,1002.7,18.3,272.6,4.2,1.88315,17.9,54.5,18.0,50.0
2017-08-05,48.04144,0.4,9.6,78.9,14.3,10.4,17.8,1009.2,16.0,290.4,3.9,2.28156,17.4,39.6,17.5,38.1
2017-08-06,49.97615,0.4,10.3,81.7,14.8,10.4,17.7,1011.8,13.8,254.5,3.6,1.90478,17.0,33.7,17.3,36.5
2017-08-07,45.81429,1.3,11.0,86.9,14.9,12.5,17.4,1006.4,8.5,271.1,2.8,1.24001,17.5,33.4,17.7,36.5
2017-08-08,49.2997,4.9,9.5,83.5,13.2,10.3,16.8,1002.9,9.4,309.2,3.1,1.43716,16.7,36.6,16.8,37.0
