timestamp,2019-12-02 15:06:29
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,161.3
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN
parameter-name,COSMOS sensor VWC (capped at saturation),Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%
2019-11-01,61.32163,2.6,11.4,98.9,13.3,11.7,14.3,986.2,1.2,241.1,6.7,0.09917,12.9,64.4,12.9,63.2
2019-11-02,61.2028,12.6,8.5,88.6,10.2,7.5,11.5,971.7,0.0,264.9,9.9,0.99068,11.4,64.7,11.5,63.4
2019-11-03,61.57505,3.2,9.0,91.8,10.7,6.8,12.0,973.0,0.8,284.3,6.8,0.65312,10.7,64.9,10.7,63.7
2019-11-04,58.72002,7.2,8.2,90.5,9.5,7.7,10.8,971.8,0.4,266.4,6.1,0.71405,10.3,64.9,10.3,63.6
2019-11-05,54.05621,0.9,8.7,92.2,10.1,8.7,12.0,990.1,0.8,332.3,4.8,0.55494,9.9,65.0,9.9,64.0
2019-11-06,56.54284,9.2,8.1,93.9,8.7,6.4,10.5,991.7,1.8,283.0,3.5,0.36705,10.0,65.0,10.0,63.9
2019-11-07,58.74959,5.6,6.5,86.2,6.6,3.5,9.5,983.4,1.8,207.1,4.2,0.79051,8.7,65.3,8.8,64.2
2019-11-08,57.15161,0.5,6.6,85.9,7.0,3.4,9.5,997.5,-0.3,129.2,2.9,0.65146,7.9,65.4,7.9,64.4
2019-11-09,59.51219,7.9,7.0,83.3,8.3,6.2,9.8,995.1,0.9,270.8,5.9,1.12276,7.9,65.5,7.8,64.4
2019-11-10,58.20384,2.2,6.8,83.4,7.8,5.7,9.6,1000.1,2.3,167.0,4.6,1.02475,8.0,65.5,7.9,64.5
2019-11-11,58.9311,4.4,6.5,77.7,8.3,6.0,10.1,996.7,0.9,299.1,6.6,1.56446,8.1,65.5,8.0,64.5
2019-11-12,57.92698,0.7,5.9,74.7,7.2,5.6,9.2,994.7,0.2,309.6,5.5,1.56344,7.3,65.7,7.2,64.7
2019-11-13,60.01249,11.5,6.2,85.4,6.1,4.0,9.2,986.4,-1.3,281.0,4.5,0.75472,6.7,65.7,6.7,64.9
2019-11-14,52.26107,4.9,6.5,91.7,5.6,4.0,7.0,984.3,0.2,130.2,5.4,0.46292,6.5,65.7,6.5,64.8
2019-11-15,54.82308,0.0,6.3,86.7,6.1,3.5,8.4,995.4,-0.6,82.8,4.7,0.718,6.3,65.9,6.2,65.0
2019-11-16,57.27239,2.4,7.3,90.0,7.8,6.7,9.2,996.0,1.7,164.7,2.6,0.4799,7.3,65.7,7.2,64.8
2019-11-17,,0.2,7.3,93.2,7.2,5.6,9.5,1000.2,0.7,168.2,2.5,0.31598,7.6,65.6,7.6,64.9
2019-11-18,,0.0,6.7,88.6,6.7,3.7,9.5,1005.9,0.5,90.4,2.0,0.44597,7.0,65.8,7.0,64.9
