timestamp,2020-11-02 11:37:02
site-id,LIZRD
site-name,The Lizard
PRECIPITATION_LEVEL2_TOTAL,Total precipitation,mm,92.3
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Degrees Celsius,Degrees Celsius,Degrees Celsius,hPa,MJday-1,Degrees Celsius,ms-1,mm,Degrees Celsius,%,Degrees Celsius,%,mm,Unitless
2020-10-01,55.3,2.9,8.0,85.7,9.9,7.3,13.0,986.2,4.3,285.9,3.2,1.4,12.5,62.0,12.3,60.1,,0.125
2020-10-02,54.7,7.8,8.9,88.4,11.0,7.4,13.1,976.8,4.6,3.7,7.0,1.3,12.0,62.3,11.9,60.6,,0.121
2020-10-03,55.2,0.0,8.2,77.4,11.9,10.1,13.1,982.8,3.5,328.4,7.2,1.9,12.2,62.4,12.1,60.6,,0.125
2020-10-04,55.0,5.4,8.2,84.5,10.6,9.4,12.3,980.5,1.8,304.8,7.3,1.2,11.3,62.6,11.2,61.0,,0.121
2020-10-05,60.1,3.3,9.9,89.4,12.6,11.7,13.9,990.3,3.5,286.2,7.4,1.1,12.1,62.8,12.1,61.1,,0.122
2020-10-06,58.0,1.1,9.5,84.4,12.8,11.4,14.3,995.0,4.4,286.2,8.5,1.6,12.4,63.0,12.4,61.1,,0.126
2020-10-07,55.3,2.0,10.4,90.7,13.1,10.5,14.8,1004.8,3.8,259.3,4.8,1.1,12.6,62.9,12.6,61.2,,0.121
2020-10-08,52.1,0.3,10.0,86.5,13.2,8.5,15.1,1005.5,4.5,295.9,5.1,1.3,13.8,62.8,13.8,61.2,,0.117
2020-10-09,53.4,0.0,8.1,82.3,10.7,7.6,14.6,1012.4,4.0,300.9,3.8,1.7,12.2,57.8,12.1,57.0,,0.132
2020-10-10,53.3,0.8,7.5,77.6,10.5,6.9,13.3,1017.8,3.9,314.5,3.9,1.7,11.2,38.8,11.1,44.6,,0.134
2020-10-11,52.6,0.4,7.9,81.4,10.5,6.4,13.4,1018.5,4.6,333.0,3.1,1.7,11.7,37.4,11.6,43.3,,0.138
2020-10-12,60.4,5.4,9.1,89.7,11.1,7.3,14.0,1009.9,2.3,286.4,4.3,0.8,11.5,55.3,11.2,55.6,,0.109
2020-10-13,54.6,3.8,7.8,82.3,10.2,8.1,11.7,1003.9,2.9,335.9,4.5,1.4,11.1,64.3,10.9,62.2,,0.125
2020-10-14,52.5,0.0,7.5,79.7,10.2,7.4,13.9,1009.7,3.1,43.6,4.3,1.6,10.6,64.6,10.5,62.6,,0.135
2020-10-15,54.2,0.0,7.0,80.0,9.0,5.7,13.0,1014.9,4.5,49.2,2.8,1.7,10.1,55.4,10.0,55.4,,0.138
2020-10-16,56.8,0.0,7.2,81.1,9.2,5.9,12.4,1013.0,2.2,89.2,3.1,1.2,10.1,38.9,10.1,44.7,,0.137
2020-10-17,57.5,0.7,8.0,80.6,10.8,9.0,12.7,1010.0,1.5,123.0,3.0,1.0,10.3,37.7,10.3,43.6,,0.129
2020-10-18,52.0,0.0,7.7,78.0,10.9,8.1,13.4,1011.6,2.6,140.4,2.5,1.3,10.2,36.6,10.1,42.7,,0.137
2020-10-19,52.5,1.8,9.2,82.5,12.6,10.7,13.9,997.9,1.1,148.5,6.3,1.2,10.7,36.7,10.7,42.7,,0.127
2020-10-20,54.7,0.4,11.0,91.5,14.0,13.4,15.2,985.9,2.3,187.7,6.3,0.8,12.2,45.1,12.2,45.4,,0.128
2020-10-21,52.5,8.6,10.8,95.1,13.0,11.5,14.0,987.1,0.5,207.4,3.4,0.4,12.6,59.4,12.6,58.7,,0.095
2020-10-22,60.0,4.1,9.7,93.1,11.6,9.9,13.0,998.1,2.1,240.2,1.8,0.7,12.2,63.5,12.1,62.6,,0.111
2020-10-23,55.8,1.3,8.5,83.4,11.4,10.1,13.4,998.8,3.2,259.3,4.0,1.4,12.0,63.9,12.0,62.9,,0.122
2020-10-24,61.2,12.8,9.5,89.9,11.8,9.4,13.6,989.4,-0.9,226.9,6.6,0.6,11.6,64.1,11.6,63.1,,0.112
2020-10-25,59.1,3.7,7.5,79.9,10.1,8.7,11.6,985.8,0.8,243.9,6.0,1.4,10.4,64.5,10.5,63.5,,0.136
2020-10-26,55.2,1.3,8.1,80.8,11.0,9.6,12.9,991.8,2.3,284.5,6.9,1.5,10.4,64.7,10.4,63.6,,0.129
2020-10-27,60.5,7.9,8.8,84.4,11.6,9.2,13.7,988.6,3.9,245.8,7.0,1.5,11.1,64.6,11.0,63.8,,0.122
2020-10-28,59.7,2.3,8.1,81.2,11.0,8.9,12.6,994.6,0.7,257.4,7.4,1.4,10.5,64.7,10.5,63.9,,0.117
2020-10-29,58.6,1.5,10.6,92.3,13.2,11.6,14.2,1003.1,1.7,229.8,7.5,0.6,11.4,64.5,11.4,63.9,,0.111
2020-10-30,55.1,5.4,11.2,95.4,13.6,13.3,13.9,1005.5,1.0,213.6,7.7,0.4,12.5,64.3,12.4,63.8,,0.088
2020-10-31,61.5,7.3,9.1,82.7,12.5,10.8,14.3,999.1,3.4,221.5,7.9,1.6,12.5,64.4,12.4,63.6,,0.129
