wrong_name,right_name
Dactylorhiza,Dactylorhiza [spp]
Dactylorhiza maculata subsp. ericetorum,Dactylorhiza maculata
Dactylorhiza majalis subsp. praetermissa,Dactylorhiza majalis praetermissa
Dactylorhiza praetermissa,Dactylorhiza majalis praetermissa
Dactylorhiza sp,Dactylorhiza [spp]
Dactylorhiza sp.,Dactylorhiza [spp]
Dead Betula sp.,Betula seedling/sp
Dead Calluna,
Deschampsia cespitosa cespitosa,Deschampsia cespitosa
Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa
Deschampsia cespitosa subsp. Cespitosa,Deschampsia cespitosa
Dicranella,Dicranella [spp]
Dicranum,Dicranum [spp]
Dicranum sp,Dicranum [spp]
Dioscorea communis,Tamus communis
Ditrichum flexicaule s.l.,Ditrichum flexicaule sens.lat.
Ditrichum gracile,Ditrichum [spp]
Ditrichum heteromallum,Ditrichum [spp]
Drepanocladus,Drepanocladus [spp]
Drepanocladus cossonii,Drepanocladus [spp]
Dryopteris,Dryopteris [spp]
Dryopteris borreri,Dryopteris [spp]
Dryopteris dilitata,Dryopteris dilatata
Dryopteris diltata (dead),Dryopteris dilatata
Dryopteris sp.,Dryopteris [spp]
Dryopteris-felix mas,Dryopteris filix-mas
Eleocharis sp.,Eleocharis [spp]
Empetrum nigrum subsp. nigrum,Empetrum nigrum subsp.nigrum
Empetrum nigrum subsp. nigrum subsp. nigrum,Empetrum nigrum subsp.nigrum
Epilobium,Epilobium [spp]
Epilobium angustifolium,Epilobium [spp]
Epilobium sp,Epilobium [spp]
Epilobium sp.,Epilobium [spp]
Epilobium tetragonum subsp. tetragonum,Epilobium tetragonum tetragonum
Epipactis,
Epipactis dunensis,
Equisetum,Equisetum [spp]
Equisetum sp.,Equisetum [spp]
Erica tetralix (dead),Erica tetralix
Erodium ciconium,Erodium [spp]
Erodium cicutarium,Erodium cicutarium agg.
Erophila verna s.l.,Erophila verna sens.lat.
Euphorbia,Euphorbia agg.
Euphorbia amygdaloides subsp. amygdaloides,Euphorbia amygdaloides
Euphrasia,Euphrasia officinalis agg.
Euphrasia officinalis agg,Euphrasia officinalis agg.
Euphrasia sp,
Eurhynchium,Eurhynchium [spp]
Evernia prunastri,
Festuca,Festuca [spp]
Festuca ovina,Festuca ovina agg.
Festuca rubra,Festuca rubra agg.
Festuca sp.,Festuca [spp]
Filamentous algae,
Fissidens,Fissidens [spp]
Fissidens dubius,Fissidens [spp]
Fissidens sp,Fissidens [spp]
Fraxinus excelsior (s.),Fraxinus excelsior (s)
Frullania,
Frullania dilatata,
Fungus,
Galeopsis tetrahit,Galeopsis tetrahit agg.
Galeopsis tetrahit ss.,Galeopsis tetrahit agg.
Galium,Galium [spp]
Galium mollugo subsp. erectum,Galium mollugo subsp.erectum
Galium sp.,Galium [spp]
Gentianella,Gentianella [spp]
Gentianella amarella septentrionalis,Gentianella amarella subsp.septentrionalis
Gentianella amarella subsp. septentrionalis,Gentianella amarella subsp.septentrionalis
Geranium,Geranium [spp]
Geranium collumbinum,Geranium columbinum
Geranium sanguinium,Geranium sanguineum
Geum sp,Geum [spp]
Gymnadenia borealis,
Hedera hibernica,
Helictotrichon,
Herniaria ciliata,Herniaria ciliolata
Hieracium,
Hieracium sp,Hieracium 'indeterminate'
Hieracum agg,Hieracium 'indeterminate'
Homalothecium albicans,Homalothecium [spp]
Hyacinthoides nonscripta,Hyacinthoides non-scripta
Hyacinthoides sp.,
Hylocomnium splendens,Hylocomium splendens
Hypericum,Hypericum [spp]
Hypnum,Hypnum [spp]
Hypnum cupressiforme,Hypnum cupressiforme sens.lat.
Hypnum cupressiforme var cupressiforme,Hypnum [spp]
Hypnum cupressiforme var lacunosum,Hypnum cupressiforme var. lacunosum
Hypnum cupressiforme var. cupressiforme,Hypnum [spp]
Hypnum imponens,Hypnum [spp]
Hypnum lacunosum,Hypnum [spp]
Hypnum lacunosum var. lacunosum,Hypnum [spp]
Hypnum lancunosum,Hypnum [spp]
Hypnum sp,Hypnum [spp]
Hypochaeris,
Hypochoeris radicata,Hypochaeris radicata
Hypotrachyna revoluta,
Inula conyza,Inula conyzae
Isothecium alopecuroides,
Juncus bufonius,Juncus bufonius/bulbosus
Juncus bufonius ss.,Juncus [spp]
Juncus Effusus,Juncus effusus
Juncus sp.,Juncus [spp]
Jungermannia,
Juniperus communis subsp. communis,Juniperus communis subsp.communis
Juniperus communis subsp. hemisphaerica,
Kindbergia praelonga,Eurhynchium praelongum
Koelaria macrantha,Koeleria macrantha
Krantia arvensis,Knautia arvensis
Kurzia,
Lamiastrum galeobdolon ssp. montanum,
Lamium galeobdolon subsp. montanum,Lamium [spp]
Larix (g),Larix [spp] (g)
Larix kaempferi (s),Larix kaempferi (c)
Lathyrus maritimus,Lathyrus seedling/sp
Leontodon,Leontodon [spp]
Leontodon Hispidus,Leontodon hispidus
Leontodon sp,Leontodon [spp]
Leptodictyum riparium,Amblystegium riparium
Leptogium lichenoides,
Leucobryum,
Lichen,
Lichenes,
Lichens,
Linaria arenaria,Linaria [spp]
Lonicera periclymenum (g) (s),Lonicera periclymenum (g)
Lophocolea,Lophocolea [spp]
Lophocolea bidentata,Lophocolea bidentata sens.lat.
Lophozia,
Lophozia incisa,
Lophozia ventricosa?,Lophozia ventricosa
Lotus sp,Lotus [spp]
Luzula,Luzula [spp]
Luzula campestris (cf),Luzula campestris
Luzula multiflora subsp. congesta,Luzula multiflora
Luzula multiflora/ campestre,Luzula campestris/multiflora
Luzula sp,Luzula [spp]
Luzula sp.,Luzula [spp]
Lycopus europeaus,Lycopus europaeus
Malus sylvestris (seedling),Malus sylvestris
Marchantiophyta,
Melilotus,Melilotus [spp]
Micarea lignaria,Micarea ligniaria
Mnium,Mnium [spp]
Myosotis,Myosotis seedling/sp
Myosotis sp.,Myosotis seedling/sp
Neottia ovata,Listera ovata
No higher plants or bryophytes present,
Nostoc,
Ochrolechia parella,
Odontoschisma,Odontoschisma [spp]
Oenanthe,Oenanthe [spp]
Oenothera,
Oenothera erythrosepala,Oenothera glazioviana
Orchis Mascula,Orchis mascula
Origanum Vulgare,Origanum vulgare
Orthotrichum diaphanum,
Oxyrrhynchium hians,
Oxyrrhynchium speciosum,Eurhynchium speciosum
Palustriella commutata s.l.,
Palustriella falcata,
Pellia,Pellia [spp]
Peltigera,Peltigera [spp]
Peltigera hymenina,Peltigera [spp]
Peltigera membranacea,Peltigera [spp]
Phleum pratense,Phleum pratense sens.lat.
Phleum pratense ss.,Phleum pratense sens.lat.
Phleum sp.,Phleum [spp]
Picea (c),Picea [spp]
Picea sp,Picea [spp]
Pilosella officinarum (hieracium),Pilosella officinarum
Pilosella officinarum (Hieracium),Pilosella officinarum
Pilosella officinarum agg,Pilosella officinarum
Pilosella officinarum agg.,Pilosella officinarum
Pinus seedling,Pinus [spp]/seedling
Pinus seedling/sp,Pinus [spp]/seedling
Plagiomnium,Plagiomnium [spp]
Plagiomnium sp.,Plagiomnium [spp]
Plagiothecium,Plagiothecium [spp]
Plagiothecium curvifolium,Plagiothecium [spp]
Plagiothecium denticulatum var. denticulatum,Plagiothecium denticulatum
Plantago,Plantago [spp]
Plantago Coronopus,Plantago coronopus
Pleurochaete squarrosa,
Poa,Poa [spp]
Poa pratensis,Poa pratensis sens.lat.
Poa pratensis s.str.,Poa pratensis sens.lat.
Poa pratensis ss.,Poa pratensis sens.lat.
Poa sp,Poa [spp]
Poa subcaerulea,Poa humilis
Poa triviolis,Poa trivialis
Pohlia,Pohlia [spp]
Polgala serpyllifolia,Polygala serpyllifolia
Polygala,Polygala [spp]
Polygala serpilifolia,Polygala serpyllifolia
Polygonum aviculare,Polygonum aviculare agg.
Polygonum hydropiper,Polygonum [spp]
Polypodium,Polypodium [spp]
Polypodium vulgare,Polypodium vulgare sens.lat.
Polytrichastrum alpinum,Polytrichum alpinum
Polytrichastrum formosum,Polytrichum formosum
Polytrichastrum longisetum,Polytrichum longisetum
Polytrichum,Polytrichum [spp]
Polytrichum commune var. perigoniale,Polytrichum commune
Polytrichum strictum,Polytrichum [spp]
Populus,
Potentilla,Potentilla [spp]
Poterium sanguisorba,Sanguisorba minor
Prunus,Prunus [spp]
Prunus sp.,Prunus [spp]
Pseudosclerepodium purum,Pseudoscleropodium purum
pseudoscleropodium purum,Pseudoscleropodium purum
Pseudotaxiphyllum elegans,Isopterygium elegans
Pseudotsuga menziesii (g),Pseudotsuga menziesii (c)
Pteridium aqualinum,Pteridium aquilinum
Pteridium aquilinium,Pteridium aquilinum
pteridium aquilinum,Pteridium aquilinum
Quercus seedling,Quercus seedling/sp
Quercus sp.,
Racomitrium,Racomitrium [spp]
Racomitrium elongatum,Racomitrium [spp]
Racomitrium heterostichum s.l.,Racomitrium heterostichum sens.lat.
Racomitrium sudeticum,Racomitrium [spp]
Ranunculus,Ranunculus seedling/sp
Ranunculus flammula ssp. flammula,Ranunculus flammula
Ranunculus seedling,Ranunculus seedling/sp
Ranunculus sp.,Ranunculus seedling/sp
Rhamnus cathartica (g),Rhamnus cathartica
Rhamnus cathartica (s),Rhamnus cathartica
Rhinanthus,Rhinanthus [spp]
Rhinanthus minor subsp. minor,Rhinanthus minor
Rhizocarpon geographicum,
Rhizomnium sp.,Rhizomnium [spp]
Rhytidiadelphus,Rhytidiadelphus [spp]
Rhytidiadelphus sp,Rhytidiadelphus [spp]
Rhytidiadelphus sp.,Rhytidiadelphus [spp]
Ribes sp.,Ribes [spp]
Riccardia,Riccardia [spp]
Riccardia latifrons,Riccardia [spp]
Riccardia palmata,Riccardia [spp]
Rosa,Rosa seedling/sp
Rosa seedling,Rosa seedling/sp
Rosa sp,Rosa seedling/sp
Rosa sp.,Rosa seedling/sp
Rosa spinosissima,Rosa pimpinellifolia
Rubus,Rubus [spp]
Rubus fruiticosus agg.,Rubus fruticosus agg.
Rubus fruticosus,Rubus fruticosus agg.
rubus fruticosus agg.,Rubus fruticosus agg.
Rubus fruticosus agg. (g),Rubus fruticosus agg (g)
Rubus idaeus (g),Rubus idaeus
Rubus sp,Rubus [spp]
Rumex seedling,Rumex seedling/sp
Rumex sp.,Rumex seedling/sp
Sagina procumbans,Sagina procumbens
Salicornia,Salicornia agg.
