wrong_name,right_name
Rosa canina s.str. (g),
Rubus fruiticosus agg.,
Rubus fruticosus,
Rubus fruticosus agg. (g),
Sagina procumbans,
Salix caprea x cinerea = s. x reichardtii,
Salix cinerea (c) (g) (s),
Salix cinerea ssp. cinerea (c),
Salix cinerea subsp. oleifolia (c),
Salix cinerea subsp. oleifolia (s),
Salix cineria,
Salix x multinervis,
Salixseedling sp.,
Sarcoscypha coccinea,
Scapania nemorea,
Schedonorous arundinaceus,
Schedonorus arundinaceus,
Schedonorus giganteus,
Schedonorus pratensis,
Schistidium crassipilum,
Scleropodium purum,
Scorpidium cossonii,
Scorpidium revolvens s.l.,
Scorzoneroides autumnalis,
Scutula epicladonia,
Silene flos-cuculi,
Sorbus aria (g),
Sphagnum angustifolium,
Sphagnum capillifolium ssp rubellum,
Sphagnum capillifolium subsp. rubellum,
Sphagnum denticulatum,
Sphagnum denticulatum s.l.,
Sphagnum fallax,
Sphagnum inundatum,
Sphagnum pulustre,
Sphagnum recurvum s. l.,
Sphagnum recurvum s.l.,
Sphagnum rubellum,
Sphagnum spp.,
Stachys palustris/ambigua,
Stellaria uliginosa,
Straminergon stramineum,
Sympotrichum x versicolor,
Syntrichia ruraliformis,
Syntrichia ruralis,
Syntrichia ruralis ssp. ruraliformis,
Syntrichia ruralis subsp. ruraliformis,
Syntrichia ruralis subsp. ruralis,
Syntrichia sp.,
Taraxacum agg,
Taraxacum agg.,
Taraxacum erythrospermum,
Taraxacum officinale,
Taraxacum officinale agg,
Taraxacum officinalis,
Taraxacum sect. Ruderalia,
Taraxicum agg,
Taraxicum officinale,
Taraxicum officinale agg,
Taraxicum sp.,
Taxus baccata (s.),
Thalictrum minus ssp. minus,
Thuidium tanariinum,
Thymus praecox,
Tortella ruraliformis,
Tortula ruralis,
Trichophorum germanicum,
Trichophorum germinatum,
Trichophorum x foersteri,
Trifolium campestra,
Trifolium ornithopodoides,
Ulex minonr,
Ulex species (g),
Ulota bruchii,
Umbellifer seedling (u),
Umbellifer sp.,
Unidenitifed sp.,
Urtica galeopsifolia,
V. x intersita beck,
Vaccinium myrtilis,
Vaccinium myrtillus (dead),
Veronica chamaedryas,
Veronica serpyllifolia sl.,
Viola reichenbachiana or viola riviniana,
Viola sepium,
Warnstorfia exannulata,
